鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
竹山鎮,房地(土地+建物),南投縣竹山鎮大同街１２３號,86.97,住,,,1060217,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051027,181.6,5,3,4,有,無,7380000,40639.0,,0.0,0,,RPPNMLQJLHMFFDM78CA,176.9,0.0,4.7,,,106_02
南投市,房地(土地+建物),南投縣南投市彰南路三段８５之１２號６樓,25.29,住,,,1060207,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870306,127.72,3,1,2,有,有,3100000,24272.0,,0.0,0,,RPRNMLRJLHMFFAM78CA,91.36,0.0,9.77,,,106_02
南投市,土地,東施厝坪段307地號,6991.02,,山坡地保育區,農牧用地,1060214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12688600,1815.0,,0.0,0,,RPRNMLKKLHMFFAM18CA,0.0,0.0,0.0,,,106_02
名間鄉,土地,出林虎段4地號,1127.16,,一般農業區,農牧用地,1060223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2650000,2351.0,,0.0,0,,RPQNMLRJLHMFFAM68CA,0.0,0.0,0.0,,,106_02
南投市,房地(土地+建物),南投縣南投市工業路１號,2706.0,,工業區,丁種建築用地,1060202,土地1建物1車位0,一層，二層，三層,三層,廠辦,見其他登記事項,鋼筋混凝土造,0890603,271.62,3,3,2,有,無,97410000,358626.0,,0.0,0,,RPQNMLOKLHMFFAM48CA,271.62,0.0,0.0,,,106_02
名間鄉,土地,北大庄段145地號,1162.02,,一般農業區,農牧用地,1060120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,516.0,,0.0,0,親友特殊關係間之交易。,RPRNMLQKLHMFFAM78CA,0.0,0.0,0.0,,,106_02
中寮鄉,土地,分水寮段506-142地號,7492.0,,山坡地保育區,農牧用地,1060214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,601.0,,0.0,0,,RPPNMLNLLHMFFAM38CA,0.0,0.0,0.0,,,106_02
南投市,房地(土地+建物),南投縣南投市彰南路三段１２１１巷１弄１０號,89.1,住,,,1060220,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050726,202.18,4,2,3,有,無,7500000,37096.0,,0.0,0,,RPRNMLNLLHMFFAM58CA,187.12,0.0,15.06,,,106_02
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路３１３之２８號,101.0,,鄉村區,乙種建築用地,1060127,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041214,161.37,4,3,3,有,無,7000000,43379.0,,0.0,0,,RPRNMLRKLHMFFBM98CA,151.07,0.0,10.3,,,106_02
竹山鎮,房地(土地+建物),南投縣竹山鎮前山路一段１２２巷５８號,95.0,住,,,1060221,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0731231,97.2,4,2,2,有,無,2000000,20576.0,,0.0,0,,RPQNMLQJLHMFFDM88CA,97.2,0.0,0.0,,,106_02
