鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄,26.13,住,Unnamed: 5,Unnamed: 6,1040224,土地4建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,182.23,3,1,2,有,無,37090000,229487,坡道平面,32.81,2800000,Unnamed: 26,RPOOMLOLJIMFFDA57CB,東騰藍,Unnamed: 29,來源資料夾
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B1棟第1樓,48.55,住,,,1051117.0,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.95,2.0,1.0,1.0,有,無,28000000.0,255610.0,坡道平面,31.58,2600000.0,,RPQQMLRJKHMFFDA08CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物),臺北市信義區?和段二小段301地號編號第C1棟第2樓,43.35,住,,,1050908.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.7,2.0,1.0,1.0,有,無,21500000.0,222337.0,,0.0,0.0,,RPRQMLRJKHMFFDA18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B1棟第2樓,48.7,住,,,1051124.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.04,2.0,1.0,1.0,有,無,25660000.0,217713.0,坡道平面,31.58,2700000.0,,RPSQMLRJKHMFFDA28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第A1棟第2樓,46.1,住,,,1051126.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.15,2.0,1.0,1.0,有,無,24200000.0,216933.0,坡道平面,31.58,2600000.0,,RPTQMLRJKHMFFDA38CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第C2棟第3樓,47.11,住,,,1051103.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.85,2.0,1.0,1.0,有,無,24200000.0,214421.0,坡道平面,31.58,2700000.0,,RPUQMLRJKHMFFDA48CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物),臺北市信義區?和段二小段301地號編號第A2棟第5樓,48.55,住,,,1051013.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.1,2.0,1.0,1.0,有,無,23000000.0,223084.0,,0.0,0.0,,RPVQMLRJKHMFFDA58CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號A3棟11樓,21.94,住,,,1040204.0,土地1建物1車位1,十一層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.91,3.0,2.0,2.0,有,無,28940000.0,180507.0,坡道平面,39.11,1900000.0,,RPVNMLTJLHMFFEA68CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號A1棟11樓,32.11,住,,,1050130.0,土地1建物1車位2,十一層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,297.4,4.0,2.0,3.0,有,無,45500000.0,184780.0,坡道平面,78.22,5000000.0,,RPWNMLTJLHMFFEA78CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B3棟3樓,23.6,住,,,1050609.0,土地1建物1車位1,三層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.23,3.0,2.0,2.0,有,無,30000000.0,171611.0,坡道平面,39.11,2350000.0,,RPXNMLTJLHMFFEA88CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號A2棟9樓,30.95,住,,,1050809.0,土地1建物1車位2,九層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,289.51,4.0,2.0,2.0,有,無,43270000.0,182545.0,坡道平面,78.22,4700000.0,,RPOOMLTJLHMFFEA08CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
