鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新市區,房地(土地+建物)+車位,臺南市新市區大社段2094地號,25.48,Unnamed: 4,鄉村區,乙種建築用地,1120511,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,126.31,3,2,2.1,有,無,9900000,80257,坡道平面,20.4,1400000,Unnamed: 26,RPUNMLLKNHIGFHD38CB,高第璞璞2,B棟5F-B3號,Unnamed: 30,來源資料夾,安南區,房地(土地+建物),臺南市安南區樂活二街,93.61,住,Unnamed: 5,Unnamed: 6,1120811,土地5建物1車位0,全,4,透天厝,見其他登記事項,231.85,5,26500000,114298,Unnamed: 23,0.0,0,內含停車位1個,RPSNMLLKQHIGFBD87CB,邰欣地堡100期,A棟3號,東區,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,1121111,十二層,15,住宅大樓(11層含以上有電梯),112.24,2.2,11300000,116874,26.25,1250000,RPTNMLNKJIIGFCD67CB,松丹達麗,D棟3號
永康區,房地(土地+建物)+車位,臺南市永康區北興路88巷,102.0,住,,,1120218.0,土地1建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,256.34,5.0,2.0,5.0,有,無,29500000.0,115082.0,一樓平面,13.75,0.0,,RPPNMLLLKHIGFKD08DB,創兆甜覓,D棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區潭頂里6鄰潭頂317之1號四樓之5,21.92,,鄉村區,乙種建築用地,1120214.0,土地1建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.71,2.0,2.0,2.0,有,無,6680000.0,87299.0,其他,11.21,700000.0,,RPUNMLMLKHIGFHD28CB,心程市,A棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
善化區,房地(土地+建物)+車位,臺南市善化區陽光大道366號對面,54.12,住,,,1120214.0,土地1建物1車位2,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,193.04,3.0,2.0,2.0,有,無,18590000.0,118969.0,坡道平面,66.2,3500000.0,,RPVNMLMLKHIGFHD38CB,恆鵬陽光四季,C1棟C1-05F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區安通路五段&義吉街口,24.66,住,,,1120220.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.07,3.0,2.0,2.0,有,無,12100000.0,93654.0,坡道平面,29.82,1400000.0,,RPTNMLMLKHIGFBD57CB,佳晟家賀,A棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新營區,房地(土地+建物),臺南市新營區新北八街,127.67,住,,,1120219.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,160.1,5.0,2.0,5.0,有,無,12750000.0,79638.0,,0.0,0.0,,RPPNMLMLKHIGFDD47DB,心迎風彩2,B棟13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,12.87,商,,,1120214.0,土地2建物1車位2,十一層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.29,3.0,2.0,2.0,有,無,15390000.0,111286.0,坡道平面,42.1,3350000.0,,RPPNMLNLKHIGFBD27CB,南科?揚,A棟A01-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,12.25,商,,,1120217.0,土地2建物1車位1,九層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.36,3.0,2.0,2.0,有,無,12840000.0,110351.0,坡道平面,21.05,1550000.0,,RPQNMLNLKHIGFBD37CB,南科?揚,A棟A03-09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,12.25,商,,,1120218.0,土地2建物1車位1,十層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.36,3.0,2.0,2.0,有,無,12940000.0,111328.0,坡道平面,21.05,1550000.0,,RPRNMLNLKHIGFBD47CB,南科?揚,A棟A03-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,12.25,商,,,1120217.0,土地2建物1車位1,十三層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.36,3.0,2.0,2.0,有,無,13250000.0,111915.0,坡道平面,21.05,1800000.0,,RPSNMLNLKHIGFBD57CB,南科?揚,A棟A03-13F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,8.99,商,,,1120211.0,土地2建物1車位1,四層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.48,2.0,2.0,1.0,有,無,8580000.0,103334.0,坡道機械,10.19,800000.0,,RPTNMLNLKHIGFBD67CB,南科?揚,A棟A05-04F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
