鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.02,Unnamed: 4,一般農業區,甲種建築用地,1120513,土地2建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,94.59,2,1,1.1,有,無,7400000,95927,坡道平面,31.0,1300000,Unnamed: 26,RPPNMLOKNHIGFCN68CB,富旺艾美莊園,A棟7號,Unnamed: 30,來源資料夾,和美鎮,房地(土地+建物),彰化縣和美鎮北辰路,101.42,鄉村區,乙種建築用地,1120812,土地4建物1車位0,全,3,透天厝,162.06,4,3.1,13080000,80711,Unnamed: 23,0.0,0,RPQNMLQKQHIGFBN56CB,觀美墅NO.13,Ｃ棟10號,彰化市,彰化縣彰化市中正路二段190巷,10.76,商,Unnamed: 5,Unnamed: 6,1121111,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),117.87,2.1,2.2,10280000,104891,坡道機械,24.63,500000,RPPNMLNKJIIGFAN08CB,中正琢越,D-7F號
伸港鄉,房地(土地+建物),彰化縣伸港鄉埤墘路11之2號旁巷內,105.9,,鄉村區,乙種建築用地,1120216.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.8,5.0,1.0,4.0,有,無,8780000.0,57461.0,,0.0,0.0,,RPPNMLOLKHIGFBN38CB,宸益家園7-禾宜居,1棟A2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物),彰化縣伸港鄉埤墘路11之2號旁巷子,105.9,,鄉村區,乙種建築用地,1120217.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.8,5.0,1.0,3.0,有,無,8770000.0,57395.0,,0.0,0.0,,RPQNMLOLKHIGFBN48CB,宸益家園7-禾宜居,1棟A7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物),彰化縣伸港鄉埤墘路11之2號旁巷內,105.9,,鄉村區,乙種建築用地,1120221.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.8,5.0,1.0,4.0,有,無,8780000.0,57461.0,,0.0,0.0,,RPUNMLOLKHIGFBN88CB,宸益家園7-禾宜居,1棟A6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物),彰化縣伸港鄉埤墘路11之2號旁巷內,105.9,,鄉村區,乙種建築用地,1120223.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.8,5.0,1.0,3.0,有,無,8650000.0,56610.0,,0.0,0.0,,RPVNMLOLKHIGFBN98CB,宸益家園7-禾宜居,1棟A8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉稻香路363巷與平原路的路口,107.57,,鄉村區,乙種建築用地,1120212.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,190.49,4.0,3.0,4.0,有,無,11500000.0,60371.0,,0.0,0.0,,RPPNMLRLKHIGFFN56DB,稻香LaVie,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉稻香路363巷與平原路的路口,107.42,,鄉村區,乙種建築用地,1120211.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,190.78,4.0,3.0,4.0,有,無,11500000.0,60279.0,,0.0,0.0,,RPQNMLRLKHIGFFN66DB,稻香LaVie,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉稻香路363巷與平原路的路口,107.57,,鄉村區,乙種建築用地,1120212.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,190.49,4.0,3.0,4.0,有,無,11500000.0,60371.0,,0.0,0.0,,RPRNMLRLKHIGFFN76DB,稻香LaVie,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉稻香路363巷與平原路的路口,107.25,,鄉村區,乙種建築用地,1120217.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,190.78,4.0,3.0,4.0,有,無,11100000.0,58182.0,,0.0,0.0,,RPSNMLRLKHIGFFN86DB,稻香LaVie,B棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福興鄉,房地(土地+建物),彰化縣福興鄉員鹿路2段467巷,102.81,,鄉村區,乙種建築用地,1120226.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,173.0,4.0,3.0,3.0,有,無,12800000.0,73988.0,,0.0,0.0,,RPPNMLRLKHIGFCN78CB,永吉傳承第3期建案,B3棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福興鄉,房地(土地+建物),彰化縣福興鄉福鹿段227-9地號,109.58,,特定農業區,甲種建築用地,1120222.0,土地6建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,241.09,5.0,3.0,6.0,有,無,22800000.0,94570.0,,0.0,0.0,,RPPNMLLJLHIGFCN08CB,泰銓翡翠苑,A12棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物),彰化縣伸港鄉埤墘路11之2號旁巷內,103.9,,鄉村區,乙種建築用地,1120223.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.8,5.0,1.0,3.0,有,無,8550000.0,55955.0,,0.0,0.0,,RPPNMLLJLHIGFBN97CB,宸益家園7-禾宜居,1棟A10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物),彰化縣伸港鄉埤墘路11之2號旁巷內,105.9,,鄉村區,乙種建築用地,1120223.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.8,5.0,1.0,4.0,有,無,8620000.0,56414.0,,0.0,0.0,,RPQNMLLJLHIGFBN08CB,宸益家園7-禾宜居,1棟A11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北斗鎮,房地(土地+建物),彰化縣北斗鎮文苑路一段260巷,34.11,住,,,1120228.0,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.31,2.0,2.0,2.0,有,無,5550000.0,55886.0,,0.0,0.0,,RPSNMLLJLHIGFFN68CB,大心,D棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二林鎮,房地(土地+建物),彰化縣二林鎮西和一街,114.24,住,,,1120223.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,187.34,5.0,3.0,5.0,有,無,11780000.0,62880.0,,0.0,0.0,,RPSNMLLJLHIGFGN78CB,勝龍御花園,D棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮富貴五街,40.19,住,,,1120224.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,114.58,3.0,2.0,2.0,有,無,9080000.0,79246.0,一樓平面,13.75,0.0,,RPPNMLLJLHIGFHN58CB,富貴成臻(二),A棟3A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線西鄉,房地(土地+建物),彰化縣線西鄉沿海路一段849巷,114.3,住,,,1120219.0,土地5建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,171.9,4.0,3.0,3.0,有,無,10280000.0,59802.0,,0.0,0.0,,RPQNMLMJLHIGFBN28DB,居鴻臻幸福II,B棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮彰鹿路五段,101.14,,鄉村區,乙種建築用地,1120214.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,137.3,4.0,2.0,3.0,有,無,12200000.0,88857.0,,0.0,0.0,,RPPNMLMJLHIGFCN18CB,頭等艙NO.22,A棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮彰鹿路五段,42.58,,鄉村區,乙種建築用地,1120212.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.68,3.0,2.0,2.0,有,無,7680000.0,85638.0,一樓平面,18.96,0.0,,RPRNMLMJLHIGFCN38CB,頭等艙NO.22,C棟3C1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
