鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.02,Unnamed: 4,一般農業區,甲種建築用地,1120513,土地2建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,94.59,2,1,1.1,有,無,7400000,95927,坡道平面,31.0,1300000,Unnamed: 26,RPPNMLOKNHIGFCN68CB,富旺艾美莊園,A棟7號,Unnamed: 30,來源資料夾,和美鎮,房地(土地+建物),彰化縣和美鎮北辰路,101.42,鄉村區,乙種建築用地,1120812,土地4建物1車位0,全,3,透天厝,162.06,4,3.1,13080000,80711,Unnamed: 23,0.0,0,RPQNMLQKQHIGFBN56CB,觀美墅NO.13,Ｃ棟10號,彰化市,彰化縣彰化市中正路二段190巷,10.76,商,Unnamed: 5,Unnamed: 6,1121111,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),117.87,2.1,2.2,10280000,104891,坡道機械,24.63,500000,RPPNMLNKJIIGFAN08CB,中正琢越,D-7F號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,,,1120925.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),100.63,2.0,1.0,7930000.0,84056.0,坡道機械,16.4,850000.0,RPRNMLQLRHIGFDN07CB,昌祐時代,E棟05F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,,,1120925.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),143.61,3.0,2.0,12460000.0,94264.0,坡道平面,26.81,1450000.0,RPSNMLQLRHIGFDN17CB,昌祐時代,G棟15F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,,,1120925.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),143.61,3.0,2.0,11440000.0,86387.0,坡道平面,26.81,1350000.0,RPTNMLQLRHIGFDN27CB,昌祐時代,A棟05F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,,,1120925.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),111.04,2.0,1.0,9060000.0,91535.0,坡道平面,26.81,1350000.0,RPUNMLQLRHIGFDN37CB,昌祐時代,E棟10F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,,,1120921.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),111.04,2.0,1.0,9110000.0,90941.0,坡道平面,26.81,1450000.0,RPVNMLQLRHIGFDN47CB,昌祐時代,E棟09F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,3.0,,,有,無,,,,,,,,,,,112_04,永靖鄉,房地(土地+建物),彰化縣永靖鄉瑚璉路,95.06,,,1120920.0,土地1建物1車位0,全,4.0,透天厝,245.66,4.0,6.0,29600000.0,120492.0,,0.0,0.0,RPWNMLQLRHIGFDN57CB,觀美墅NO.12,A棟3號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,,,1120924.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),111.22,2.0,1.0,9130000.0,92169.0,坡道平面,26.81,1350000.0,RPXNMLQLRHIGFDN67CB,昌祐時代,D棟14F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,社頭鄉,房地(土地+建物),彰化縣社頭鄉永興路,119.59,鄉村區,乙種建築用地,1120831.0,土地3建物1車位0,全,4.0,透天厝,197.41,5.0,4.0,13800000.0,69905.0,,0.0,0.0,RPPNMLQLRHIGFEN96CB,首華永新,B棟6號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,埤頭鄉,房地(土地+建物),彰化縣埤頭鄉竹圍段,85.49,鄉村區,乙種建築用地,1120913.0,土地3建物1車位0,全,2.0,透天厝,89.18,3.0,3.0,5500000.0,61673.0,,0.0,0.0,RPPNMLQLRHIGFFN07CB,文匯20,C棟10號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,埤頭鄉,房地(土地+建物),彰化縣埤頭鄉竹圍段,85.49,鄉村區,乙種建築用地,1120923.0,土地2建物1車位0,全,2.0,透天厝,89.18,3.0,3.0,6200000.0,69522.0,,0.0,0.0,RPQNMLQLRHIGFFN17CB,文匯20,C棟5號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,1.0,,,有,無,,,,,,,,,,,112_04,溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮湖南段323地號,38.23,,,1120914.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),101.04,3.0,1.0,8030000.0,79488.0,一樓平面,11.97,950000.0,RPPNMLQLRHIGFHN27CB,首億寬寓,F棟2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,社頭鄉,房地(土地+建物),彰化縣社頭鄉永興路,132.59,鄉村區,乙種建築用地,1120901.0,土地2建物1車位0,全,4.0,透天厝,175.7,5.0,4.0,13100000.0,74559.0,,0.0,0.0,RPPNMLRLRHIGFEN07CB,首華永新,B棟1號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,申報當時北口段250地號尚未分割此戶實際移轉面積大約66.11平方公尺,,,,,112_04,花壇鄉,房地(土地+建物),彰化縣花壇鄉內溪巷及內溪一巷交叉口,66.11,,,1120916.0,土地1建物1車位0,全,4.0,透天厝,152.06,5.0,3.0,14100000.0,92727.0,,0.0,0.0,RPQNMLRLRHIGFAN86DB,馥御七期,A棟16號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段190巷,13.48,,,1120906.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),148.36,3.0,2.0,13380000.0,100368.0,坡道平面,31.49,1650000.0,RPQNMLSLRHIGFAN86CB,中正琢越,F-10F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段190巷,10.76,,,1120908.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),117.87,2.0,2.0,10400000.0,104033.0,坡道機械,24.63,700000.0,RPRNMLSLRHIGFAN96CB,中正琢越,D-11F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,福興鄉,房地(土地+建物)+車位,彰化縣福興鄉番婆街,32.83,鄉村區,乙種建築用地,1120910.0,土地3建物1車位1,二層,5.0,華廈(10層含以下有電梯),84.82,2.0,2.0,7650000.0,88597.0,一樓平面,11.68,1170000.0,RPPNMLSLRHIGFCN96CB,晶盛首耀II,A棟2C號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,福興鄉,房地(土地+建物)+車位,彰化縣福興鄉番婆街,32.86,鄉村區,乙種建築用地,1120917.0,土地3建物1車位1,四層,5.0,華廈(10層含以下有電梯),84.9,2.0,2.0,7500000.0,86452.0,一樓平面,11.68,1170000.0,RPQNMLSLRHIGFCN07CB,晶盛首耀II,A棟4B號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,埤頭鄉,房地(土地+建物)+車位,彰化縣埤頭鄉永豐段643-50地號,25.2,,,1120918.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),84.1,2.0,1.0,5600000.0,68230.0,一樓平面,13.75,800000.0,RPPNMLSLRHIGFFN27CB,富雄晶品十三期,A棟2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,1.0,,,有,無,,,,,,,,,,,112_04,鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.9,一般農業區,甲種建築用地,1120929.0,土地2建物1車位1,四層,9.0,華廈(10層含以下有電梯),97.86,2.0,1.0,7430000.0,91684.0,坡道平面,31.0,1300000.0,RPPNMLTLRHIGFCN07CB,富旺艾美莊園,A棟12號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,1.0,,,有,無,,,,,,,,,,,112_04,鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,21.11,一般農業區,甲種建築用地,1120929.0,土地2建物1車位1,二層,9.0,華廈(10層含以下有電梯),105.76,2.0,1.0,7930000.0,88684.0,坡道平面,31.0,1300000.0,RPQNMLTLRHIGFCN17CB,富旺艾美莊園,D棟3號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,二林鎮,房地(土地+建物)+車位,彰化縣二林鎮南安路儒興段424、425-1、441地號,35.26,,,1120918.0,土地3建物1車位1,七層,7.0,華廈(10層含以下有電梯),94.97,3.0,2.0,7850000.0,82658.0,一樓平面,0.0,1100000.0,RPPNMLTLRHIGFGN47CB,中科ONE,A棟1號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,29.17,,,1120926.0,土地1建物1車位1,十二層,12.0,住宅大樓(11層含以上有電梯),165.18,3.0,2.0,10780000.0,70067.0,坡道平面,29.88,1300000.0,RPQNMLLJIIIGFDN08CB,合陽鼎峰,D3棟12F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,27.59,,,1120905.0,土地1建物1車位1,一層,12.0,住宅大樓(11層含以上有電梯),142.02,3.0,2.0,9700000.0,74906.0,坡道平面,29.88,1300000.0,RPRNMLLJIIIGFDN18CB,合陽鼎峰,C2棟1F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,28.38,,,1120908.0,土地1建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),162.26,3.0,2.0,9700000.0,63454.0,坡道平面,29.88,1300000.0,RPSNMLLJIIIGFDN28CB,合陽鼎峰,D4棟2F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,26.8,,,1120916.0,土地1建物1車位1,四層,10.0,住宅大樓(11層含以上有電梯),156.06,3.0,2.0,9980000.0,68791.0,坡道平面,29.88,1300000.0,RPTNMLLJIIIGFDN38CB,合陽鼎峰,J1棟4F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,28.38,,,1120928.0,土地1建物1車位1,二層,13.0,住宅大樓(11層含以上有電梯),163.46,3.0,2.0,10000000.0,65130.0,坡道平面,29.88,1300000.0,RPUNMLLJIIIGFDN48CB,合陽鼎峰,A1棟2F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,29.17,,,1120930.0,土地1建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),164.05,3.0,2.0,9880000.0,63949.0,坡道平面,29.88,1300000.0,RPVNMLLJIIIGFDN58CB,合陽鼎峰,C1棟2F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,花壇鄉,房地(土地+建物),彰化縣花壇鄉明德街,110.35,鄉村區,乙種建築用地,1120920.0,土地2建物1車位0,全,3.0,透天厝,207.36,5.0,3.0,13880000.0,66937.0,,0.0,0.0,RPPNMLMJIIIGFAN77CB,閱花壇,D棟D2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市茄苳路一段,19.29,,,1120928.0,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),120.45,2.0,1.0,11120000.0,102951.0,坡道平面,28.95,1700000.0,RPQNMLMJIIIGFAN87CB,櫻花金馬之櫻,A棟6號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市茄苳路一段,32.49,,,1120926.0,土地1建物1車位2,九層,15.0,住宅大樓(11層含以上有電梯),207.83,4.0,2.0,18600000.0,101381.0,坡道平面,57.9,3400000.0,RPRNMLMJIIIGFAN97CB,櫻花金馬之櫻,B棟2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市茄苳路一段,19.29,,,1120928.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),120.45,2.0,1.0,11120000.0,101858.0,坡道平面,28.95,1800000.0,RPSNMLMJIIIGFAN08CB,櫻花金馬之櫻,A棟6號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市茄苳路一段,25.39,,,1120925.0,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),152.03,3.0,2.0,13270000.0,95629.0,坡道平面,28.95,1500000.0,RPTNMLMJIIIGFAN18CB,櫻花金馬之櫻,A棟2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農,,,,,,,,住家用,鋼筋混凝土造,,,3.0,,,有,無,,,,,,1.一樓作為停車與儲藏室使用2.土地和建物實際面積以地政機關保存登記為準,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市崙美路331巷內,109.78,,,1120923.0,土地2建物1車位1,全,4.0,透天厝,242.73,4.0,5.0,21015000.0,86578.0,一樓平面,0.0,0.0,RPUNMLMJIIIGFAN28CB,美崙美奐,B10棟B10號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,1.0,,,有,無,,,,,,,,,,,112_04,大村鄉,房地(土地+建物)+車位,彰化縣大村鄉大智路一段,36.03,,,1120928.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),83.03,2.0,2.0,7200000.0,86716.0,一樓平面,12.75,0.0,RPPNMLMJIIIGFDN08CB,慶吉喜樂Ⅱ,A號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,1.0,,,有,無,,,,,,,,,,,112_04,大村鄉,房地(土地+建物)+車位,彰化縣大村鄉美港村中山路一段141巷,32.37,特定農業區,甲種建築用地,1120922.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),102.36,3.0,2.0,7900000.0,79659.0,一樓平面,13.23,800000.0,RPQNMLMJIIIGFDN18CB,慶吉喜樂,B棟B2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,北斗鎮,房地(土地+建物),彰化縣北斗鎮復興路,103.16,,,1120927.0,土地1建物1車位0,全,3.0,透天厝,216.0,4.0,5.0,23680000.0,109630.0,,0.0,0.0,RPPNMLMJIIIGFFN28CB,勝龍鉑鑫大道,A棟3號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,二林鎮,房地(土地+建物)+車位,彰化縣二林鎮長春路,39.92,,,1120911.0,土地1建物1車位1,三層,7.0,華廈(10層含以下有電梯),117.95,3.0,2.0,7800000.0,70021.0,一樓平面,17.98,800000.0,RPRNMLMJIIIGFGN58CB,寀蘴大境,E3-3F棟81號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農,,,,,,,,住家用,鋼筋混凝土造,,,1.0,,,有,無,,,,,,,,,,,112_04,溪湖鎮,房地(土地+建物),彰化縣溪湖鎮湳底段198，199，209，210地號共4筆土地,87.07,,,1120906.0,土地4建物1車位0,全,3.0,透天厝,113.86,4.0,3.0,8460000.0,74302.0,,0.0,0.0,RPPNMLMJIIIGFHN48CB,藝術臻堡26-臻愛莊園,B棟13號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,田中鎮,房地(土地+建物),彰化縣田中鎮香山段926-6地號,114.22,特定農業區,甲種建築用地,1120914.0,土地3建物1車位0,全,3.0,透天厝,146.51,4.0,3.0,10880000.0,74261.0,,0.0,0.0,RPPNMLNJIIIGFEN28CB,君順CUCU,B棟2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,田中鎮,房地(土地+建物),彰化縣田中鎮中山段1470，1471地號,27.48,,,1120924.0,土地2建物1車位0,六層,7.0,華廈(10層含以下有電梯),78.0,2.0,1.0,6080000.0,77949.0,,0.0,0.0,RPVNMLNJIIIGFEN88CB,員毅鈺品NO.5 田中1號院,A棟6樓C2號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,田中鎮,房地(土地+建物),彰化縣田中鎮中山段1470，1471地號,39.07,,,1120924.0,土地2建物1車位0,五層,7.0,華廈(10層含以下有電梯),111.31,3.0,2.0,8680000.0,77980.0,,0.0,0.0,RPOOMLNJIIIGFEN28CB,員毅鈺品NO.5 田中1號院,A棟5樓A5號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市瑞陽街與埔陽街53巷路口,25.12,,,1120908.0,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),143.97,3.0,2.0,14170000.0,102735.0,坡道平面,22.59,1700000.0,RPPNMLOJIIIGFAN97CB,中山富域,A棟1號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,彰化市,房地(土地+建物)+車位,彰化縣彰化市瑞陽街與埔陽街53巷路口,23.55,,,1120908.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),136.88,3.0,2.0,13500000.0,104034.0,坡道平面,22.59,1610000.0,RPQNMLOJIIIGFAN08CB,中山富域,A棟5號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,30.9,特定農業區,甲種建築用地,1120905.0,土地1建物1車位0,五層,7.0,華廈(10層含以下有電梯),96.8,3.0,2.0,7560000.0,78099.0,,0.0,0.0,RPRNMLOJIIIGFAN18CB,廣宣薪世代,B5-5F棟0號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,23.01,特定農業區,甲種建築用地,1120908.0,土地1建物1車位0,二層,7.0,華廈(10層含以下有電梯),72.06,2.0,2.0,5790000.0,80350.0,,0.0,0.0,RPSNMLOJIIIGFAN28CB,廣宣薪世代,A1-2F棟0號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,住家用,鋼筋混凝土造,,,2.0,,,有,無,,,,,,,,,,,112_04,花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉口庄街319號對面,45.63,,,1120923.0,土地2建物1車位1,三層,7.0,華廈(10層含以下有電梯),108.52,3.0,2.0,9000000.0,85475.0,升降機械,12.0,750000.0,RPTNMLOJIIIGFAN38CB,辰品雲川,A2-3F號,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,,見其他登記事項,鋼筋混凝土造,,,2.0,,,有,無,,,,,,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,,,,,112_04,員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,,,1120928.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),143.61,3.0,2.0,12550000.0,95034.0,坡道平面,26.81,1450000.0,RPPNMLOJIIIGFDN28CB,昌祐時代,G棟14F號,,,,,,,,,,,,,,,,,,,,,,
