鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華路607巷,45.82,住,Unnamed: 5,Unnamed: 6,1120511,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,Unnamed: 14,135.71,3,2,2.1,有,無,8004750,63475,一樓平面,20.63,700000,車位:汽車、機車各1,RPPNMLMKNHIGFBK18DB,賞美,G棟5號,Unnamed: 30,來源資料夾,苗栗縣苗栗市中正路1218巷,30.22,1120811,土地1建物1車位1,七層,10,鋼筋混凝土造,174.2,9600000,61484,坡道平面,34.0,980000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOKQHIGFBK56CB,勝觀苑,A棟7號,頭份市,苗栗縣頭份市中正路463巷,48.03,1121111,四層,鋼骨混凝土造,147.26,11280000,76599,12.41,0,Unnamed: 26,RPPNMLNKJIIGFFK28CB,星苑,E棟4F號
頭份市,房地(土地+建物),苗栗縣頭份市尖下段928、928-4、928-5地號,77.82,,山坡地保育區,丙種建築用地,1120218.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,147.64,4.0,2.0,3.0,有,無,9600000.0,65023.0,,0.0,0.0,,RPSNMLNLKHIGFFK68CB,吾居吾墅,B26號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物),苗栗縣頭份市尖下段928、928-4、928-5地號,75.21,,山坡地保育區,丙種建築用地,1120218.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,147.62,4.0,2.0,3.0,有,無,9600000.0,65032.0,,0.0,0.0,,RPTNMLNLKHIGFFK78CB,吾居吾墅,B30號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段36地號,17.95,住,,,1120219.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.78,2.0,2.0,2.0,有,無,10480000.0,106796.0,坡道平面,28.29,1350000.0,,RPUNMLNLKHIGFFK88CB,昌隆廣場-上禾旺,A3棟11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段36地號,28.73,住,,,1120219.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.52,3.0,2.0,2.0,有,無,15100000.0,101691.0,坡道平面,28.29,1450000.0,,RPVNMLNLKHIGFFK98CB,昌隆廣場-上禾旺,F2棟15F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮仁德路,20.28,住,,,1120213.0,土地1建物1車位1,九層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.9,2.0,2.0,1.0,有,無,7950000.0,78164.0,坡道平面,27.81,830000.0,,RPPNMLOLKHIGFDK28CB,e家親,A棟09F-2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市國華路1138巷5號附近,38.3,住,,,1120211.0,土地1建物1車位1,五層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.8,3.0,2.0,2.0,有,無,11700000.0,70565.0,坡道平面,30.0,1200000.0,,RPPNMLRLKHIGFBK38CB,玥華,A6-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路,80.6,住,,,1120221.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,198.99,3.0,2.0,4.0,有,無,12080000.0,60707.0,,0.0,0.0,,RPRNMLSLKHIGFDK88CB,高鐵澄峰,F棟F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中山路256號旁,17.17,住,,,1120216.0,土地1建物1車位1,十一層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.77,2.0,1.0,1.0,有,無,7100000.0,102556.0,升降機械,21.39,600000.0,,RPQNMLLJLHIGFFK18CB,商喬吉品3,A5-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華東街,39.74,住,,,1120212.0,土地1建物1車位2,四層,5.0,華廈(10層含以下有電梯),住家用,見其他登記事項,,130.8,3.0,2.0,2.0,有,無,7500000.0,57339.0,一樓平面,0.0,0.0,,RPPNMLLJLHIGFBK77DB,富比仕-福星,A棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華東街,39.87,住,,,1120228.0,土地1建物1車位2,四層,5.0,華廈(10層含以下有電梯),住家用,見其他登記事項,,130.75,3.0,2.0,2.0,有,無,7660000.0,58585.0,一樓平面,0.0,0.0,,RPQNMLLJLHIGFBK87DB,富比仕-福星,B棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華路607巷,43.19,住,,,1120228.0,土地3建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,見其他登記事項,,127.97,3.0,2.0,2.0,有,無,7161350.0,55961.0,一樓平面,0.0,700000.0,,RPRNMLLJLHIGFBK97DB,賞美,F棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苑裡鎮,房地(土地+建物)+車位,苗栗縣苑裡鎮田心45之1號旁,25.73,,特定農業區,甲種建築用地,1120220.0,土地1建物1車位1,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.24,2.0,2.0,2.0,有,無,5300000.0,55947.0,升降機械,6.87,300000.0,,RPPNMLMJLHIGFCK87CB,綠意秧然二期,1棟2D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市國華路1138巷5號附近,38.3,住,,,1120217.0,土地1建物1車位1,七層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.8,3.0,2.0,2.0,有,無,11880000.0,71774.0,坡道平面,30.0,1200000.0,,RPPNMLMJLHIGFBK77CB,玥華,A6-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1271地號,16.44,商,,,1120217.0,土地1建物1車位1,十四層,18.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,171.98,3.0,2.0,2.0,有,無,17310000.0,113805.0,坡道平面,32.18,1400000.0,,RPPNMLMJLHIGFFK18CB,TWIN PARK,A棟2-14F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1271地號,16.44,商,,,1120217.0,土地1建物1車位2,十七層,18.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,204.16,3.0,2.0,2.0,有,無,18870000.0,115665.0,坡道平面,64.36,2700000.0,,RPQNMLMJLHIGFFK28CB,TWIN PARK,A棟2-17F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1271地號,17.22,商,,,1120301.0,土地1建物1車位1,十六層,18.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,178.61,3.0,2.0,2.0,有,無,17940000.0,112955.0,坡道平面,32.18,1400000.0,,RPRNMLMJLHIGFFK38CB,TWIN PARK,B棟1-16F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1271地號,12.39,商,,,1120221.0,土地1建物1車位1,十六層,18.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,137.53,2.0,2.0,2.0,有,無,14880000.0,127005.0,坡道平面,32.18,1500000.0,,RPSNMLMJLHIGFFK48CB,TWIN PARK,B棟2-16F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中正路463巷,46.82,住,,,1120222.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,143.56,3.0,2.0,2.0,有,無,10980000.0,76484.0,一樓平面,26.16,0.0,,RPPNMLNJLHIGFFK28CB,星苑,D棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中正路463巷,31.97,住,,,1120302.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,98.01,3.0,2.0,2.0,有,無,7380000.0,75298.0,一樓平面,12.41,0.0,,RPQNMLNJLHIGFFK38CB,星苑,B棟2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物),苗栗縣頭份市中山路256號旁,8.54,住,,,1120225.0,土地1建物1車位0,四層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,31.58,1.0,1.0,1.0,有,無,3050000.0,96580.0,,0.0,0.0,,RPRNMLNJLHIGFFK48CB,商喬吉品3,A3-4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
