鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.41,商,Unnamed: 5,Unnamed: 6,1120512,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,136.12,3,1,2,有,無,13000000,101345,坡道平面,27.58,2000000,Unnamed: 26,RPPNMLMKNHIGFDE67CB,鑫天地二期,A棟5號,Unnamed: 30,來源資料夾,小港區,房地(土地+建物),高雄市小港區達德街115號3樓,26.2,住,1120812,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),84.39,2.1,2.2,7930000,93968,Unnamed: 23,0.0,0,RPPNMLMKQHIGFCE87CB,綠舟,A2棟115號
鹽埕區,房地(土地+建物),高雄市鹽埕區公園二路,6.84,商,,,1111113.0,土地1建物1車位0,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,74.8,2.0,1.0,1.0,有,無,8930000.0,119385.0,,0.0,0.0,,RPSNMLLLJIHGFAE27CB,仰德駁二,A2棟03號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學南路&大學二十九路&大學五十六街,14.72,住,,,1111118.0,土地2建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.99,3.0,2.0,2.0,有,無,12330000.0,85516.0,坡道平面,13.79,1880000.0,,RPPNMLLLJIHGFEE37CB,崑庭馥御,H棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區左屏段2地號,7.8,住,,,1111121.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.09,2.0,1.0,1.0,有,無,8300000.0,94817.0,坡道機械,12.9,1550000.0,,RPQNMLLLJIHGFEE47CB,諾金,A7棟8號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區福山段 0299-0000 地號,7.66,商,,,1111119.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.45,3.0,2.0,2.0,有,無,14550000.0,129553.0,坡道平面,14.28,2350000.0,,RPRNMLMLJIHGFEE67CB,棋琴26重奏,B3棟03號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁武區,房地(土地+建物),高雄市仁武區澄觀路201號旁,18.86,住,,,1111117.0,土地1建物1車位0,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.24,2.0,1.0,2.0,有,無,6450000.0,83506.0,,0.0,0.0,,RPPNMLMLJIHGFIE87CB,欣澄,A棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁武區,房地(土地+建物)+車位,高雄市仁武區澄觀路201號旁,24.27,住,,,1111119.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.04,3.0,2.0,2.0,有,無,10800000.0,90671.0,坡道平面,26.78,1800000.0,,RPQNMLMLJIHGFIE97CB,欣澄,A棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁武區,房地(土地+建物)+車位,高雄市仁武區澄觀路201號旁,20.14,住,,,1111119.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.05,2.0,1.0,2.0,有,無,7880000.0,77465.0,坡道平面,25.69,1500000.0,,RPRNMLMLJIHGFIE08CB,欣澄,A棟2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁武區,房地(土地+建物)+車位,高雄市仁武區澄觀路201號旁,20.14,住,,,1111120.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.14,2.0,1.0,2.0,有,無,8400000.0,82564.0,坡道平面,26.78,1600000.0,,RPSNMLMLJIHGFIE18CB,欣澄,A棟2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苓雅區,房地(土地+建物),高雄市苓雅區三多四路66號旁,6.9,商,,,1111115.0,土地1建物1車位0,十九層,28.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.29,2.0,2.0,2.0,有,無,12390000.0,124786.0,,0.0,0.0,,RPQNMLMLJIHGFBE27CB,星玥灣,B棟2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前鎮區,房地(土地+建物)+車位,高雄市前鎮區一心二路,10.21,商,,,1111121.0,土地1建物1車位1,二十九層,29.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.35,3.0,2.0,2.0,有,無,20860000.0,133512.0,坡道平面,35.19,1880000.0,,RPPNMLMLJIHGFCE27CB,崑庭敦峰,A5棟29號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
