鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,Unnamed: 5,Unnamed: 6,1120531,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,90.2,3,2,2.1,有,無,6160000,68293,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLLMNHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C32F棟14號,Unnamed: 30,來源資料夾,38.43,1120820,94.46,6600000,69871,RPPNMLLLQHIGFAW86CB,C12F棟16號,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,36.04,1121201,86.38,6400000,74091,RPPNMLPJKIIGFAW56CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C22F棟222號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,,其他,,,,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號4號,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,,,112_04,37.96,1121109.0,90.99,7220000.0,79349.0,RPQNMLTJJIIGFAW96CB,B1C23F棟123號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,,住,,,,土地2建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,2.0,2.0,2.0,有,無,,,,0.0,0.0,,,酒鄉,,,112_04,33.61,1121026.0,80.87,4980000.0,61580.0,RPPNMLOKJIIGFAW09CB,A1B1棟C3號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),金門縣金寧鄉后沙劃測段16地號,,其他,,,,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,龍成后江灣二期集合住宅新建工程,,,112_04,43.11,1121031.0,104.08,6400000.0,61491.0,RPPNMLOKJIIGFAW56DB,1棟5F-C2號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉盤山村頂堡99之5號後方,,其他,,,,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,一樓平面,0.0,400000.0,車位為法定空地車位,,晴山馥居,,,112_04,41.48,1121107.0,97.18,7700000.0,79234.0,RPPNMLKLJIIGFAW88DB,C2號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村頂堡99之5號後方,,其他,,,,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,車位為法定空地車位,,晴山馥居,,,112_04,41.48,1121107.0,97.18,7240000.0,74501.0,RPQNMLKLJIIGFAW98DB,C2號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉盤山村頂堡99之5號後方,,其他,,,,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,一樓平面,0.0,400000.0,車位為法定空地車位,,晴山馥居,,,112_04,39.64,1121031.0,93.08,7450000.0,80039.0,RPRNMLKLJIIGFAW09DB,C4號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉安西劃段,44.43,1121128.0,101.66,6300000.0,61971.0,RPPNMLNKKIIGFAW09CB,光前首澤,C1棟0號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉后沙劃測段16地號,43.11,1121128.0,104.52,6090000.0,58266.0,RPPNMLNKKIIGFAW56DB,龍成后江灣二期集合住宅新建工程,1棟2F-C3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村頂堡99之5號後方,40.52,1121205.0,95.13,7190000.0,75581.0,RPPNMLOKKIIGFAW66DB,晴山馥居,C1號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段670地號,32.29,1121224.0,80.43,5570000.0,69253.0,RPPNMLQLKIIGFAW86CB,金門縣金城鎮金門城測段670地號集合住宅新建工程,C24F棟24號
