鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.74,住,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,177.45,3,1,2,有,無,12200000,76985,坡道平面,53.4,2650000,Unnamed: 26,RPPNMLQKNHIGFAI18CB,未來樹,L5棟5F號,Unnamed: 30,來源資料夾,嘉義市嘉義市日新街與立學街口,31.16,商,1120813,土地1建物1車位1,六層,13,204.63,2.1,19380000,104299,33.2,1500000,RPPNMLOKQHIGFAI28CB,仰?日新,1棟6B1號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,17.24,商,,,1111205.0,土地1建物1車位1,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.56,1.0,2.0,1.0,有,無,8460000.0,79300.0,坡道平面,29.27,1300000.0,,RPROMLLKKIHGFAI67CB,佳昂?家易,C5棟9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111205.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7790000.0,74666.0,坡道平面,29.27,1300000.0,,RPSOMLLKKIHGFAI77CB,佳昂?家易,D1棟8號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111205.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7800000.0,75357.0,坡道平面,29.27,1250000.0,,RPTOMLLKKIHGFAI87CB,佳昂?家易,D1棟10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,17.24,商,,,1111205.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.98,2.0,2.0,1.0,有,無,8320000.0,76546.0,坡道平面,29.27,1300000.0,,RPUOMLLKKIHGFAI97CB,佳昂?家易,E1棟11號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111205.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.81,2.0,2.0,1.0,有,無,7410000.0,72865.0,坡道平面,29.27,1250000.0,,RPVOMLLKKIHGFAI08CB,佳昂?家易,E3棟3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111205.0,土地1建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.81,2.0,2.0,1.0,有,無,7790000.0,76768.0,坡道平面,29.27,1300000.0,,RPWOMLLKKIHGFAI18CB,佳昂?家易,E3棟7號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111205.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.81,2.0,2.0,1.0,有,無,7850000.0,77478.0,坡道平面,29.27,1300000.0,,RPXOMLLKKIHGFAI28CB,佳昂?家易,E3棟9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111205.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7270000.0,68684.0,坡道平面,29.27,1300000.0,,RPOPMLLKKIHGFAI47CB,佳昂?家易,E6棟4號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111205.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7800000.0,75357.0,坡道平面,29.27,1250000.0,,RPPPMLLKKIHGFAI57CB,佳昂?家易,E6棟10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,17.24,商,,,1111128.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.98,2.0,2.0,1.0,有,無,7800000.0,71421.0,坡道平面,29.27,1250000.0,,RPPNMLMKKIHGFAI47CB,佳昂?家易,E1棟4號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
