鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,91.67,Unnamed: 4,鄉村區,乙種建築用地,1120517,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,149.35,4,2,4.1,有,無,8580000,57449,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMLNHIGFBQ78CB,上荷院8期,8C區棟13號,Unnamed: 30,來源資料夾,民雄鄉,嘉義縣民雄鄉正義二街,169.25,住,Unnamed: 5,Unnamed: 6,1120813,土地4建物1車位0,242.18,5,25800000,106532,RPPNMLOKQHIGFCQ66CB,中正-森學院,A棟10號,大林鎮,嘉義縣大林鎮林頭,118.37,1121111,173.42,3.1,10580000,61008,RPQNMLPKJIIGFCQ88CB,新社團三期,A棟2號
水上鄉,房地(土地+建物),嘉義縣水上鄉內溪村溪仔底20-2旁空地,115.68,,鄉村區,乙種建築用地,1120228.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,146.12,4.0,2.0,3.0,有,無,8820000.0,60361.0,,0.0,0.0,,RPPNMLRJLHIGFDQ09CB,得意22期之三,D棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉內溪村溪仔底20-2旁空地,113.5,,鄉村區,乙種建築用地,1120224.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,146.12,4.0,2.0,3.0,有,無,8280000.0,56666.0,,0.0,0.0,,RPQNMLRJLHIGFDQ56CB,得意22期之三,D棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉福樂段142地號,15.37,商,,,1120222.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.14,2.0,2.0,2.0,有,無,7800000.0,76546.0,坡道機械,13.43,780000.0,,RPPNMLRJLHIGFCQ98CB,領袖,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉福樂段142地號,19.46,商,,,1120221.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.61,3.0,2.0,2.0,有,無,9530000.0,75314.0,坡道機械,13.43,780000.0,,RPQNMLRJLHIGFCQ09CB,領袖,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉福樂段142地號,15.5,商,,,1120218.0,土地1建物1車位0,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.47,2.0,2.0,2.0,有,無,7000000.0,75700.0,,0.0,0.0,,RPRNMLRJLHIGFCQ56CB,領袖,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新港鄉,房地(土地+建物),嘉義縣新港鄉古民街,75.3,住,,,1120218.0,土地6建物3車位0,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,227.25,6.0,6.0,3.0,有,無,14900000.0,65567.0,,0.0,0.0,,RPPNMLTJLHIGFCQ56CB,新港上城,C棟C1C2C3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新港鄉,房地(土地+建物),嘉義縣新港鄉古民街,31.96,住,,,1120225.0,土地2建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.72,3.0,2.0,2.0,有,無,6960000.0,65217.0,,0.0,0.0,,RPQNMLTJLHIGFCQ66CB,新港上城,C棟C5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中山路五段,116.99,住,,,1120213.0,土地1建物1車位0,全,4.0,透天厝,住商用,鋼筋混凝土造,,237.42,4.0,2.0,5.0,有,無,26000000.0,109511.0,,0.0,0.0,,RPPNMLKKLHIGFDQ48CB,豪冠丰藝,A棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉義仁村樹頭埔,211.24,,特定農業區,甲種建築用地,1120304.0,土地1建物1車位0,全,2.0,透天厝,住家用,鋼筋混凝土造,,213.77,4.0,2.0,3.0,有,無,21000000.0,98236.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPPNMLLKLHIGFDQ68DB,春不老,N棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉溪洲村外溪洲,95.68,,鄉村區,乙種建築用地,1120218.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,129.8,4.0,2.0,2.0,有,無,8650000.0,66641.0,,0.0,0.0,,RPPNMLMKLHIGFDQ68CB,水上墅界,A2棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
