鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,6.03,住,Unnamed: 5,Unnamed: 6,1120512,土地4建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,30.07,1,1.1,1.2,有,無,11080000,368474,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCA17CB,松江ONE,D-13F號,Unnamed: 30,來源資料夾,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.53,1120813,土地3建物1車位1,十二層,15,134.11,3,2,2.1,29180000,269508,坡道平面,36.97,3000000,RPPNMLNKQHIGFDA67CB,中研首席,A2-12F號,中正區,臺北市中正區臨沂街33巷,24.77,1121111,土地1建物1車位1,六層,12,157.79,60080000,461488,35.62,3700000,RPPNMLLKJIIGFBA66CB,日健邸,6F-A3號
北投區,房地(土地+建物)+車位,臺北市北投區公館路350巷28號,14.65,住,,,1120221.0,土地9建物1車位1,十一層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.17,2.0,2.0,1.0,有,無,21730000.0,257630.0,坡道平面,37.14,2400000.0,,RPQNMLOLKHIGFEA47CB,欣聯奇岩,A-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,21.77,住,,,1120301.0,土地1建物1車位2,七層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.49,3.0,2.0,2.0,有,無,40050000.0,314010.0,坡道平面,80.64,4300000.0,,RPQNMLLJLHIGFEA17DB,隆雲心仝聚,D-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南港區,房地(土地+建物)+車位,臺北市南港區重陽里重陽路39巷,48.57,住,,,1120214.0,土地1建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,230.03,3.0,2.0,3.0,有,無,64660000.0,310967.0,坡道平面,32.71,3300000.0,,RPPNMLLJLHIGFDA96DB,中瑋吾年,1棟A4-3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物),臺北市信義區松隆路４２號旁,8.57,住,,,1120223.0,土地1建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.13,2.0,1.0,1.0,有,無,23180000.0,392018.0,,0.0,0.0,,RPPNMLLJLHIGFDA86CB,信義麗心,D-8F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段12號,4.8,商,,,1120215.0,土地6建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,68.65,1.0,1.0,1.0,有,無,24700000.0,409924.0,其他,13.03,1900000.0,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPPNMLLJLHIGFCA76CB,南京阿曼,E-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),臺北市中山區南京東路三段12號,4.74,商,,,1120226.0,土地6建物1車位0,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,54.91,1.0,1.0,1.0,有,無,20600000.0,375159.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPQNMLLJLHIGFCA86CB,南京阿曼,F-07F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段12號,4.8,商,,,1120228.0,土地6建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,68.65,1.0,1.0,1.0,有,無,24500000.0,406329.0,其他,13.03,1900000.0,,RPRNMLLJLHIGFCA96CB,南京阿曼,E-13F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段609號,25.39,商,,,1120222.0,土地22建物1車位2,二十層,21.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,280.25,0.0,0.0,0.0,無,無,92000000.0,411543.0,坡道平面,76.14,8000000.0,,RPPNMLMJLHIGFEA17DB,築觀,A1-20F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大安區,房地(土地+建物),臺北市大安區市民大道三段92號,6.17,住,,,1120211.0,土地7建物1車位0,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,36.41,1.0,0.0,1.0,有,無,14330000.0,393573.0,,0.0,0.0,,RPRNMLMJLHIGFFA37CB,三創爵鼎,C-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大安區,房地(土地+建物)+車位,臺北市大安區臥龍街,33.21,住,,,1120218.0,土地14建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,221.98,3.0,2.0,2.0,有,無,52390000.0,276183.0,坡道平面,44.96,3500000.0,,RPPNMLNJLHIGFFA27CB,大安富御,A2棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
內湖區,房地(土地+建物)+車位,臺北市內湖區江南街71巷16弄5之1號,17.43,住,,,1120214.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.46,3.0,2.0,2.0,有,無,34680000.0,263758.0,坡道平面,45.35,3000000.0,,RPPNMLNJLHIGFCA96CB,廣宇江南,A1-4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
