鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,6.03,住,Unnamed: 5,Unnamed: 6,1120512,土地4建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,30.07,1,1.1,1.2,有,無,11080000,368474,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCA17CB,松江ONE,D-13F號,Unnamed: 30,來源資料夾,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.53,1120813,土地3建物1車位1,十二層,15,134.11,3,2,2.1,29180000,269508,坡道平面,36.97,3000000,RPPNMLNKQHIGFDA67CB,中研首席,A2-12F號,中正區,臺北市中正區臨沂街33巷,24.77,1121111,土地1建物1車位1,六層,12,157.79,60080000,461488,35.62,3700000,RPPNMLLKJIIGFBA66CB,日健邸,6F-A3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松山區,房地(土地+建物)+車位,臺北市松山區復興北路499巷,10.97,住,,,1120630.0,土地7建物1車位1,四層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.71,2.0,2.0,1.0,有,無,26150000.0,332497.0,坡道機械,22.98,2300000.0,,RPSNMLPLPHIGFDA18CB,伊邸,A5-4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大同區,房地(土地+建物)+車位,臺北市大同區南京西路４４８號旁,16.43,其他,,,1120629.0,土地8建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.25,2.0,2.0,1.0,有,無,32170000.0,266890.0,坡道平面,38.83,2700000.0,雨遮面積登記不計價,RPPNMLPLPHIGFBA67CB,麗盛南京,B棟3F-1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萬華區,房地(土地+建物)+車位,臺北市萬華區和平西路三段２７４號旁,12.45,其他,,,1120630.0,土地10建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.19,2.0,2.0,2.0,有,無,20880000.0,223996.0,其他,9.01,1800000.0,,RPQNMLPLPHIGFBA77CB,恆隆聚,A2-9F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大同區,房地(土地+建物)+車位,臺北市大同區南京西路２６７號旁,12.06,商,,,1120630.0,土地6建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.47,3.0,2.0,2.0,有,無,37300000.0,269532.0,升降機械,22.76,1800000.0,,RPRNMLPLPHIGFBA87CB,合砌埕家,A1-12F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區大直街84巷,22.96,住,,,1120630.0,土地3建物1車位1,一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,201.49,0.0,0.0,0.0,無,無,67180000.0,369719.0,坡道平面,28.71,3300000.0,雨遮不計價交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；毛胚屋；,RPPNMLPLPHIGFCA87DB,躍大直,A1-1F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大安區,房地(土地+建物)+車位,臺北市大安區安東街35巷,15.37,住,,,1120622.0,土地12建物1車位1,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.76,2.0,1.0,1.0,有,無,47180000.0,475527.0,坡道平面,24.64,3850000.0,,RPQNMLPLPHIGFFA18CB,親家JIA,B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大安區,房地(土地+建物)+車位,臺北市大安區安東街35巷,15.37,住,,,1120624.0,土地12建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.76,2.0,1.0,1.0,有,無,48150000.0,482880.0,坡道平面,24.64,4150000.0,,RPRNMLPLPHIGFFA28CB,親家JIA,B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段47號,4.64,商,,,1120628.0,土地6建物1車位1,十二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.44,3.0,2.0,2.0,有,無,28400000.0,248953.0,坡道平面,20.81,2850000.0,,RPPNMLQLPHIGFAA67CB,象山主人,A棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段47號,4.64,商,,,1120629.0,土地6建物1車位1,十七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.08,2.0,1.0,1.0,有,無,17600000.0,261878.0,塔式車位,10.41,1450000.0,,RPQNMLQLPHIGFAA77CB,象山主人,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物),臺北市文山區木柵路三段47號,4.64,商,,,1120629.0,土地6建物1車位0,十五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,55.78,1.0,1.0,1.0,有,無,14080000.0,252420.0,,0.0,0.0,,RPRNMLQLPHIGFAA87CB,象山主人,A棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物),臺北市文山區木柵路三段47號,4.64,商,,,1120630.0,土地6建物1車位0,十一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.37,2.0,2.0,2.0,有,無,20410000.0,239077.0,,0.0,0.0,,RPUNMLQLPHIGFAA18CB,象山主人,A棟4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物),臺北市文山區木柵路三段47號,4.64,商,,,1120630.0,土地6建物1車位0,十三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.37,2.0,2.0,2.0,有,無,21000000.0,245988.0,,0.0,0.0,,RPVNMLQLPHIGFAA28CB,象山主人,A棟4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段47號,4.64,商,,,1120630.0,土地6建物1車位1,五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.22,2.0,2.0,2.0,有,無,28600000.0,229072.0,坡道平面,20.81,2850000.0,,RPWNMLQLPHIGFAA38CB,象山主人,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段47號,4.64,商,,,1120630.0,土地6建物1車位1,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.27,3.0,2.0,2.0,有,無,25750000.0,227446.0,塔式車位,10.41,1900000.0,,RPXNMLQLPHIGFAA48CB,象山主人,A棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北投區,房地(土地+建物)+車位,臺北市北投區公?路326巷5號,13.13,住,,,1120724.0,土地6建物1車位1,十層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,165.91,3.0,1.0,2.0,有,無,36380000.0,271546.0,升降平面,39.67,2100000.0,原申報書序號 : B1AE11207260001備註 : 此戶為露臺戶,RPPNMLQLPHIGFEA08CB,麒源·拓,A棟B-10號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區聚盛里錦州街30巷,6.05,商,,,1120621.0,土地7建物1車位1,七層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,92.31,2.0,1.0,1.0,有,無,27780000.0,341613.0,坡道機械,15.82,1650000.0,,RPPNMLQLPHIGFCA97DB,中山．吉美,A棟A9-7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萬華區,房地(土地+建物)+車位,臺北市萬華區青山里環河南路二段5巷1號,5.17,商,,,1120627.0,土地12建物1車位1,十二層,23.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,92.81,2.0,2.0,1.0,有,無,18980000.0,206705.0,其他,10.18,1900000.0,雨遮計坪不計價,RPPNMLQLPHIGFBA77CB,安家秀,A9棟12F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萬華區,房地(土地+建物)+車位,臺北市萬華區青山里環河南路二段5巷1號,5.78,商,,,1120716.0,土地12建物1車位1,十二層,23.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,102.69,3.0,2.0,2.0,有,無,21660000.0,213599.0,其他,10.18,1900000.0,雨遮計坪不計價,RPQNMLQLPHIGFBA87CB,安家秀,A6棟12F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萬華區,房地(土地+建物)+車位,臺北市萬華區青山里環河南路二段5巷1號,5.78,商,,,1120716.0,土地12建物1車位1,十一層,23.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,102.69,3.0,2.0,2.0,有,無,21380000.0,210572.0,其他,10.18,1900000.0,雨遮計坪不計價,RPRNMLQLPHIGFBA97CB,安家秀,A6棟11F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萬華區,房地(土地+建物)+車位,臺北市萬華區青山里環河南路二段5巷1號,5.89,商,,,1120713.0,土地12建物1車位1,十三層,23.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,104.29,3.0,2.0,2.0,有,無,21800000.0,211455.0,其他,10.18,1900000.0,雨遮計坪不計價,RPSNMLQLPHIGFBA08CB,安家秀,A5棟13F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信義區,房地(土地+建物)+車位,臺北市信義區嘉興街１７５巷１號旁,19.17,住,,,1120630.0,土地5建物1車位1,五層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.42,2.0,2.0,2.0,有,無,35400000.0,311137.0,坡道平面,32.25,3300000.0,,RPPNMLQLPHIGFDA97CB,樂揚映白,B-5F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信義區,房地(土地+建物)+車位,臺北市信義區嘉興街１７５巷１號旁,19.17,住,,,1120630.0,土地5建物1車位1,四層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.0,2.0,2.0,2.0,有,無,35280000.0,309974.0,坡道平面,29.83,3300000.0,,RPQNMLQLPHIGFDA08CB,樂揚映白,B-4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,內湖區,房地(土地+建物)+車位,臺北市內湖區週美里新豐街,44.52,住,,,1120706.0,土地1建物1車位1,三層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.96,3.0,2.0,2.0,有,無,60460000.0,353703.0,坡道平面,37.79,3100000.0,,RPPNMLQLPHIGFCA87CB,義泰值境,A1-3F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段63號,32.29,商,,,1120706.0,土地3建物1車位1,十二層,23.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,398.88,0.0,0.0,0.0,無,無,214880000.0,592895.0,坡道平面,43.37,4100000.0,,RPQNMLQLPHIGFCA97CB,國賓皇琚,B1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段63號,59.53,商,,,1120725.0,土地3建物1車位5,二十二層,23.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,871.77,0.0,0.0,0.0,無,無,451410000.0,653378.0,坡道平面,216.85,23500000.0,,RPRNMLQLPHIGFCA08CB,國賓皇琚,B1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區錦州街30巷,8.1,商,,,1120628.0,土地7建物1車位1,二十一層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,134.04,2.0,2.0,2.0,有,無,41800000.0,385254.0,坡道平面,31.64,2350000.0,,RPSNMLQLPHIGFCA18CB,中山．吉美,A棟A1-21F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區明水路375號,11.89,住,,,1120715.0,土地11建物1車位2,二十層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,172.86,2.0,2.0,2.0,有,無,57660000.0,508203.0,坡道平面,69.24,5000000.0,雨遮不計價,RPPNMLRLPHIGFCA97CB,最大直,A3-20F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路,24.76,住,,,1120721.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.76,3.0,2.0,2.0,有,無,49000000.0,365951.0,坡道平面,38.88,3300000.0,,RPQNMLRLPHIGFCA08CB,國泰蒔美,A6-15F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,1120704.0,土地40建物1車位1,十五層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2.0,2.0,2.0,有,無,27000000.0,278534.0,坡道平面,27.27,2450000.0,,RPPNMLRLPHIGFBA87CB,首岳,B棟B5-15F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,1120706.0,土地40建物1車位1,十四層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2.0,2.0,2.0,有,無,27750000.0,287545.0,坡道平面,27.27,2400000.0,,RPQNMLRLPHIGFBA97CB,首岳,B棟B8-14F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,1120706.0,土地40建物1車位1,十一層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2.0,2.0,2.0,有,無,27500000.0,283348.0,坡道平面,27.27,2520000.0,,RPRNMLRLPHIGFBA08CB,首岳,B棟B9-11F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區長安西路,18.64,商,,,1120703.0,土地8建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,203.14,3.0,2.0,2.0,有,無,57000000.0,319155.0,升降平面,33.63,2900000.0,,RPPNMLRLPHIGFCA08DB,中山松悅,B1棟3F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷,17.44,住,,,1120724.0,土地2建物1車位1,六層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.69,2.0,2.0,2.0,有,無,24800000.0,266895.0,坡道平面,39.01,3000000.0,,RPPNMLRLPHIGFEA18CB,長耀四季,A棟A2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷,25.83,住,,,1120724.0,土地2建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.95,3.0,2.0,2.0,有,無,34980000.0,265533.0,坡道平面,35.76,2800000.0,,RPQNMLRLPHIGFEA28CB,長耀四季,A棟A5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北投區,房地(土地+建物)+車位,臺北市北投區立農里立農街一段257巷7弄8號,17.1,住,,,1120630.0,土地10建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.41,2.0,2.0,1.0,有,無,22500000.0,277741.0,坡道機械,19.88,1800000.0,,RPRNMLRLPHIGFEA38CB,夏沐時,A3-10F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中正區,房地(土地+建物),臺北市中正區龍興里和平西路二段70巷C2-4F,12.12,住,,,1120630.0,土地1建物1車位0,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,47.84,1.0,1.0,1.0,有,無,7810000.0,163253.0,,0.0,0.0,,RPPNMLRLPHIGFAA77CB,品陽大苑C區,C2-4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大安區,房地(土地+建物)+車位,臺北市大安區正聲里光復南路260巷、280巷,10.31,住,,,1120717.0,土地16建物1車位1,十六層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,111.95,2.0,1.0,2.0,有,無,54180000.0,598028.0,坡道平面,27.79,3850000.0,,RPPNMLRLPHIGFFA28CB,鑄慕,A3-16F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大安區,房地(土地+建物)+車位,臺北市大安區正聲里光復南路260巷、280巷,16.82,住,,,1120722.0,土地16建物1車位1,四層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,165.17,3.0,1.0,2.0,有,無,79350000.0,545931.0,坡道平面,27.79,4350000.0,,RPQNMLRLPHIGFFA38CB,鑄慕,A9-4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷18弄12號,12.7,住,,,1120725.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.22,2.0,1.0,2.0,有,無,24690000.0,229420.0,坡道平面,34.19,2200000.0,雨遮計坪不計價,RPPNMLSLPHIGFCA18DB,家騰真,A4-14F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段609號,22.05,商,,,1120719.0,土地22建物1車位2,二十層,21.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,253.68,0.0,0.0,0.0,無,無,78760000.0,398558.0,坡道平面,76.14,8000000.0,,RPPNMLSLPHIGFEA38DB,築觀,B2-20F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,士林區,房地(土地+建物),臺北市士林區中山北路五段609號,21.26,商,,,1120719.0,土地22建物1車位0,二十層,21.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,171.21,0.0,0.0,0.0,無,無,69400000.0,405350.0,,0.0,0.0,,RPQNMLSLPHIGFEA48DB,築觀,A3-20F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路一段175巷,21.97,住,,,1120725.0,土地16建物1車位1,九層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.49,3.0,2.0,2.0,有,無,34100000.0,290349.0,坡道平面,43.0,2600000.0,,RPPNMLSLPHIGFCA08CB,三豐AIT,A-9F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南港區,房地(土地+建物)+車位,臺北市南港區東新里興南街,20.92,住,,,1120715.0,土地7建物1車位1,八層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,179.83,3.0,2.0,2.0,有,無,47350000.0,281100.0,坡道平面,23.48,3400000.0,預售屋雨遮計坪不計價,RPPNMLSLPHIGFDA18CB,擎天森林,B棟B3-8F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.48,住,,,1120729.0,土地3建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.86,3.0,2.0,2.0,有,無,28430000.0,263495.0,坡道平面,36.97,2900000.0,,RPPNMLTLPHIGFDA28CB,中研首席,A1-13F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.53,住,,,1120729.0,土地3建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.11,3.0,2.0,2.0,有,無,28860000.0,266214.0,坡道平面,36.97,3000000.0,,RPQNMLTLPHIGFDA38CB,中研首席,A2-11F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段47號,4.64,商,,,1120701.0,土地6建物1車位1,四層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.06,3.0,2.0,2.0,有,無,29520000.0,222204.0,坡道平面,20.81,2800000.0,,RPPNMLTLPHIGFAA97CB,象山主人,A棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,25.14,住,,,1120728.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.62,3.0,2.0,2.0,有,無,35650000.0,331816.0,坡道平面,36.77,2850000.0,,RPPNMLKMPHIGFEA57CB,宏普陽明,1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.5,住,,,1120730.0,土地3建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.94,3.0,2.0,2.0,有,無,27330000.0,251934.0,坡道平面,36.97,2900000.0,,RPPNMLKMPHIGFDA47CB,中研首席,A6-8F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南港區,房地(土地+建物),臺北市南港區福山街44巷5號,14.09,住,,,1120730.0,土地3建物1車位0,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.87,2.0,2.0,1.0,有,無,19670000.0,266279.0,,0.0,0.0,,RPQNMLKMPHIGFDA57CB,中研首席,A8-8F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,34.83,住,,,1120730.0,土地3建物1車位1,一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.61,4.0,2.0,2.0,有,無,51780000.0,266535.0,坡道平面,36.97,3100000.0,,RPRNMLKMPHIGFDA67CB,中研首席,A6-1F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山區,房地(土地+建物)+車位,臺北市中山區新生里松江路330巷23號,6.77,住,,,1120730.0,土地4建物1車位1,十一層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,46.97,1.0,1.0,1.0,有,無,14390000.0,367111.0,其他,13.22,2000000.0,,RPPNMLKMPHIGFCA37CB,松江ONE,C-11F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北投區,房地(土地+建物)+車位,臺北市北投區文林北路131號,30.32,住,,,1120716.0,土地1建物1車位2,十九層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,238.21,3.0,2.0,2.0,有,無,66200000.0,359039.0,坡道平面,70.54,6000000.0,,RPPNMLLMPHIGFEA67CB,家居安曼,B2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
