鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新竹市,房地(土地+建物)+車位,新竹市新竹市南大路,25.78,商,Unnamed: 5,Unnamed: 6,1120513,土地2建物1車位2,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,218.0,3,2,2.1,有,無,25450000,158048,升降平面,77.22,3200000,Unnamed: 26,RPQNMLPKNHIGFAO78CB,福砌3,B棟6號,Unnamed: 30,來源資料夾,新竹市新竹市北區西門街,28.99,住,1120812,土地1建物1車位1,二層,14,159.46,26200000,189142,坡道平面,33.1,2300000,RPPNMLMKQHIGFAO78DB,鴻碩,B-2號,新竹市新竹市北區鐵道路二段,32.61,1121112,22,182.16,27050000,166264,33.0,2250000,RPPNMLMKJIIGFAO18DB,鴻萃,A棟2號
新竹市,房地(土地+建物),新竹市新竹市中華路六段647巷136弄K區,170.4,,山坡地保育區,丙種建築用地,1120219.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,196.08,3.0,2.0,3.0,有,無,19540000.0,99653.0,,0.0,0.0,原起造人新富開發股份有限公司負責人:尤麗敏因辦理預售屋不動產開發信託，變更起造人為寶國建築經理股份有限公司負責人:陳正林。,RPPNMLSJLHIGFAO68CB,竹科莊園,KB40棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市中華路六段647巷136弄K區,216.89,,山坡地保育區,丙種建築用地,1120219.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,236.78,3.0,2.0,3.0,有,無,23560000.0,99502.0,,0.0,0.0,原起造人新富開發股份有限公司負責人:尤麗敏因辦理預售屋不動產開發信託，變更起造人為寶國建築經理股份有限公司負責人:陳正林。,RPQNMLSJLHIGFAO78CB,竹科莊園,KB2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市中華路六段647巷136弄K區,103.28,,山坡地保育區,丙種建築用地,1120226.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,147.66,3.0,2.0,2.0,有,無,15250000.0,103278.0,,0.0,0.0,原起造人新富開發股份有限公司負責人:尤麗敏因辦理預售屋不動產開發信託，變更起造人為寶國建築經理股份有限公司負責人:陳正林。,RPRNMLSJLHIGFAO88CB,竹科莊園,KA2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市中華路六段647巷136弄K區,94.93,,山坡地保育區,丙種建築用地,1120226.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,147.66,3.0,2.0,2.0,有,無,15240000.0,103210.0,,0.0,0.0,原起造人新富開發股份有限公司負責人:尤麗敏因辦理預售屋不動產開發信託，變更起造人為寶國建築經理股份有限公司負責人:陳正林。,RPSNMLSJLHIGFAO98CB,竹科莊園,KA32棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市中華路六段647巷136弄K區,210.25,,山坡地保育區,丙種建築用地,1120226.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,236.41,3.0,2.0,3.0,有,無,23490000.0,99361.0,,0.0,0.0,原起造人新富開發股份有限公司負責人:尤麗敏因辦理預售屋不動產開發信託，變更起造人為寶國建築經理股份有限公司負責人:陳正林。,RPTNMLSJLHIGFAO09CB,竹科莊園,KB3棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路二段307巷,44.26,,鄉村區,乙種建築用地,1120303.0,土地3建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.09,3.0,2.0,2.0,有,無,13050000.0,93702.0,一樓平面,14.76,1400000.0,,RPQNMLNKLHIGFAO38CB,幸福雄郡NO7,C棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路二段307巷,45.54,,鄉村區,乙種建築用地,1120304.0,土地3建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.77,3.0,2.0,2.0,有,無,14360000.0,101361.0,一樓平面,5.91,1400000.0,,RPRNMLNKLHIGFAO48CB,幸福雄郡NO7,A棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路二段307巷,38.02,,鄉村區,乙種建築用地,1120311.0,土地3建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.64,2.0,2.0,1.0,有,無,10850000.0,93217.0,升降平面,7.9,900000.0,,RPSNMLNKLHIGFAO58CB,幸福雄郡NO7,B棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市民權路268巷,9.65,住,,,1120219.0,土地1建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,44.74,1.0,0.0,1.0,有,無,6700000.0,149754.0,,0.0,0.0,,RPPNMLOKLHIGFAO38CB,PARK268,C1棟2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市民權路268巷,7.58,住,,,1120219.0,土地1建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,35.04,1.0,0.0,1.0,有,無,5250000.0,149829.0,,0.0,0.0,,RPQNMLOKLHIGFAO48CB,PARK268,C2棟2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
