鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,南投市,房地(土地+建物),南投縣南投市文化路707巷,82.82,住,Unnamed: 5,Unnamed: 6,1120511,土地5建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,Unnamed: 14,162.25,4,2,3.1,有,無,11380000,70139,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFAM18CB,文化一綻,B棟41號,Unnamed: 30,來源資料夾,草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮加老東路,32.08,Unnamed: 4,鄉村區,乙種建築用地,1120813,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,168.24,2.1,10240000,78531,坡道平面,52.49,1150000,RPPNMLOKQHIGFBM78CB,幸福時光,C棟8號,南投縣南投市振興巷,44.1,1121113,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),99.45,2.2,7000000,70387,RPPNMLRKJIIGFAM38CB,知寓,B棟3號
南投市,房地(土地+建物)+車位,南投縣南投市彰南路一段,38.85,住,,,1120213.0,土地2建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.22,3.0,2.0,2.0,有,無,10800000.0,69315.0,坡道平面,29.0,1150000.0,,RPSNMLNJLHIGFAM38DB,寬心一品苑,F棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市華陽路,121.51,住,,,1120301.0,土地5建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,179.0,4.0,3.0,4.0,有,無,14980000.0,83687.0,,0.0,0.0,,RPPNMLPJLHIGFAM18CB,首富森境,A棟21號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市文化路707巷,99.82,住,,,1120304.0,土地5建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,161.2,4.0,2.0,3.0,有,無,12050000.0,74752.0,,0.0,0.0,,RPPNMLQJLHIGFAM28CB,文化一綻,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市文化路707巷,98.82,住,,,1120304.0,土地5建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,182.66,4.0,2.0,3.0,有,無,12050000.0,65970.0,,0.0,0.0,,RPPNMLRJLHIGFAM38CB,文化一綻,B棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市文化路707巷,103.82,住,,,1120301.0,土地5建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,161.2,4.0,2.0,3.0,有,無,12120000.0,75186.0,,0.0,0.0,,RPQNMLRJLHIGFAM48CB,文化一綻,B棟70號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹山鎮,房地(土地+建物),南投縣竹山鎮和育一巷,106.19,住,,,1120217.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,159.62,4.0,3.0,3.0,有,無,11600000.0,72673.0,,0.0,0.0,,RPPNMLRJLHIGFDM68CB,山水竹苑,A棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市同源路一街,89.82,,工業區,丁種建築用地,1120307.0,土地2建物1車位0,全,3.0,透天厝,住家用,見其他登記事項,,188.13,4.0,2.0,3.0,有,無,10300000.0,54749.0,,0.0,0.0,,RPPNMLSJLHIGFAM58DB,薪享墅城,C2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市同源路一街,89.82,,工業區,丁種建築用地,1120307.0,土地2建物1車位0,全,3.0,透天厝,住家用,見其他登記事項,,188.13,4.0,2.0,3.0,有,無,10300000.0,54749.0,,0.0,0.0,,RPQNMLSJLHIGFAM68DB,薪享墅城,C3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
草屯鎮,房地(土地+建物),南投縣草屯鎮加老路,33.06,,鄉村區,乙種建築用地,1120303.0,土地2建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.19,2.0,2.0,2.0,有,無,6330000.0,66499.0,,0.0,0.0,,RPPNMLSJLHIGFBM58CB,沐川,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
草屯鎮,房地(土地+建物),南投縣草屯鎮加老路,32.96,,鄉村區,乙種建築用地,1120303.0,土地2建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.82,2.0,2.0,2.0,有,無,6330000.0,66758.0,,0.0,0.0,,RPQNMLSJLHIGFBM68CB,沐川,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
