鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,24.05,其他,Unnamed: 5,Unnamed: 6,1120511,土地2建物1車位1,十一層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,Unnamed: 14,153.94,3,1,2,有,無,15190000,115127,坡道平面,34.42,1430000,Unnamed: 26,RPPNMLPKNHIGFCJ38CB,星都?C區,3D棟11F號,Unnamed: 30,來源資料夾,新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,312.86,Unnamed: 4,鄉村區,國土保安用地,1120813,土地2建物1車位0,全,4,透天厝,住家用,278.29,4.1,4.2,39890000,143340,Unnamed: 23,0.0,0,RPVNMLNKQHIGFBJ98CB,壹山2K,K棟5號,187.52,乙種建築用地,1121112,287.1,39970000,139220,RPUNMLNKJIIGFBJ28CB,壹山2D,D棟1號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,21.73,,一般農業區,甲種建築用地,1120708.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.57,2.0,2.0,2.0,有,無,8000000.0,78108.0,坡道平面,22.2,1410000.0,,RPRRMLRKPHIGFDJ86CB,心豐花園,D5棟2F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,21.73,,一般農業區,甲種建築用地,1120709.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.57,2.0,2.0,2.0,有,無,8260000.0,80005.0,坡道平面,22.2,1510000.0,,RPSRMLRKPHIGFDJ96CB,心豐花園,D5棟5F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,21.37,,一般農業區,甲種建築用地,1120707.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.16,2.0,2.0,1.0,有,無,8310000.0,81967.0,坡道平面,22.2,1510000.0,,RPURMLRKPHIGFDJ17CB,心豐花園,E2棟6F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,21.73,,一般農業區,甲種建築用地,1120707.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.57,2.0,2.0,2.0,有,無,8150000.0,79886.0,坡道平面,22.2,1410000.0,,RPWRMLRKPHIGFDJ37CB,心豐花園,E5棟4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,21.73,,一般農業區,甲種建築用地,1120707.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.57,2.0,2.0,2.0,有,無,8530000.0,82020.0,坡道平面,22.2,1610000.0,,RPXRMLRKPHIGFDJ47CB,心豐花園,E5棟5F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,50.31,,山坡地保育區,丙種建築用地,1120622.0,土地13建物1車位2,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.57,3.0,2.0,2.0,有,無,20330000.0,134460.0,坡道平面,30.94,2900000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之20.23。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,RPPNMLRKPHIGFCJ78CB,宏道新竹帝寶8區2號,E3棟5F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,77.73,,山坡地保育區,丙種建築用地,1120621.0,土地13建物1車位2,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,231.21,4.0,2.0,2.0,有,無,28680000.0,128227.0,坡道平面,30.94,3000000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.25。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,RPQNMLRKPHIGFCJ88CB,宏道新竹帝寶8區2號,F1棟4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,77.73,,山坡地保育區,丙種建築用地,1120620.0,土地13建物1車位2,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,231.21,4.0,2.0,2.0,有,無,29900000.0,134319.0,坡道平面,30.94,3000000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.25。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,RPRNMLRKPHIGFCJ98CB,宏道新竹帝寶8區2號,E1棟7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,77.73,,山坡地保育區,丙種建築用地,1120620.0,土地13建物1車位2,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,231.21,4.0,2.0,2.0,有,無,29650000.0,132821.0,坡道平面,30.94,3050000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.25。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,RPSNMLRKPHIGFCJ09CB,宏道新竹帝寶8區2號,F1棟7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,49.51,,山坡地保育區,丙種建築用地,1120621.0,土地13建物1車位2,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.48,3.0,2.0,2.0,有,無,20640000.0,138310.0,坡道平面,30.94,3000000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.90。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,RPTNMLRKPHIGFCJ56CB,宏道新竹帝寶8區2號,E2棟7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,77.73,,山坡地保育區,丙種建築用地,1120621.0,土地13建物1車位2,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,231.21,4.0,2.0,2.0,有,無,30610000.0,137365.0,坡道平面,30.94,3100000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.25。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,RPUNMLRKPHIGFCJ66CB,宏道新竹帝寶8區2號,D1棟7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬段3地號,34.17,住,,,1120630.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.85,2.0,1.0,2.0,有,無,14260000.0,149665.0,升降機械,15.92,1100000.0,,RPPNMLRKPHIGFBJ68CB,世乾。宅,A棟3F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬段3地號,34.17,住,,,1120629.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.85,2.0,1.0,2.0,有,無,14200000.0,148982.0,升降機械,15.92,1100000.0,,RPQNMLRKPHIGFBJ78CB,世乾。宅,A棟4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬段3地號,34.17,住,,,1120630.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.85,2.0,1.0,2.0,有,無,14630000.0,150461.0,一樓平面,15.92,1400000.0,,RPRNMLRKPHIGFBJ88CB,世乾。宅,A棟5F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街二段88號旁,26.61,住,,,1120630.0,土地2建物1車位1,八層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.18,3.0,2.0,2.0,有,無,25880000.0,184642.0,坡道平面,41.74,1980000.0,,RPSNMLRKPHIGFBJ98CB,嘉頤家宜,C棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街二段88號旁,26.52,住,,,1120628.0,土地2建物1車位1,十層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.76,3.0,2.0,2.0,有,無,26990000.0,192141.0,坡道平面,41.74,2200000.0,,RPTNMLRKPHIGFBJ09CB,嘉頤家宜,A棟10號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉和興路,93.23,,特定農業區,甲種建築用地,1120625.0,土地2建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,182.01,4.0,2.0,4.0,有,無,12680000.0,69667.0,一樓平面,0.0,0.0,,RPPNMLRKPHIGFDJ98DB,傳藝之家NO5,A棟11號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市隘興段406地號,35.7,商,,,1120715.0,土地1建物1車位2,十三層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,247.6,4.0,2.0,2.0,有,無,37350000.0,188150.0,坡道平面,74.6,4800000.0,,RPPNMLSKPHIGFBJ88DB,鼎東賦,A棟13號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,關西鎮,房地(土地+建物)+車位,新竹縣關西鎮中山段820-16地號,102.7,住,,,1120623.0,土地5建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,216.64,4.0,2.0,4.0,有,無,12900000.0,59546.0,一樓平面,13.75,0.0,,RPPNMLSKPHIGFBJ78CB,謙若山,A棟11號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,關西鎮,房地(土地+建物)+車位,新竹縣關西鎮中山段820-17地號,99.1,住,,,1120628.0,土地5建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,195.88,4.0,2.0,4.0,有,無,12700000.0,64836.0,一樓平面,13.75,0.0,,RPQNMLSKPHIGFBJ88CB,謙若山,A棟12號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,關西鎮,房地(土地+建物)+車位,新竹縣關西鎮中山段820-23地號,101.54,住,,,1120629.0,土地5建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,205.76,4.0,2.0,4.0,有,無,12000000.0,58320.0,一樓平面,13.75,0.0,,RPRNMLSKPHIGFBJ98CB,謙若山,A棟18號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市華興三街,29.38,住,,,1120626.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.06,3.0,2.0,2.0,有,無,19400000.0,138702.0,坡道平面,29.53,1850000.0,,RPSNMLSKPHIGFBJ09CB,佳鋐華興?,B3棟10F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,關西鎮,房地(土地+建物)+車位,新竹縣關西鎮東安段434-1地號,26.42,住,,,1120704.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.47,3.0,2.0,2.0,有,無,8300000.0,66601.0,坡道機械,26.06,880000.0,,RPTNMLSKPHIGFBJ56CB,寶金NO.3京品藝墅,A棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,11.75,商,,,1120704.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.42,2.0,2.0,1.0,有,無,11560000.0,106735.0,坡道平面,29.51,1750000.0,,RPUNMLSKPHIGFBJ66CB,市政御璽,C棟3-8F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,12.27,商,,,1120629.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.03,2.0,2.0,1.0,有,無,10900000.0,97362.0,坡道平面,29.51,1600000.0,,RPVNMLSKPHIGFBJ76CB,市政御璽,A棟2-5F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,16.98,商,,,1120626.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.81,3.0,2.0,2.0,有,無,14980000.0,100000.0,坡道平面,29.51,1750000.0,,RPWNMLSKPHIGFBJ86CB,市政御璽,C棟5-3F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,16.71,商,,,1120629.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.3,3.0,2.0,2.0,有,無,14620000.0,101086.0,坡道平面,29.51,1500000.0,,RPXNMLSKPHIGFBJ96CB,市政御璽,A棟5-9F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,17.5,商,,,1120626.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.89,3.0,2.0,2.0,有,無,15150000.0,99717.0,坡道平面,29.51,1750000.0,,RPOOMLSKPHIGFBJ78CB,市政御璽,B棟3-6F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,12.27,商,,,1120626.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.03,2.0,2.0,1.0,有,無,10950000.0,97885.0,坡道平面,29.51,1600000.0,,RPPOMLSKPHIGFBJ88CB,市政御璽,A棟2-14F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,12.27,商,,,1120630.0,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.99,2.0,2.0,1.0,有,無,10900000.0,97403.0,坡道平面,29.51,1600000.0,,RPQOMLSKPHIGFBJ98CB,市政御璽,B棟5-7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,17.5,商,,,1120626.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.89,3.0,2.0,2.0,有,無,15150000.0,99345.0,坡道平面,29.51,1800000.0,,RPROMLSKPHIGFBJ09CB,市政御璽,B棟3-15F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,17.5,商,,,1120630.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.67,3.0,2.0,2.0,有,無,15300000.0,100999.0,坡道平面,29.51,1750000.0,,RPSOMLSKPHIGFBJ56CB,市政御璽,B棟2-6F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路福田段373地號,17.5,商,,,1120626.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.67,3.0,2.0,2.0,有,無,15050000.0,100253.0,坡道平面,29.51,1600000.0,,RPTOMLSKPHIGFBJ66CB,市政御璽,B棟2-11F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路至善段40.41.42.43地號,10.87,住,,,1120707.0,土地4建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.95,1.0,1.0,1.0,有,無,7350000.0,101558.0,坡道平面,36.84,1550000.0,,RPPNMLSKPHIGFCJ88CB,至善高第,A2-7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路至善段40.41.42.43地號,23.94,住,,,1120629.0,土地4建物1車位2,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.3,3.0,2.0,2.0,有,無,15650000.0,99115.0,坡道平面,73.68,3100000.0,,RPQNMLSKPHIGFCJ98CB,至善高第,B3-3F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路至善段40.41.42.43地號,19.55,住,,,1120708.0,土地4建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.34,2.0,2.0,2.0,有,無,12230000.0,102222.0,坡道平面,36.84,1650000.0,,RPRNMLSKPHIGFCJ09CB,至善高第,B6-7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路至善段40.41.42.43地號,23.94,住,,,1120630.0,土地4建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.44,3.0,2.0,2.0,有,無,14120000.0,99289.0,坡道平面,36.84,1550000.0,,RPSNMLSKPHIGFCJ56CB,至善高第,B3-2F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,31.85,,一般農業區,甲種建築用地,1120619.0,土地1建物1車位1,六層,11.0,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,146.24,3.0,2.0,2.0,有,無,9560000.0,71319.0,坡道平面,22.43,730000.0,,RPPNMLSKPHIGFDJ98CB,弘峻理享城,D2-6F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,30.26,,一般農業區,甲種建築用地,1120628.0,土地1建物1車位1,五層,11.0,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,140.03,3.0,2.0,2.0,有,無,9180000.0,71854.0,坡道平面,22.43,730000.0,,RPQNMLSKPHIGFDJ09CB,弘峻理享城,D3-5F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,31.85,,一般農業區,甲種建築用地,1120630.0,土地1建物1車位1,四層,11.0,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,146.24,3.0,2.0,2.0,有,無,9380000.0,69865.0,坡道平面,22.43,730000.0,,RPRNMLSKPHIGFDJ56CB,弘峻理享城,F2-4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,30.26,,一般農業區,甲種建築用地,1120626.0,土地1建物1車位1,八層,11.0,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,140.03,3.0,2.0,2.0,有,無,9200000.0,72024.0,坡道平面,22.43,730000.0,,RPSNMLSKPHIGFDJ66CB,弘峻理享城,F3-8F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1129地號,25.36,住,,,1120627.0,土地1建物1車位2,一層,9.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,172.08,0.0,0.0,1.0,有,無,17050000.0,122958.0,坡道平面,59.44,3200000.0,,RPTNMLSKPHIGFDJ76CB,富宇明星綻,S11棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生八街,33.56,住,,,1120627.0,土地1建物1車位2,一層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,178.38,2.0,2.0,2.0,有,無,16000000.0,101331.0,坡道平面,46.93,2680000.0,,RPVNMLSKPHIGFDJ96CB,和峻沐光,C5-01F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物),新竹縣湖口鄉綠園段279-112地號,98.42,,特定農業區,甲種建築用地,1120711.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,165.05,5.0,2.0,4.0,有,無,17580000.0,106513.0,,0.0,0.0,,RPPNMLTKPHIGFDJ09CB,富旺華時代,S棟3-1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖口鄉,房地(土地+建物),新竹縣湖口鄉綠園段279-113地號,99.19,,特定農業區,甲種建築用地,1120630.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,165.05,5.0,2.0,4.0,有,無,17580000.0,106513.0,,0.0,0.0,,RPQNMLTKPHIGFDJ56CB,富旺華時代,S棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芎林鄉,房地(土地+建物),新竹縣芎林鄉光明路,56.9,住,,,1120712.0,土地1建物1車位0,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.84,3.0,2.0,2.0,有,無,18800000.0,138398.0,,0.0,0.0,交易總價含1個一樓平面車位使用權,RPPNMLTKPHIGFCJ98CB,竹科主人7,A棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮敦睦街2巷,38.37,住,,,1120629.0,土地2建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.46,3.0,2.0,2.0,有,無,11030000.0,88740.0,升降機械,3.87,950000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKPHIGFCJ09CB,弘揚睦,B棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寶山鄉,房地(土地+建物),新竹縣寶山鄉B15,180.45,,山坡地保育區,丙種建築用地,1120620.0,土地7建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,220.31,3.0,2.0,3.0,有,無,10350000.0,46979.0,,0.0,0.0,,RPSNMLTKPHIGFCJ66CB,有謙家園,B棟15號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹北市,房地(土地+建物)+車位,新竹縣竹北市世興段11地號,21.63,商,,,1120621.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.72,3.0,2.0,2.0,有,無,26540000.0,192035.0,坡道平面,28.92,2190000.0,,RPPNMLTKPHIGFBJ88CB,合新詠遇,A棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
