鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路64巷9號旁,102.33,住,Unnamed: 5,Unnamed: 6,1120511,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,204.6,4,2,5,有,無,12200000,59629,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCP68CB,寬庭恆美,A棟15號,Unnamed: 30,來源資料夾,斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,1120813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),163.82,1,12460000,86393,坡道平面,35.8,1400000,RPQNMLNKQHIGFAP98CB,品風華,4FE棟3號,古坑鄉,雲林縣古坑鄉廣濟路,132.99,Unnamed: 4,鄉村區,乙種建築用地,1121111,土地4建物1車位0,171.18,4.1,10350000,60463,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLLKJIIGFAP18DB,荷翠,D棟5號
崙背鄉,房地(土地+建物),雲林縣崙背鄉水尾村下街,122.29,,鄉村區,乙種建築用地,1120217.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,168.76,4.0,3.0,4.0,有,無,6780000.0,40175.0,,0.0,0.0,,RPPNMLQLKHIGFCP88CB,富貴邑3,B棟B1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉水尾村下街,131.29,,鄉村區,乙種建築用地,1120222.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,177.0,4.0,3.0,4.0,有,無,6800000.0,38418.0,,0.0,0.0,,RPQNMLQLKHIGFCP98CB,富貴邑3,B棟B3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,111.5,,鄉村區,乙種建築用地,1120219.0,土地5建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,174.44,4.0,2.0,4.0,有,無,9580000.0,54919.0,,0.0,0.0,,RPPNMLSLKHIGFAP88CB,幸福樂活NO.4,B9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路243巷,120.55,住,,,1120228.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,172.41,4.0,2.0,4.0,有,無,10300000.0,59741.0,,0.0,0.0,,RPQNMLSLKHIGFAP98CB,幸福愛悅,B4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路243巷,152.32,住,,,1120225.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,173.24,4.0,2.0,4.0,有,無,10680000.0,61649.0,,0.0,0.0,,RPRNMLSLKHIGFAP09CB,幸福愛悅,B5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,15.12,商,,,1120219.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.01,3.0,1.0,2.0,有,無,12280000.0,93309.0,坡道平面,35.8,1250000.0,,RPSNMLSLKHIGFAP56CB,品風華,8E棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,,,1120222.0,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.44,3.0,1.0,2.0,有,無,11870000.0,83986.0,坡道平面,35.8,1150000.0,,RPTNMLSLKHIGFAP66CB,品風華,4A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,15.21,商,,,1120222.0,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.73,3.0,1.0,2.0,有,無,11320000.0,84672.0,坡道平面,35.8,1250000.0,,RPUNMLSLKHIGFAP76CB,品風華,4E棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1120216.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.7,2.0,1.0,2.0,有,無,7950000.0,80283.0,坡道平面,17.9,580000.0,,RPVNMLSLKHIGFAP86CB,品風華,3E棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市樂利街,45.83,住,,,1120211.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.33,2.0,1.0,2.0,有,無,10220000.0,89235.0,一樓平面,14.93,1350000.0,,RPPNMLLJLHIGFAP08CB,聖德淳風五期,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
