鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路64巷9號旁,102.33,住,Unnamed: 5,Unnamed: 6,1120511,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,204.6,4,2,5,有,無,12200000,59629,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCP68CB,寬庭恆美,A棟15號,Unnamed: 30,來源資料夾,斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,1120813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),163.82,1,12460000,86393,坡道平面,35.8,1400000,RPQNMLNKQHIGFAP98CB,品風華,4FE棟3號,古坑鄉,雲林縣古坑鄉廣濟路,132.99,Unnamed: 4,鄉村區,乙種建築用地,1121111,土地4建物1車位0,171.18,4.1,10350000,60463,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLLKJIIGFAP18DB,荷翠,D棟5號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉仁德路236巷,29.84,,鄉村區,乙種建築用地,1120721.0,土地1建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.56,3.0,1.0,3.0,有,無,5300000.0,50689.0,,0.0,0.0,,RPPNMLLJQHIGFFP09CB,橋頭之星住宅興建工程,A棟2-4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物)+車位,雲林縣麥寮鄉仁德路236巷,32.09,,鄉村區,乙種建築用地,1120721.0,土地1建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.91,3.0,11.0,2.0,有,無,7500000.0,56884.0,坡道平面,31.4,1100000.0,,RPQNMLLJQHIGFFP56CB,橋頭之星住宅興建工程,A棟1-7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉新吉村新吉,127.8,,鄉村區,乙種建築用地,1120726.0,土地2建物1車位0,全,3.0,透天厝,見使用執照,鋼筋混凝土造,,159.7,5.0,2.0,5.0,有,無,9008000.0,56406.0,,0.0,0.0,,RPPNMLMJQHIGFFP56CB,知秧,A棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,37.96,,工業區,丁種建築用地,1120801.0,土地2建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.92,3.0,2.0,2.0,有,無,7860000.0,55776.0,一樓平面,29.63,0.0,,RPPNMLMJQHIGFAP68CB,翡翠森林,A棟5FA4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮新興街,27.28,住,,,1120727.0,土地2建物1車位0,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.72,3.0,1.0,2.0,有,無,7380000.0,78745.0,,0.0,0.0,,RPPNMLMJQHIGFBP78CB,雲龍太棧第6期,4F-A2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮高南段60地號,23.34,住,,,1120709.0,土地1建物1車位1,八層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.53,2.0,2.0,1.0,有,無,7000000.0,75351.0,坡道平面,29.23,1100000.0,,RPPNMLMJQHIGFDP98CB,沐晴3期,907號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮高南段60地號,24.3,住,,,1120709.0,土地1建物1車位1,四層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.82,2.0,2.0,1.0,有,無,6920000.0,71332.0,坡道平面,29.23,1100000.0,,RPQNMLMJQHIGFDP09CB,沐晴3期,501號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮高南段60地號,23.28,住,,,1120716.0,土地1建物1車位0,二層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.06,2.0,2.0,2.0,有,無,5470000.0,70074.0,,0.0,0.0,,RPRNMLMJQHIGFDP56CB,沐晴3期,202號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮高南段60地號,23.15,住,,,1120725.0,土地1建物1車位1,七層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.86,2.0,2.0,2.0,有,無,6960000.0,75486.0,一樓平面,29.23,1100000.0,,RPSNMLMJQHIGFDP66CB,沐晴3期,802號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,100.4,,工業區,丁種建築用地,1120721.0,土地4建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,155.39,4.0,2.0,5.0,有,無,9980000.0,64225.0,一樓平面,0.0,0.0,,RPPNMLNJQHIGFAP78CB,綠邸NO.5,B19號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,100.4,,工業區,丁種建築用地,1120723.0,土地3建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,160.12,4.0,2.0,5.0,有,無,9980000.0,62328.0,一樓平面,0.0,0.0,,RPQNMLNJQHIGFAP88CB,綠邸NO.5,B9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市棒球十七街,178.76,住,,,1120711.0,土地2建物1車位2,全,3.0,透天厝,住家用,鋼筋混凝土造,,323.07,7.0,3.0,5.0,有,無,37500000.0,116074.0,一樓平面,0.0,0.0,,RPPNMLOJQHIGFAP88CB,四季,A3棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市上海西路,38.4,住,,,1120708.0,土地3建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.25,3.0,2.0,2.0,有,無,9850000.0,83575.0,一樓平面,13.75,1200000.0,,RPQNMLRJQHIGFAP66CB,雲峰水漾,B2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水林鄉,房地(土地+建物),雲林縣水林鄉勝利街,138.02,住,,,1120807.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,269.62,5.0,3.0,3.0,有,無,16180000.0,60010.0,,0.0,0.0,,RPPNMLRJQHIGFEP96CB,勝利首富,B1棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東二路,123.17,住,,,1120729.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,215.07,4.0,2.0,5.0,有,無,15080000.0,70117.0,,0.0,0.0,,RPPNMLSJQHIGFDP96CB,寬庭大學9,A棟30號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮建成路,43.77,住,,,1120706.0,土地1建物1車位2,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,235.1,3.0,2.0,2.0,有,無,18170000.0,81686.0,坡道平面,46.94,2800000.0,,RPQNMLSJQHIGFDP07CB,宇荃.白金,A棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮建成路,43.83,住,,,1120730.0,土地1建物1車位2,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,235.44,3.0,2.0,2.0,有,無,19000000.0,86472.0,坡道平面,46.94,2700000.0,,RPRNMLSJQHIGFDP17CB,宇荃．白金,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮中興路,81.65,住,,,1120719.0,土地3建物1車位1,全,3.0,透天厝,住家用,鋼筋混凝土造,,148.68,4.0,1.0,4.0,有,無,12500000.0,84073.0,一樓平面,45.1,0.0,主建物面積133平方公尺含停車空間45.1平方公尺,RPQNMLTJQHIGFDP17CB,土庫荷雅NO1,A棟A2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興東八街,43.16,住,,,1120710.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.66,3.0,1.0,2.0,有,無,5820000.0,49865.0,一樓平面,12.99,850000.0,,RPRNMLTJQHIGFDP27CB,高鐵綻6,A棟3a號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西螺鎮,房地(土地+建物),雲林縣西螺鎮福興路,148.31,住,,,1120714.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,192.14,4.0,2.0,5.0,有,無,13900000.0,72343.0,,0.0,0.0,,RPPNMLTJQHIGFCP96CB,首席大郡12,A棟A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉仁德路236巷,144.55,,鄉村區,乙種建築用地,1120803.0,土地4建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,317.71,5.0,2.0,6.0,有,無,16800000.0,52878.0,,0.0,0.0,,RPPNMLTJQHIGFFP27CB,竣宇十富,A1棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉仁德路236巷,148.55,,鄉村區,乙種建築用地,1120803.0,土地4建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,315.4,5.0,2.0,6.0,有,無,16800000.0,53266.0,,0.0,0.0,,RPQNMLTJQHIGFFP37CB,竣宇十富,B1棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興隆街,92.86,住,,,1120802.0,土地1建物1車位0,全,4.0,透天厝,住家用,見其他登記事項,,199.09,5.0,2.0,5.0,有,無,18580000.0,93325.0,,0.0,0.0,,RPPNMLTJQHIGFDP17DB,理想家,A棟10號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北港鎮,房地(土地+建物),雲林縣北港鎮愛國街,104.45,住,,,1120726.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,177.93,4.0,2.0,5.0,有,無,12300000.0,69128.0,,0.0,0.0,,RPQNMLKKQHIGFEP09CB,富御苑5,D棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北港鎮,房地(土地+建物),雲林縣北港鎮愛國街,103.7,住,,,1120801.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,177.93,4.0,2.0,5.0,有,無,12300000.0,69128.0,,0.0,0.0,,RPRNMLKKQHIGFEP56CB,富御苑5,D棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮自強街,38.85,住,,,1120719.0,土地2建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.04,3.0,2.0,2.0,有,無,6630000.0,58679.0,一樓平面,22.39,900000.0,,RPQNMLKKQHIGFCP88CB,築夢十五期,A1棟A101號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西螺鎮,房地(土地+建物),雲林縣西螺鎮自強街,39.03,住,,,1120730.0,土地2建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.27,3.0,2.0,2.0,有,無,5770000.0,58716.0,,0.0,0.0,,RPSNMLKKQHIGFCP09CB,築夢十五期,A1棟A111號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮自強街,49.42,住,,,1120731.0,土地4建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.88,3.0,2.0,2.0,有,無,7870000.0,59139.0,一樓平面,19.64,700000.0,,RPTNMLKKQHIGFCP56CB,築夢十五期,B2棟B212號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,100.4,,工業區,丁種建築用地,1120809.0,土地4建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,155.69,4.0,2.0,5.0,有,無,10000000.0,64230.0,一樓平面,0.0,0.0,,RPPNMLKKQHIGFAP58CB,綠邸NO.5,B20號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,26.61,住,,,1120731.0,土地1建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.33,3.0,2.0,2.0,有,無,10760000.0,77472.0,坡道平面,24.93,1200000.0,,RPPNMLNKQHIGFAP88CB,勝麗進行曲-禧悅區,B棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物),雲林縣斗六市科班二路7號旁,34.88,,鄉村區,乙種建築用地,1120730.0,土地2建物1車位0,三層,5.0,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,,106.54,2.0,1.0,2.0,有,無,5990000.0,56223.0,,0.0,0.0,,RPRNMLOKQHIGFAP56CB,富邑皇邸23號苑,A棟3A02號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,17.93,商,,,1120716.0,土地9建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.12,2.0,2.0,1.0,有,無,6880000.0,64278.0,坡道平面,30.31,1300000.0,,RPPNMLOKQHIGFBP09CB,君悅II,04F-D號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,24.53,商,,,1120716.0,土地9建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.3,3.0,2.0,2.0,有,無,8780000.0,62862.0,坡道平面,30.31,1300000.0,,RPQNMLOKQHIGFBP56CB,君悅II,03F-B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮文昌路,16.28,商,,,1120717.0,土地9建物1車位0,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.42,2.0,2.0,1.0,有,無,5390000.0,67867.0,,0.0,0.0,,RPRNMLOKQHIGFBP66CB,君悅II,05F-G號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,17.93,商,,,1120717.0,土地9建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.6,2.0,2.0,1.0,有,無,7480000.0,70798.0,坡道平面,30.31,1300000.0,,RPSNMLOKQHIGFBP76CB,君悅II,07F-C號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮文昌路,17.93,商,,,1120720.0,土地9建物1車位0,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.81,2.0,2.0,1.0,有,無,5750000.0,66237.0,,0.0,0.0,,RPTNMLOKQHIGFBP86CB,君悅II,05F-D號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,24.53,商,,,1120720.0,土地9建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.3,3.0,2.0,2.0,有,無,9910000.0,71519.0,坡道平面,30.31,1400000.0,,RPUNMLOKQHIGFBP96CB,君悅II,10F-B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,23.7,商,,,1120717.0,土地9建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.37,3.0,2.0,2.0,有,無,8880000.0,65010.0,坡道平面,30.31,1400000.0,,RPVNMLOKQHIGFBP07CB,君悅II,05F-A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,褒忠鄉,房地(土地+建物),雲林縣褒忠鄉中正路,125.0,住,,,1120806.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,181.91,4.0,3.0,3.0,有,無,9500000.0,52224.0,,0.0,0.0,,RPPNMLOKQHIGFDP66CB,薪華誠品,C棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南二街,22.69,住,,,1120715.0,土地1建物1車位1,三層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.18,2.0,1.0,1.0,有,無,4480000.0,43810.0,升降機械,9.91,350000.0,,RPQNMLOKQHIGFDP76CB,禾楓君悅-菁英會館二期,A棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西二路,78.68,住,,,1120716.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,174.46,3.0,2.0,3.0,有,無,10700000.0,61332.0,,0.0,0.0,,RPRNMLOKQHIGFDP86CB,禾楓君悅-高鐵15期,D棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮僑真街,135.0,住,,,1120801.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,199.62,5.0,3.0,3.0,有,無,14600000.0,73139.0,,0.0,0.0,,RPPNMLPKQHIGFBP56CB,桂林山水NO.36,D棟13號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮僑真街,103.0,住,,,1120805.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,195.57,5.0,3.0,3.0,有,無,13600000.0,69540.0,,0.0,0.0,,RPQNMLPKQHIGFBP66CB,桂林山水NO.36,D棟11號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮僑真街,113.0,住,,,1120518.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,222.44,5.0,3.0,3.0,有,無,14600000.0,65636.0,,0.0,0.0,,RPRNMLPKQHIGFBP76CB,桂林山水NO.36,D棟12號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,23.7,商,,,1120719.0,土地9建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.37,3.0,2.0,2.0,有,無,9820000.0,73179.0,坡道平面,30.31,1400000.0,,RPSNMLPKQHIGFBP86CB,君悅II,11F-A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,23.7,商,,,1120719.0,土地9建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.37,3.0,2.0,2.0,有,無,9880000.0,74570.0,坡道平面,30.31,1300000.0,,RPTNMLPKQHIGFBP96CB,君悅II,13F-A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元長鄉,房地(土地+建物),雲林縣元長鄉中山路,110.52,住,,,1120720.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,183.53,4.0,2.0,5.0,有,無,9200000.0,50128.0,,0.0,0.0,,RPPNMLPKQHIGFEP86CB,富御苑6,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮,171.89,,一般農業區,甲種建築用地,1120802.0,土地1建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,236.1,3.0,3.0,4.0,有,無,12300000.0,52097.0,,0.0,0.0,,RPPNMLPKQHIGFFP96CB,狀元居,A棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮,159.79,,一般農業區,甲種建築用地,1120726.0,土地1建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,182.78,5.0,3.0,5.0,有,無,10420000.0,57008.0,,0.0,0.0,,RPQNMLPKQHIGFFP07CB,狀元居,B棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮,131.56,,一般農業區,甲種建築用地,1120802.0,土地1建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,173.91,4.0,3.0,4.0,有,無,9680000.0,55661.0,,0.0,0.0,,RPRNMLPKQHIGFFP17CB,狀元居,C棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮,133.08,,一般農業區,甲種建築用地,1120805.0,土地1建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,174.02,4.0,3.0,4.0,有,無,9680000.0,55626.0,,0.0,0.0,,RPSNMLPKQHIGFFP27CB,狀元居,D棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮,132.25,,一般農業區,甲種建築用地,1120805.0,土地1建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,173.91,4.0,3.0,4.0,有,無,9680000.0,55661.0,,0.0,0.0,,RPTNMLPKQHIGFFP37CB,狀元居,E棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮,134.43,,一般農業區,甲種建築用地,1120801.0,土地1建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,201.8,5.0,3.0,4.0,有,無,10480000.0,51933.0,,0.0,0.0,,RPUNMLPKQHIGFFP47CB,狀元居,F棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
