鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中正區,房地(土地+建物),基隆市中正區信五路,21.15,商,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,Unnamed: 14,133.75,3,2,2.1,有,無,16990000,127028,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLPKNHIGFDC87DB,橙品32,C棟0號,Unnamed: 30,來源資料夾,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1120813,土地1建物1車位1,八層,22,住家用,116.04,1,1.1,10180000,97592,坡道平面,29.66,1750000,RPPNMLSLQHIGFDC48CB,夢悅城,F棟08號,基隆市中正區新豐街,26.07,住,1121111,七層,9,華廈(10層含以下有電梯),136.91,9900000,89473,41.35,1350000,RPTNMLNLJIIGFDC77CB,海豔,F1棟7號
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.45,商,,,1120305.0,土地1建物1車位1,二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.61,2.0,1.0,1.0,有,無,9630000.0,101050.0,坡道平面,29.66,1450000.0,,RPWNMLLKLHIGFDC87CB,夢悅城,A棟02號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120301.0,土地1建物1車位1,九層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.91,2.0,1.0,1.0,有,無,10000000.0,96812.0,坡道平面,29.66,1650000.0,,RPXNMLLKLHIGFDC97CB,夢悅城,F棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120212.0,土地1建物1車位1,六層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.82,2.0,2.0,1.0,有,無,9200000.0,82409.0,坡道平面,41.35,1250000.0,,RPPNMLNKLHIGFDC37CB,海豔,B5棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,住,,,1120311.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,219.16,3.0,2.0,3.0,有,無,13600000.0,66150.0,坡道平面,34.73,1400000.0,,RPPNMLOKLHIGFDC47CB,田園調布2-B2區,B棟B9-5~7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,住,,,1120311.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,219.16,3.0,2.0,3.0,有,無,13680000.0,66041.0,坡道平面,34.73,1500000.0,,RPQNMLOKLHIGFDC57CB,田園調布2-B2區,C棟C9-5~7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七堵區,房地(土地+建物)+車位,基隆市七堵區大華一路57巷17號旁,25.99,住,,,1120219.0,土地2建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.64,2.0,2.0,1.0,有,無,8640000.0,90732.0,坡道平面,32.64,1200000.0,,RPPNMLQKLHIGFDC77DB,河畔御景,A2棟4樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區信五路,21.19,商,,,1120301.0,土地1建物1車位1,七層,13.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,136.28,3.0,2.0,2.0,有,無,18280000.0,123963.0,塔式車位,2.53,1700000.0,,RPQNMLQKLHIGFDC87DB,橙品32,C棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區信五路,12.57,商,,,1120301.0,土地1建物1車位1,十一層,13.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,81.83,2.0,2.0,1.0,有,無,12230000.0,131526.0,塔式車位,2.53,1800000.0,,RPRNMLQKLHIGFDC97DB,橙品32,A棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區信五路,19.65,商,,,1120315.0,土地1建物1車位2,一層,13.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,128.92,0.0,0.0,0.0,無,無,27970000.0,196754.0,塔式車位,5.06,3600000.0,,RPSNMLQKLHIGFDC08DB,橙品32,C棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,20.87,住,,,1120218.0,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.75,1.0,2.0,1.0,有,無,8250000.0,90439.0,坡道平面,41.35,1250000.0,,RPPNMLRKLHIGFDC77CB,海豔,B3棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
