鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中正區,房地(土地+建物),基隆市中正區信五路,21.15,商,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,Unnamed: 14,133.75,3,2,2.1,有,無,16990000,127028,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLPKNHIGFDC87DB,橙品32,C棟0號,Unnamed: 30,來源資料夾,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1120813,土地1建物1車位1,八層,22,住家用,116.04,1,1.1,10180000,97592,坡道平面,29.66,1750000,RPPNMLSLQHIGFDC48CB,夢悅城,F棟08號,基隆市中正區新豐街,26.07,住,1121111,七層,9,華廈(10層含以下有電梯),136.91,9900000,89473,41.35,1350000,RPTNMLNLJIIGFDC77CB,海豔,F1棟7號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,1120916.0,土地1建物1車位1,十層,13.0,住家用,137.82,2.0,1.0,10000000.0,89665.0,坡道平面,41.35,1350000.0,RPSNMLQJIIIGFDC67CB,海豔,B5棟10號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,1120916.0,土地1建物1車位1,六層,8.0,住家用,137.0,2.0,1.0,9300000.0,84161.0,坡道平面,41.35,1250000.0,RPTNMLQJIIIGFDC77CB,海豔,D1棟6號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,1.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,20.87,1120926.0,土地1建物1車位1,七層,13.0,住家用,118.75,2.0,1.0,8760000.0,95736.0,坡道平面,41.35,1350000.0,RPPNMLMKIIIGFDC07CB,海豔,B3棟7號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,1120926.0,土地1建物1車位1,八層,14.0,住家用,134.93,2.0,1.0,9600000.0,88694.0,坡道平面,41.35,1300000.0,RPQNMLMKIIIGFDC17CB,海豔,A1棟8號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,車位總價中無法拆分個別車位價格,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,43.46,1120924.0,土地1建物1車位2,十一層,14.0,住家用,237.72,2.0,2.0,16580000.0,90182.0,坡道平面,82.7,2600000.0,RPRNMLMKIIIGFDC27CB,海豔,A3棟11號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,1121005.0,土地1建物1車位1,五層,7.0,住家用,219.16,2.0,3.0,14140000.0,67451.0,坡道平面,34.73,1700000.0,RPPNMLNKIIIGFDC17CB,田園調布2-B2區,A棟A6-5~7F號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,1121006.0,土地1建物1車位1,五層,7.0,住家用,219.16,2.0,3.0,14100000.0,67234.0,坡道平面,34.73,1700000.0,RPQNMLNKIIIGFDC27CB,田園調布2-B2區,C棟C6-5~7F號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,本戶為解約後重新銷售原申報書序號B1CD11008230002 於112年3月4日解約,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區和豐街,26.19,1120918.0,土地1建物1車位1,十一層,11.0,住家用,131.95,2.0,1.0,8100000.0,67534.0,坡道平面,32.0,1350000.0,RPPNMLOKIIIGFDC27CB,台北雪梨灣,F棟9-11號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,交易總價含下列非屬預售屋價格之費用:內含電視、冰箱、洗衣機費:0元,,,,,112_04,七堵區,房地(土地+建物)+車位,基隆市七堵區泰和街88號之旁,35.97,1120926.0,土地1建物1車位1,六層,10.0,住家用,168.74,2.0,2.0,12330000.0,88345.0,坡道平面,45.02,1400000.0,RPPNMLSKIIIGFDC77DB,富源鑫Ⅲ森活,B2棟06號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,交易總價含下列非屬預售屋價格之費用:內含電視、冰箱、洗衣機費:0元,,,,,112_04,七堵區,房地(土地+建物),基隆市七堵區泰和街88號之旁,27.74,1121005.0,土地1建物1車位0,七層,10.0,住家用,95.11,2.0,2.0,8570000.0,90106.0,,0.0,0.0,RPQNMLSKIIIGFDC87DB,富源鑫Ⅲ森活,B3棟07號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,1121001.0,土地1建物1車位1,九層,22.0,住家用,135.75,1.0,2.0,12850000.0,104628.0,坡道平面,29.66,1750000.0,RPPNMLTKIIIGFDC77CB,夢悅城,F棟01號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,1121001.0,土地1建物1車位1,四層,22.0,住家用,135.79,1.0,2.0,11900000.0,97051.0,坡道平面,29.66,1600000.0,RPQNMLTKIIIGFDC87CB,夢悅城,C棟01號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1120924.0,土地1建物1車位1,十層,22.0,住家用,115.91,1.0,1.0,10100000.0,98551.0,坡道平面,29.66,1600000.0,RPRNMLTKIIIGFDC97CB,夢悅城,C棟08號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1120925.0,土地1建物1車位1,二十層,22.0,住家用,116.65,1.0,1.0,10230000.0,98632.0,坡道平面,29.66,1650000.0,RPSNMLTKIIIGFDC08CB,夢悅城,E棟08號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.61,1120930.0,土地1建物1車位1,十層,22.0,住家用,150.78,1.0,2.0,13700000.0,98662.0,坡道平面,29.66,1750000.0,RPTNMLTKIIIGFDC18CB,夢悅城,E棟05號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,4.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,20.71,1121001.0,土地1建物1車位1,七層,22.0,住家用,164.24,1.0,2.0,14850000.0,96225.0,坡道平面,29.66,1900000.0,RPUNMLTKIIIGFDC28CB,夢悅城,G棟02號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1120921.0,土地1建物1車位1,三層,22.0,住家用,116.41,1.0,1.0,9850000.0,95677.0,坡道平面,29.66,1550000.0,RPVNMLTKIIIGFDC38CB,夢悅城,E棟08號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,1120921.0,土地1建物1車位1,二層,22.0,住家用,115.01,1.0,1.0,9950000.0,96661.0,坡道平面,29.66,1700000.0,RPWNMLTKIIIGFDC48CB,夢悅城,G棟06號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.5,1120924.0,土地1建物1車位1,六層,22.0,住家用,117.8,1.0,1.0,9980000.0,95643.0,坡道平面,29.66,1550000.0,RPXNMLTKIIIGFDC58CB,夢悅城,D棟06號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1120930.0,土地1建物1車位1,八層,22.0,住家用,101.17,1.0,1.0,9380000.0,96189.0,坡道機械,14.57,1050000.0,RPOOMLTKIIIGFDC77CB,夢悅城,E棟08號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,4.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.76,1120925.0,土地1建物1車位2,五層,22.0,住家用,200.35,1.0,2.0,17000000.0,97852.0,坡道平面,59.32,3200000.0,RPPOMLTKIIIGFDC87CB,夢悅城,E棟03號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,1120923.0,土地1建物1車位1,十三層,22.0,住家用,135.75,1.0,2.0,12400000.0,100858.0,坡道平面,29.66,1700000.0,RPQOMLTKIIIGFDC97CB,夢悅城,C棟01號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,1120928.0,土地1建物1車位1,三層,22.0,住家用,114.95,1.0,1.0,10000000.0,96143.0,坡道平面,29.66,1800000.0,RPROMLTKIIIGFDC08CB,夢悅城,G棟06號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1120924.0,土地1建物1車位1,九層,22.0,住家用,101.26,1.0,1.0,9760000.0,97589.0,坡道機械,14.57,1300000.0,RPSOMLTKIIIGFDC18CB,夢悅城,E棟07號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.22,1120930.0,土地1建物1車位1,十四層,22.0,住家用,147.82,1.0,2.0,14070000.0,104689.0,坡道平面,29.66,1700000.0,RPTOMLTKIIIGFDC28CB,夢悅城,E棟01號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.72,1121001.0,土地1建物1車位1,十三層,22.0,住家用,111.97,1.0,1.0,9650000.0,97194.0,坡道平面,29.66,1650000.0,RPUOMLTKIIIGFDC38CB,夢悅城,C棟06號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,4.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.76,1120928.0,土地1建物1車位1,三層,22.0,住家用,170.5,1.0,2.0,15300000.0,95143.0,坡道平面,29.66,1900000.0,RPVOMLTKIIIGFDC48CB,夢悅城,D棟03號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,1120930.0,土地1建物1車位1,九層,22.0,住家用,114.59,1.0,1.0,10900000.0,109502.0,坡道平面,29.66,1600000.0,RPWOMLTKIIIGFDC58CB,夢悅城,F棟02號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,15.73,1120927.0,土地1建物1車位1,十三層,22.0,住家用,131.76,1.0,2.0,12500000.0,105289.0,坡道平面,29.66,1750000.0,RPXOMLTKIIIGFDC68CB,夢悅城,G棟01號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,1120927.0,土地1建物1車位1,十層,22.0,住家用,114.59,1.0,1.0,11000000.0,107736.0,坡道平面,29.66,1850000.0,RPOPMLTKIIIGFDC87CB,夢悅城,F棟02號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.5,1120928.0,土地1建物1車位0,七層,22.0,住家用,88.14,1.0,1.0,8400000.0,95303.0,,0.0,0.0,RPPPMLTKIIIGFDC97CB,夢悅城,D棟06號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,1121001.0,土地1建物1車位1,十層,22.0,住家用,99.6,1.0,1.0,9950000.0,102317.0,坡道機械,14.57,1250000.0,RPQPMLTKIIIGFDC08CB,夢悅城,C棟02號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1120924.0,土地1建物1車位1,五層,22.0,住家用,116.52,1.0,1.0,9900000.0,95556.0,坡道平面,29.66,1600000.0,RPRPMLTKIIIGFDC18CB,夢悅城,E棟07號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1120925.0,土地1建物1車位1,十七層,22.0,住家用,116.65,1.0,1.0,10160000.0,97827.0,坡道平面,29.66,1650000.0,RPSPMLTKIIIGFDC28CB,夢悅城,E棟08號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1121001.0,土地1建物1車位1,六層,22.0,住家用,116.52,1.0,1.0,9980000.0,96477.0,坡道平面,29.66,1600000.0,RPTPMLTKIIIGFDC38CB,夢悅城,D棟07號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,1120923.0,土地1建物1車位1,四層,22.0,住家用,114.79,1.0,1.0,10000000.0,98085.0,坡道平面,29.66,1650000.0,RPUPMLTKIIIGFDC48CB,夢悅城,C棟09號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,1120923.0,土地1建物1車位1,八層,22.0,住家用,114.67,1.0,1.0,10100000.0,96459.0,坡道平面,29.66,1900000.0,RPVPMLTKIIIGFDC58CB,夢悅城,G棟05號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.5,1120921.0,土地1建物1車位1,十層,22.0,住家用,117.57,1.0,1.0,9980000.0,97031.0,坡道平面,29.66,1450000.0,RPWPMLTKIIIGFDC68CB,夢悅城,D棟06號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,1121014.0,土地1建物1車位1,五層,7.0,住家用,218.61,2.0,3.0,14250000.0,68795.0,坡道平面,34.73,1600000.0,RPPNMLNLIIIGFDC27CB,田園調布2-B2區,C棟C8- 5~7F號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,1121022.0,土地1建物1車位1,五層,7.0,住家用,218.61,2.0,3.0,13750000.0,68251.0,升降平面,34.73,1200000.0,RPQNMLNLIIIGFDC37CB,田園調布2-B2區,A棟A5- 5~7F 號號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,43.46,1120926.0,土地1建物1車位1,七層,14.0,住家用,196.37,2.0,2.0,14370000.0,84312.0,坡道平面,41.35,1300000.0,RPRNMLNLIIIGFDC47CB,海豔,A2棟7號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,1120926.0,土地1建物1車位1,三層,14.0,住家用,134.15,2.0,1.0,9000000.0,82974.0,坡道平面,41.35,1300000.0,RPSNMLNLIIIGFDC57CB,海豔,A4棟3號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,1121005.0,土地1建物1車位1,七層,9.0,住家用,137.29,2.0,1.0,9700000.0,87555.0,坡道平面,41.35,1300000.0,RPTNMLNLIIIGFDC67CB,海豔,E5棟7號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,1121007.0,土地1建物1車位1,十三層,14.0,住家用,134.29,2.0,1.0,10600000.0,100065.0,坡道平面,41.35,1300000.0,RPUNMLNLIIIGFDC77CB,海豔,A1棟13號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,1121011.0,土地1建物1車位1,七層,8.0,住家用,140.72,2.0,1.0,9600000.0,85729.0,坡道平面,45.07,1400000.0,RPVNMLNLIIIGFDC87CB,海豔,D1棟7號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,1121007.0,土地1建物1車位1,七層,9.0,住家用,161.92,2.0,2.0,12100000.0,89575.0,坡道平面,41.35,1300000.0,RPWNMLNLIIIGFDC97CB,海豔,E2棟7號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,1121007.0,土地1建物1車位1,十七層,22.0,住家用,116.38,1.0,1.0,10450000.0,99746.0,坡道平面,29.66,1800000.0,RPPNMLKMIIIGFDC07CB,夢悅城,E棟07號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1121008.0,土地1建物1車位1,十一層,22.0,住家用,116.0,1.0,1.0,10200000.0,97290.0,坡道平面,29.66,1800000.0,RPQNMLKMIIIGFDC17CB,夢悅城,E棟08號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,2.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1121006.0,土地1建物1車位1,二層,22.0,住家用,115.32,1.0,1.0,10100000.0,98062.0,坡道平面,29.66,1700000.0,RPRNMLKMIIIGFDC27CB,夢悅城,G棟05號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,3.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,1121007.0,土地1建物1車位1,九層,22.0,住家用,135.75,1.0,2.0,11930000.0,97841.0,坡道平面,29.66,1550000.0,RPSNMLKMIIIGFDC37CB,夢悅城,C棟01號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,4.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.63,1121007.0,土地1建物1車位1,九層,22.0,住家用,170.14,1.0,2.0,15750000.0,100370.0,坡道平面,29.66,1650000.0,RPTNMLKMIIIGFDC47CB,夢悅城,E棟03號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商,,,,,,,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,,,4.0,,有,無,,,,,,,,,,,112_04,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.89,1121004.0,土地1建物1車位1,三層,22.0,住家用,171.55,1.0,2.0,15800000.0,97258.0,坡道平面,29.66,2000000.0,RPUNMLKMIIIGFDC57CB,夢悅城,E棟03號,,,,,,,,,,,,,,,
