鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,五結鄉,房地(土地+建物),宜蘭縣五結鄉傳藝路一段56巷,82.75,Unnamed: 4,特定農業區,甲種建築用地,1120513,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,139.36,4,2,5,有,無,9080000,65155,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLQKNHIGFAG97CB,鳳凰愛買第7期,Unnamed: 29,Unnamed: 30,來源資料夾,冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉鹿埔路524巷,51.13,1120813,土地1建物1車位1,四層,華廈(10層含以下有電梯),131.93,2.1,7450000,56469,一樓平面,RPRNMLOKQHIGFAG28CB,上好居
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮復興路55巷,41.0,住,,,1111117.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.32,3.0,2.0,2.0,有,無,7280000.0,62053.0,一樓平面,22.0,0.0,,RPUNMLSLJIHGFBG48CB,金城邑,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物)+車位,宜蘭縣壯圍鄉大福路二段256巷59弄,61.73,,特定農業區,甲種建築用地,1111127.0,土地2建物1車位1,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,181.7,3.0,2.0,2.0,有,無,13830000.0,81083.0,升降平面,24.7,1100000.0,,RPVNMLSLJIHGFBG58CB,築山樂園生活村,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮新群三路,33.13,,特定農業區,甲種建築用地,1111113.0,土地1建物1車位0,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.93,2.0,2.0,2.0,有,無,5500000.0,73402.0,,0.0,0.0,,RPPNMLTLJIHGFAG97CB,新群左岸,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮新群三路,38.94,,特定農業區,甲種建築用地,1111113.0,土地1建物1車位0,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.14,3.0,2.0,2.0,有,無,7300000.0,82823.0,,0.0,0.0,,RPRNMLTLJIHGFAG18CB,新群左岸,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮新群三路,29.69,,特定農業區,甲種建築用地,1111120.0,土地1建物1車位0,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.06,2.0,2.0,2.0,有,無,5600000.0,83507.0,,0.0,0.0,,RPTNMLTLJIHGFAG38CB,新群左岸,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮新群三路,32.06,,特定農業區,甲種建築用地,1111120.0,土地1建物1車位0,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.43,2.0,2.0,2.0,有,無,6000000.0,82839.0,,0.0,0.0,,RPUNMLTLJIHGFAG48CB,新群左岸,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮新群三路,43.03,,特定農業區,甲種建築用地,1111119.0,土地1建物1車位0,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.6,3.0,2.0,2.0,有,無,7200000.0,73770.0,,0.0,0.0,,RPVNMLTLJIHGFAG58CB,新群左岸,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮新群三路,31.3,,特定農業區,甲種建築用地,1111124.0,土地1建物1車位0,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.84,2.0,2.0,2.0,有,無,6000000.0,84698.0,,0.0,0.0,,RPWNMLTLJIHGFAG68CB,新群左岸,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路,103.5,,特定農業區,甲種建築用地,1111128.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,212.83,5.0,2.0,5.0,有,無,12100000.0,56853.0,,0.0,0.0,,RPOOMLTLJIHGFAG97CB,富登新8,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔一路,111.82,,特定農業區,甲種建築用地,1111113.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,159.56,4.0,2.0,3.0,有,無,8980000.0,56280.0,,0.0,0.0,,RPSNMLTLJIHGFAG38DB,靚禾苑,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉季水路,118.57,,一般農業區,甲種建築用地,1111118.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,154.54,3.0,2.0,2.0,有,無,8530000.0,55196.0,,0.0,0.0,,RPSOMLKMJIHGFAG57CB,海藍天,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉育龍路,93.71,住,,,1111123.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,167.97,5.0,2.0,3.0,有,無,13400000.0,79776.0,,0.0,0.0,,RPPNMLKMJIHGFBG27CB,青井澤NO.12,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉福山街,132.81,,特定農業區,甲種建築用地,1111118.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,205.02,4.0,2.0,4.0,有,無,14150000.0,69018.0,,0.0,0.0,,RPQNMLLJKIHGFAG27DB,天送·幸福,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉福山街,132.81,,特定農業區,甲種建築用地,1111120.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,205.02,4.0,2.0,4.0,有,無,14150000.0,69018.0,,0.0,0.0,,RPRNMLLJKIHGFAG37DB,天送·幸福,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員山鄉,房地(土地+建物),宜蘭縣員山鄉長堤路32巷,118.44,,特定農業區,甲種建築用地,1111117.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.55,4.0,2.0,3.0,有,無,10800000.0,70796.0,,0.0,0.0,,RPQNMLMJKIHGFBG37CB,京采員山8,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,36.68,住,,,1111116.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,168.01,3.0,2.0,2.0,有,無,15180000.0,98783.0,坡道平面,27.5,1300000.0,,RPSNMLMJKIHGFBG57CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,23.07,住,,,1111117.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.85,2.0,2.0,1.0,有,無,10260000.0,100283.0,坡道平面,27.5,1400000.0,,RPTNMLMJKIHGFBG67CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,29.53,住,,,1111119.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.67,3.0,2.0,2.0,有,無,11390000.0,89158.0,坡道平面,27.5,1300000.0,,RPUNMLMJKIHGFBG77CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,29.72,住,,,1111119.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.37,3.0,2.0,2.0,有,無,10850000.0,82989.0,坡道平面,27.5,1400000.0,,RPVNMLMJKIHGFBG87CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰段三段,49.83,住,,,1111120.0,土地1建物1車位2,十四層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,246.0,4.0,2.0,3.0,有,無,27780000.0,131309.0,坡道平面,55.0,2700000.0,,RPWNMLMJKIHGFBG97CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,29.53,住,,,1111120.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.67,3.0,2.0,2.0,有,無,11180000.0,86419.0,坡道平面,27.5,1400000.0,,RPXNMLMJKIHGFBG08CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,22.39,住,,,1111120.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,113.25,2.0,2.0,1.0,有,無,8960000.0,88163.0,坡道平面,27.5,1400000.0,,RPOOMLMJKIHGFBG27CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,29.72,住,,,1111121.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.37,3.0,2.0,2.0,有,無,10410000.0,81321.0,坡道平面,27.5,1150000.0,,RPPOMLMJKIHGFBG37CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市成功路93巷29號,73.89,住,,,1111126.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,169.66,4.0,2.0,4.0,有,無,12280000.0,72380.0,,0.0,0.0,,RPQOMLMJKIHGFBG47CB,幸褔來了,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,36.68,住,,,1111121.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,168.01,3.0,2.0,2.0,有,無,13800000.0,88250.0,坡道平面,27.5,1400000.0,,RPROMLMJKIHGFBG57CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,23.07,住,,,1111121.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.85,2.0,2.0,1.0,有,無,9750000.0,94510.0,坡道平面,27.5,1400000.0,,RPSOMLMJKIHGFBG67CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,36.68,住,,,1111121.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,168.01,3.0,2.0,2.0,有,無,14180000.0,91310.0,坡道平面,27.5,1350000.0,,RPTOMLMJKIHGFBG77CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,36.41,住,,,1111123.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,167.04,3.0,2.0,2.0,有,無,16680000.0,109503.0,坡道平面,27.5,1400000.0,,RPUOMLMJKIHGFBG87CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,36.68,住,,,1111123.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,168.01,3.0,2.0,2.0,有,無,16880000.0,110170.0,坡道平面,27.5,1400000.0,,RPVOMLMJKIHGFBG97CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,22.39,住,,,1111123.0,土地1建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,111.04,2.0,2.0,1.0,有,無,8860000.0,91662.0,坡道平面,25.29,1000000.0,,RPWOMLMJKIHGFBG08CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,29.53,住,,,1111123.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,138.46,3.0,2.0,2.0,有,無,10270000.0,81912.0,坡道平面,25.29,1000000.0,,RPXOMLMJKIHGFBG18CB,嵐丰,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
