鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,Unnamed: 5,Unnamed: 6,1120512,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,Unnamed: 14,79.4,2,1,1.1,有,無,6730000,96784,坡道機械,16.58,650000,A06戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPSNMLPKNHIGFAV07CB,達永崌里東,A6號,Unnamed: 30,來源資料夾,臺東縣臺東市仁愛街29號旁,34.62,1120814,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,102.17,2.1,8800000,88465,一樓平面,14.0,1000000,車位編號:自設車位8,RPQNMLPKQHIGFAV27DB,麗築東京天后之星,5C號
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.42,住,,,1111224.0,土地2建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.0,3.0,2.0,2.0,有,無,9770000.0,81881.0,坡道平面,33.16,940000.0,,RPRNMLLKJHIGFAV78CB,達永崌里東,A1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.42,住,,,1111218.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.0,3.0,2.0,2.0,有,無,9840000.0,82251.0,坡道平面,33.16,970000.0,,RPSNMLLKJHIGFAV88CB,達永崌里東,A1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111224.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7160000.0,101385.0,坡道平面,33.16,940000.0,A10戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPTNMLLKJHIGFAV98CB,達永崌里東,A10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.39,住,,,1120108.0,土地2建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.88,3.0,2.0,2.0,有,無,10270000.0,86149.0,坡道平面,33.16,990000.0,,RPUNMLLKJHIGFAV09CB,達永崌里東,A11號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,23.15,住,,,1120117.0,土地2建物1車位1,十一層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.24,2.0,1.0,1.0,有,無,8270000.0,88694.0,坡道平面,33.16,990000.0,,RPPNMLLMJHIGFAV78CB,達永崌里東,A12號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1120125.0,土地2建物1車位1,十一層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7400000.0,104482.0,坡道平面,33.16,990000.0,A03戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPQNMLLMJHIGFAV88CB,達永崌里東,A3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,,,1120129.0,土地2建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.98,2.0,1.0,1.0,有,無,6900000.0,94397.0,坡道平面,33.16,970000.0,A06戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPRNMLLMJHIGFAV98CB,達永崌里東,A6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1120201.0,土地2建物1車位2,九層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,127.67,2.0,1.0,1.0,有,無,8270000.0,102689.0,坡道平面,66.32,1970000.0,A03戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPPNMLOKKHIGFAV98CB,達永崌里東,A3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.68,住,,,1120205.0,土地2建物1車位1,九層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.94,2.0,1.0,1.0,有,無,6990000.0,95890.0,坡道平面,33.16,970000.0,A07戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPQNMLOKKHIGFAV09CB,達永崌里東,A7號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中正路131號後方,14.79,商,,,1120128.0,土地3建物1車位0,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.56,2.0,2.0,2.0,有,無,6870000.0,83212.0,,0.0,0.0,,RPPNMLKLKHIGFAV68CB,大同富御,1棟12F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
