鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
湖內區,房地(土地+建物)+車位,高雄市湖內區圍子內段3526地號,34.9,住,,,1110818,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.83,2,2,2,有,無,6400000,59736.0,一樓平面,25.78,1200000,,RPRNMLTKQHHGFJE76CB,藏龍八期,A7棟0號,109_01
燕巢區,房地(土地+建物),高雄市燕巢區中西路,84.32,住,,,1110813,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,216.8,5,2,4,有,無,15390000,70987.0,,0.0,0,,RPPNMLTKQHHGFFE78CB,基茂家禾,B1棟0號,109_01
楠梓區,房地(土地+建物),高雄市楠梓區大學十九街,12.21,住,,,1110820,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.17,2,1,1,有,無,6580000,89928.0,,0.0,0,,RPPNMLLLQHHGFEE97CB,微美居鉑金特區,V棟4號,109_01
楠梓區,房地(土地+建物),高雄市楠梓區大學十九街,12.45,住,,,1110819,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.65,2,1,1,有,無,6910000,95114.0,,0.0,0,,RPQNMLLLQHHGFEE08CB,微美居鉑金特區,O棟12號,109_01
楠梓區,房地(土地+建物),高雄市楠梓區大學十九街,12.09,住,,,1110821,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.15,2,1,1,有,無,6920000,95911.0,,0.0,0,,RPRNMLLLQHHGFEE18CB,微美居鉑金特區,U棟12號,109_01
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十九街,12.45,住,,,1110820,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.99,2,1,1,有,無,7800000,89470.0,坡道機械,8.34,1300000,,RPSNMLLLQHHGFEE28CB,微美居鉑金特區,O棟13號,109_01
楠梓區,房地(土地+建物),高雄市楠梓區大學十九街,12.09,住,,,1110821,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.15,2,1,1,有,無,7170000,99376.0,,0.0,0,,RPTNMLLLQHHGFEE38CB,微美居鉑金特區,U棟14號,109_01
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學南路&大學二十九路&大學五十六街,10.42,住,,,1110818,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.07,2,2,2,有,無,9690000,93340.0,坡道平面,13.79,1730000,,RPPNMLMLQHHGFEE08CB,崑庭馥御,F棟3號,109_01
小港區,房地(土地+建物)+車位,高雄市小港區明義段35地號,19.68,住,,,1110813,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.72,2,2,2,有,無,10500000,80823.0,坡道平面,27.84,1700000,,RPRNMLMLQHHGFCE08CB,艾美MOMA2,A7棟14號,109_01
小港區,房地(土地+建物)+車位,高雄市小港區孔鳳路近中安路,6.76,其他,,,1110817,土地1建物1車位1,二十五層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.94,2,2,1,有,無,8780000,75900.0,坡道平面,22.0,1650000,雨遮不計價,RPPNMLNLQHHGFCE97CB,常景錄,A9棟25號,109_01
小港區,房地(土地+建物)+車位,高雄市小港區孔鳳路近中安路,6.76,其他,,,1110818,土地1建物1車位1,二十六層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.94,2,2,1,有,無,8740000,76538.0,坡道平面,22.0,1550000,雨遮不計價,RPQNMLNLQHHGFCE08CB,常景錄,B9棟26號,109_01
小港區,房地(土地+建物)+車位,高雄市小港區孔鳳路近中安路,6.76,其他,,,1110819,土地1建物1車位1,二十六層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.94,2,2,1,有,無,8870000,76858.0,坡道平面,22.0,1650000,雨遮不計價,RPRNMLNLQHHGFCE18CB,常景錄,A9棟26號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區凱歌路A7-07F,5.41,其他,,,1110812,土地1建物1車位1,七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.96,2,1,1,有,無,11480000,112389.0,坡道平面,16.61,2000000,,RPQNMLNLQHHGFDE18CB,宏道文華帝寶,A棟7號,109_01
三民區,房地(土地+建物),高雄市三民區凱歌路A8-07F,5.31,其他,,,1110812,土地1建物1車位0,七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.77,2,1,1,有,無,9300000,112360.0,,0.0,0,,RPTNMLNLQHHGFDE48CB,宏道文華帝寶,A棟8號,109_01
三民區,房地(土地+建物),高雄市三民區凱歌路A8-06F,5.31,其他,,,1110811,土地1建物1車位0,六層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.77,2,1,1,有,無,9300000,112360.0,,0.0,0,,RPVNMLNLQHHGFDE68CB,宏道文華帝寶,A棟8號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,10.36,商,,,1110822,土地7建物1車位1,十三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.21,3,2,2,有,無,17080000,117042.0,坡道平面,26.95,1600000,,RPWNMLNLQHHGFDE78CB,國泰頤河,A棟5號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,10.61,商,,,1110820,土地7建物1車位1,二十四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.1,3,2,2,有,無,19000000,127911.0,坡道平面,30.85,1700000,,RPXNMLNLQHHGFDE88CB,國泰頤河,B棟5號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,13.42,商,,,1110818,土地7建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.78,3,2,2,有,無,25540000,126549.0,坡道平面,26.95,2150000,,RPOOMLNLQHHGFDE08CB,國泰頤河,B棟1號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,10.61,商,,,1110815,土地7建物1車位1,二十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.1,3,2,2,有,無,19200000,126802.0,坡道平面,30.85,2050000,,RPPOMLNLQHHGFDE18CB,國泰頤河,B棟5號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,10.61,商,,,1110817,土地7建物1車位1,十層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.1,3,2,2,有,無,17660000,115416.0,坡道平面,30.85,2050000,,RPQOMLNLQHHGFDE28CB,國泰頤河,B棟5號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區平等路和延慶街路口B06棟08樓,18.24,住,,,1110813,土地1建物1車位1,八層,30,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.28,3,2,2,有,無,20340000,125051.0,坡道平面,18.5,2110000,,RPPNMLOLQHHGFDE18CB,遠雄琢蘊,B06F08號,109_01
前鎮區,房地(土地+建物)+車位,高雄市前鎮區瑞隆路、瑞和街口,11.34,住,,,1110817,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.01,3,2,2,有,無,11650000,93628.0,升降機械,15.0,1350000,,RPPNMLOLQHHGFCE08CB,瑞隆松下,A9棟05號,109_01
