鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
佳里區,房地(土地+建物),臺南市佳里區番子寮122-12號旁,73.09,,特定農業區,甲種建築用地,1110618,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.44,4,2,3,有,無,7980000,53759.0,,0.0,0,,RPPNMLPKPHHGFGD28CB,幸福成家II,A棟12號,109_02
仁德區,房地(土地+建物),臺南市仁德區文賢路一段763巷,66.06,住,,,1110620,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,131.54,4,2,5,有,無,11000000,83625.0,,0.0,0,三樓半透天厝傳統式格局,RPPNMLPKPHHGFID48CB,閑築居5,A2棟0號,109_02
新營區,房地(土地+建物),臺南市新營區公園路一段,123.07,住,,,1110617,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,204.81,4,2,5,有,無,17000000,83004.0,,0.0,0,,RPPNMLPKPHHGFDD97CB,裕田二,B棟5號,109_02
新營區,房地(土地+建物),臺南市新營區公園路一段,197.11,住,,,1110627,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,420.07,6,2,7,有,無,38000000,90461.0,,0.0,0,,RPQNMLPKPHHGFDD08CB,裕田二,A棟1號,109_02
善化區,房地(土地+建物),臺南市善化區茄拔段一小段,33.54,,鄉村區,乙種建築用地,1110707,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.43,3,2,2,有,無,8880000,78286.0,,0.0,0,,RPPNMLPKPHHGFHD38CB,奇詮齊全2,A棟4樓A2號,109_02
善化區,房地(土地+建物)+車位,臺南市善化區東勢寮169之5號旁,40.15,,鄉村區,乙種建築用地,1110625,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.27,3,2,2,有,無,7250000,65007.0,一樓平面,13.05,800000,,RPQNMLPKPHHGFHD48CB,我的家21,A棟2號,109_02
新市區,房地(土地+建物)+車位,臺南市新市區大社路234號旁,13.17,,鄉村區,乙種建築用地,1110626,土地2建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.13,2,2,1,有,無,7750000,79302.0,坡道機械,7.49,800000,,RPSNMLPKPHHGFHD68CB,高第璞璞,5F-A5號,109_02
新市區,房地(土地+建物)+車位,臺南市新市區大社路234號旁,13.37,,鄉村區,乙種建築用地,1110703,土地2建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.15,2,2,1,有,無,9950000,103810.0,坡道機械,7.49,850000,,RPTNMLPKPHHGFHD78CB,高第璞璞,10F-A1號,109_02
新市區,房地(土地+建物)+車位,臺南市新市區大社路234號旁,13.17,,鄉村區,乙種建築用地,1110714,土地2建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.13,2,2,1,有,無,8330000,85349.0,坡道機械,7.49,850000,,RPUNMLPKPHHGFHD88CB,高第璞璞,8F-A5號,109_02
善化區,房地(土地+建物)+車位,臺南市善化區中華路152號及中興路158號交岔口,16.26,商,,,1110711,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.15,2,2,2,有,無,13550000,109875.0,坡道平面,30.57,1400000,,RPVNMLPKPHHGFHD98CB,常慶天目,D棟10號,109_02
