鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
台東市,土地,中清段83地號,1300.07,農,,,1111014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,2461.0,,0.0,0,農作物；,RPUNMLOKIIHGFAV66DA,0.0,0.0,0.0,無,49.0,111_04
台東市,房地(土地+建物),臺東縣臺東市仁七街１３８巷３號,127.0,住,,,1111002,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,731224.0,152.75,4,2,2,有,無,8800000,57610.0,,0.0,0,,RPQNMLOKIIHGFAV88DA,147.75,0.0,5.0,無,50.0,111_04
台東市,房地(土地+建物),臺東縣臺東市新成街８２號,55.21,住,,,1111020,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,850113.0,202.51,4,2,5,有,無,8050000,39751.0,,0.0,0,,RPRNMLKLIIHGFAV68DA,190.02,12.49,0.0,無,,111_04
成功鎮,土地,新港段新港小段749地號,2300.0,,風景區,農牧用地,1111003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,130.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLIIHGFBV58DA,0.0,0.0,0.0,無,6.0,111_04
台東市,房地(土地+建物),臺東縣臺東市中華路三段１３７巷１１３弄７號,144.03,,特定農業區,甲種建築用地,1111005,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,840331.0,161.69,4,2,3,有,無,7800000,48240.0,,0.0,0,,RPQNMLLJJIHGFAV58DA,155.04,0.0,6.65,無,,111_04
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號三樓之３６,10.39,商,,,1111019,土地2建物1車位0,三層,八層,套房(1房1廳1衛),其他,鋼筋混凝土造,840714.0,37.44,1,1,1,有,有,700000,18697.0,,0.0,0,,RPPNMLTKIIHGFDV96DA,27.07,3.8,0.0,有,,111_04
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路３０之１號八樓之１７,6.53,商,,,1111014,土地1建物1車位0,八層,十五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,870306.0,49.2,1,0,1,有,有,1020000,20732.0,,0.0,0,含傢俱設備費；,RPPNMLOJJIHGFDV09DA,30.45,0.0,4.85,有,,111_04
關山鎮,房地(土地+建物),臺東縣關山鎮中山路３１號,55.92,商,,,1111007,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,761231.0,127.95,3,2,3,有,無,7500000,58617.0,,0.0,0,頂樓加蓋；其他增建；,RPRNMLRKIIHGFCV86DA,124.49,3.46,0.0,無,,111_04
台東市,房地(土地+建物),臺東縣臺東市衡陽路３２號,96.0,住,,,1111010,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,721224.0,109.85,3,2,2,有,無,6600000,60082.0,,0.0,0,其他增建；,RPOOMLLMIIHGFAV68DA,109.85,0.0,0.0,無,,111_04
台東市,房地(土地+建物),臺東縣臺東市寧波街５７號,82.0,住,,,1111006,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,660711.0,94.08,5,2,2,有,無,7500000,79719.0,,0.0,0,,RPUNMLQJIIHGFAV76DA,94.08,0.0,0.0,無,,111_04
成功鎮,土地,三民段630地號,82.37,住,,,1111024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,13354.0,,0.0,0,未登記建物；,RPQNMLPLIIHGFBV56DA,0.0,0.0,0.0,無,,111_04
池上鄉,土地,慶豐段967-1地號,6.65,,鄉村區,乙種建築用地,1111024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,82000,12331.0,,0.0,0,,RPPNMLPLIIHGFCV56DA,0.0,0.0,0.0,無,52.0,111_04
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路３０之１號十五樓之１６,6.91,商,,,1111017,土地1建物1車位0,十五層,十五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,870306.0,50.47,1,0,1,有,有,1150000,22786.0,,0.0,0,本買賣附贈房內家電傢俱設備。,RPPNMLLLIIHGFDV88DA,32.05,3.75,0.0,有,,111_04
