鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕五路１５０巷８號,189.17,,特定農業區,甲種建築用地,1110503,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060724.0,376.75,4,2,4,有,無,17500000,46450.0,,0.0,0,,RPPNMLOJNHHGFAG57DA,325.29,22.82,28.64,無,15.0,111_02
冬山鄉,土地,群英段178地號,56.65,都市：其他:保護區,,,1110513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,26478.0,,0.0,0,,RPQOMLQLNHHGFAG18DA,0.0,0.0,0.0,無,,111_02
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮博愛路２２號二樓,47.7,住,,,1110502,土地5建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080903.0,210.02,3,2,2,有,有,13200000,62851.0,坡道平面,0.0,0,,RPVNMLNLNHHGFAG28DA,106.67,5.08,11.1,有,16.0,111_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮大坑路２００號九樓之一,27.78,住,,,1110505,土地1建物1車位0,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050516.0,88.77000000000001,0,0,0,無,有,7300000,82235.0,,0.0,0,,RPSPMLSKNHHGFBG68DA,42.71,0.0,7.32,有,17.0,111_02
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市大坡路一段１１６巷５弄３號四樓,24.99,住,,,1110510,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840415.0,99.13,3,2,2,有,有,4000000,40351.0,,0.0,0,,RPSOMLQLNHHGFBG48DA,68.74,0.0,7.69,有,,111_02
壯圍鄉,土地,功勞段419地號,1823.0,,特定農業區,農牧用地,1110503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6015900,3300.0,,0.0,0,土地所有權人和房屋所有權人間之買賣親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQLNHHGFBG38DA,0.0,0.0,0.0,無,,111_02
壯圍鄉,建物,宜蘭縣壯圍鄉大福路三段５３巷４２號,0.0,,,,1110503,土地0建物1車位0,全,二層,透天厝,農業用,鋼筋混凝土造,1050218.0,450.5,6,2,8,有,無,2661450,5908.0,,0.0,0,土地所有權人和房屋所有權人間之買賣親友、員工、共有人或其他特殊關係間之交易；,RPTNMLQLNHHGFBG48DA,425.74,0.0,24.77,有,,111_02
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段８６巷３１號四樓之二,36.34,住,,,1110503,土地2建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506.0,181.61,3,2,2,有,有,14680000,96862.0,坡道平面,42.03,1160000,,RPSOMLOLNHHGFBG28DA,82.23,4.27,8.5,有,,111_02
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉和平路９３號五樓,8.72,住,,,1110509,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820708.0,48.07,1,1,1,有,有,2500000,52007.0,,0.0,0,,RPVNMLOLNHHGFBG48DA,26.08,0.0,7.1,有,18.0,111_02
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉冬山路三段３０１巷５１弄１１號,82.9,,特定農業區,甲種建築用地,1110506,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051207.0,262.1,6,2,7,有,無,12000000,45784.0,,0.0,0,溫泉宅，附設露天湯池2座,RPPOMLQLNHHGFAG18EA,229.5,2.65,23.89,有,,111_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮大坑路２０２號四樓之八,19.56,住,,,1110510,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030528.0,87.19,1,1,1,有,有,6700000,76844.0,坡道機械,0.0,0,,RPQOMLNLNHHGFBG97DA,39.92,0.0,4.72,有,,111_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮文雅路３０號,21.65,住,,,1110517,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,680824.0,24.32,3,2,3,有,無,1000000,41118.0,,0.0,0,親屬買賣叔侄親友、員工、共有人或其他特殊關係間之交易；,RPROMLRLNHHGFBG48DA,24.32,0.0,0.0,無,,111_02
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市大坡路一段２５號十樓之二,13.78,商,,,1110504,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841207.0,142.26,3,2,2,有,有,5500000,38662.0,,0.0,0,,RPQNMLRLNHHGFBG28DA,97.53,0.0,17.2,有,,111_02
頭城鎮,土地,下埔段218地號,449.85,,特定農業區,甲種建築用地,1110504,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,17784.0,,0.0,0,賣方800萬實收買賣包含未辦保存登記房屋頂埔路一段212號土增稅及一切稅費由買方負擔.未登記建物；,RPVNMLKMNHHGFBG18DA,0.0,0.0,0.0,無,,111_02
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路２４２巷１號二樓,24.96,住,,,1110510,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721007.0,76.81,3,1,1,有,無,3320000,43224.0,,0.0,0,賣方應支付土地增值稅、代書費、履保費均由買方負擔。,RPUPMLLKNHHGFBG18DA,61.6,0.0,3.08,無,,111_02
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮天祥路８０號,28.14,住,,,1110515,土地1建物1車位0,一層，騎樓,五層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,820121.0,118.37,0,0,1,有,無,8000000,67585.0,,0.0,0,其他增建：平台、騎樓其他增建；,RPUOMLRLNHHGFAG68DA,100.8,10.04,0.0,有,,111_02
