鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
安定區,房地(土地+建物)+車位,臺南市安定區港口段3212地號,28.57,,鄉村區,乙種建築用地,1130804,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.25,3,2,2,有,無,9980000,85505.0,坡道平面,29.49,1450000,,RPRNMLTKQHJGFHD66CB,陶喜LIHO5,B5棟3F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,32.72,住,,,1130722,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,149.9,3,2,2,有,無,13630000,98044.0,坡道平面,25.67,1450000,,RPPNMLTKQHJGFID56CB,佳順大富,A2棟04F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,33.29,住,,,1130722,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,152.11,3,2,2,有,無,13820000,97438.0,坡道平面,25.67,1500000,,RPQNMLTKQHJGFID66CB,佳順大富,A5棟03F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,33.29,住,,,1130722,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,152.11,3,2,2,有,無,13900000,98070.0,坡道平面,25.67,1500000,,RPRNMLTKQHJGFID76CB,佳順大富,A5棟04F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,23.82,住,,,1130805,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,116.08,2,2,1,有,無,9530000,88596.0,坡道平面,25.67,1520000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTKQHJGFID86CB,佳順大富,B1棟09F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,31.25,住,,,1130722,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,144.27,3,2,2,有,無,13860000,103794.0,坡道平面,25.67,1550000,,RPTNMLTKQHJGFID96CB,佳順大富,B2棟01F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,33.86,住,,,1130729,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,154.33,3,2,2,有,無,12900000,88917.0,坡道平面,25.67,1460000,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTKQHJGFID07CB,佳順大富,B2棟05F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,22.55,住,,,1130722,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,110.14,2,2,2,有,無,9170000,90739.0,坡道平面,24.51,1400000,,RPVNMLTKQHJGFID17CB,佳順大富,B3棟02F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,22.55,住,,,1130722,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,111.3,2,2,2,有,無,9560000,94710.0,坡道平面,25.67,1450000,,RPWNMLTKQHJGFID27CB,佳順大富,B3棟03F號,,113_03
歸仁區,房地(土地+建物)+車位,臺南市歸仁區東園街,23.49,住,,,1130722,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,114.84,2,2,1,有,無,9680000,92296.0,坡道平面,25.67,1450000,,RPXNMLTKQHJGFID37CB,佳順大富,B6棟02F號,,113_03
