鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
鹿草鄉,房地(土地+建物),嘉義縣鹿草鄉嘉170縣道,100.15,,鄉村區,乙種建築用地,1130723,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,143.02,4,1,3,有,無,9500000,66424,,0.0,0,,RPPNMLKMPHJGFDQ56CB,承家八期,B2棟0號,,113_03
民雄鄉,房地(土地+建物),嘉義縣民雄鄉嘉166縣道,28.97,住,,,1130711,土地2建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.68,2,1,1,有,無,6510000,71008,,0.0,0,,RPPNMLLJQHJGFCQ98CB,寶格?星,4B2棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130720,土地2建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.23,3,1,2,有,無,9960000,73266,一樓平面,33.3,1100000,,RPQNMLLJQHJGFCQ09CB,寶格?星,3A8棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130729,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.29,3,1,2,有,無,9990000,72651,一樓平面,33.3,1200000,,RPSNMLLJQHJGFCQ66CB,寶格?星,6A8棟0號,,113_03
民雄鄉,房地(土地+建物),嘉義縣民雄鄉正義一街,156.5,住,,,1130727,土地9建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,228.31,4,2,4,有,無,21800000,95484,,0.0,0,,RPQNMLMJQHJGFCQ56CB,中正-森學院,D棟12號,,113_03
民雄鄉,房地(土地+建物),嘉義縣民雄鄉富農一街,103.13,住,,,1130719,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,164.08,4,2,4,有,無,15900000,96904,,0.0,0,,RPRNMLMJQHJGFCQ66CB,中正-森學院,B棟04號,,113_03
水上鄉,房地(土地+建物),嘉義縣水上鄉新番子寮段1303,28.48,,特定農業區,甲種建築用地,1130706,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.09,2,2,2,有,無,6250000,68613,,0.0,0,,RPPNMLMJQHJGFDQ56CB,菁品城,B棟4號,,113_03
水上鄉,房地(土地+建物),嘉義縣水上鄉新番子寮段1303,28.95,,特定農業區,甲種建築用地,1130706,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.48,3,2,2,有,無,6300000,68868,,0.0,0,,RPQNMLMJQHJGFDQ66CB,菁品城,C棟4號,,113_03
民雄鄉,房地(土地+建物),嘉義縣民雄鄉正義一街,154.9,住,,,1130718,土地9建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,232.64,4,2,4,有,無,21800000,93707,,0.0,0,,RPPNMLNJQHJGFCQ56CB,中正-森學院,D棟06號,,113_03
大林鎮,房地(土地+建物),嘉義縣大林鎮明和段51地號,245.58,住,,,1130727,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,351.49,5,1,5,有,無,29600000,84213,,0.0,0,,RPPNMLNJQHJGFCQ66DB,大林金鑽店面,1棟A01號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉覆鼎金42-6號旁,31.73,住,,,1130730,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.6,3,2,2,有,無,8953000,90309,一樓平面,13.75,1200000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費；,RPPNMLPJQHJGFCQ76CB,玄鴻首賦,B棟1號,,113_03
中埔鄉,房地(土地+建物),嘉義縣中埔鄉富收村庄內,96.07,,鄉村區,乙種建築用地,1130711,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,138.91,3,2,3,有,無,12650000,91066,,0.0,0,,RPPNMLPJQHJGFDQ86CB,觀武意墅No.13,A2棟0號,,113_03
中埔鄉,房地(土地+建物),嘉義縣中埔鄉富收村庄內,84.94,,鄉村區,乙種建築用地,1130711,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,142.15,3,2,3,有,無,12400000,87232,,0.0,0,,RPQNMLPJQHJGFDQ96CB,觀武意墅No.13,B2棟0號,,113_03
中埔鄉,房地(土地+建物)+車位,嘉義縣中埔鄉幸福一路與中庄街口,22.2,住,,,1130724,土地2建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.59,2,2,2,有,無,9450000,102832,坡道機械,1.5,700000,,RPRNMLPJQHJGFDQ07CB,水無月-璞悅,1棟8A號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,28.97,住,,,1130719,土地2建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.98,2,1,1,有,無,7840000,73517,坡道平面,33.3,1100000,,RPPNMLQJQHJGFCQ86CB,寶格?星,5B2棟0號,,113_03
大林鎮,房地(土地+建物),嘉義縣大林鎮甘蔗崙,137.98,住,,,1130715,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.55,5,2,4,有,無,14500000,82130,,0.0,0,,RPQNMLQJQHJGFCQ96CB,輕井澤,C2棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉80縣道,40.6,住,,,1130727,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.63,3,2,2,有,無,10580000,71787,坡道平面,29.27,1150000,,RPRNMLQJQHJGFCQ07CB,民雄帝標,5E號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉80縣道,34.78,住,,,1130730,土地1建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.01,3,2,2,有,無,10420000,73086,坡道平面,58.54,2200000,,RPSNMLQJQHJGFCQ17CB,民雄帝標,13D號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130720,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.66,3,1,2,有,無,10610000,76904,坡道平面,33.3,1200000,,RPTNMLQJQHJGFCQ27CB,寶格?星,9B1棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,33.8,住,,,1130729,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.05,2,1,1,有,無,9020000,72787,坡道平面,33.3,1250000,,RPUNMLQJQHJGFCQ37CB,寶格?星,6B6棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130729,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.4,3,1,2,有,無,10540000,76904,坡道平面,33.3,1150000,,RPVNMLQJQHJGFCQ47CB,寶格?星,9B3棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130728,土地2建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.4,3,1,2,有,無,10570000,76331,坡道平面,33.3,1250000,,RPXNMLQJQHJGFCQ67CB,寶格?星,10B3棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130731,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.4,3,1,2,有,無,10480000,76003,坡道平面,33.3,1200000,,RPOOMLQJQHJGFCQ86CB,寶格?星,8A3棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130720,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.29,3,1,2,有,無,10180000,75048,坡道平面,33.3,1100000,,RPPOMLQJQHJGFCQ96CB,寶格?星,7B8棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,33.8,住,,,1130719,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.05,2,1,1,有,無,9110000,74567,坡道平面,33.3,1150000,,RPQOMLQJQHJGFCQ07CB,寶格?星,8B6棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,39.84,住,,,1130728,土地2建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.07,3,1,2,有,無,12580000,80493,坡道平面,66.6,2400000,,RPROMLQJQHJGFCQ17CB,寶格?星,14A3棟0號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,35.71,,特定農業區,甲種建築用地,1130711,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.79,3,2,2,有,無,12800000,96363,坡道平面,26.45,1300000,,RPPNMLTJQHJGFBQ07CB,幸福168,7A3號,,113_03
