鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段190巷,13.48,商,,,1121122,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.36,3,2,2,有,無,13400000,101823,坡道平面,31.49,1500000,,RPSNMLSLJIIGFAN98CB,中正琢越,F-12F號,,113_01
芬園鄉,房地(土地+建物),彰化縣芬園鄉成功路,50.59,其他,,,1121125,土地8建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,89.25,2,2,2,有,無,7000000,78431,,0.0,0,,RPTNMLSLJIIGFAN09CB,百居薰園,C1棟2F號,,113_01
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同十二街,23.71,住,,,1121127,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,129.66,3,1,2,有,無,8570000,73383,坡道平面,26.23,980000,,RPPNMLSLJIIGFBN78CB,道恩起家451,4B號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,住,,,1121127,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.61,3,2,2,有,無,11950000,89897,坡道平面,26.81,1450000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPPNMLSLJIIGFDN98CB,昌祐時代,B棟5F號,,113_01
田中鎮,房地(土地+建物),彰化縣田中鎮山腳路五段141巷,96.51,,鄉村區,乙種建築用地,1121123,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,108.68,4,2,3,有,無,9880000,90909,,0.0,0,,RPPNMLSLJIIGFEN09CB,心里有墅,C棟15號,,113_01
田中鎮,房地(土地+建物)+車位,彰化縣田中鎮香山段926-8地號,80.94,,特定農業區,甲種建築用地,1121124,土地3建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,121.66,4,2,3,有,無,8500000,69867,一樓平面,0.0,0,,RPQNMLSLJIIGFEN56CB,君順CUCU,B棟5號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮四維街,111.56,住,,,1121117,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,179.83,5,2,5,有,無,12000000,66730,,0.0,0,,RPPNMLSLJIIGFGN66CB,龍旺中科7,C棟5號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮四維街,110.74,住,,,1121117,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,179.83,5,2,5,有,無,11450000,63671,,0.0,0,,RPQNMLSLJIIGFGN76CB,龍旺中科7,C棟3號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮四維街VS樂群街,14.86,住,,,1121118,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.51,2,2,2,有,無,4720000,67904,,0.0,0,,RPRNMLSLJIIGFGN86CB,左岸玫瑰-2,C棟3號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮四維街VS樂群街,14.86,住,,,1121119,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.51,2,2,2,有,無,4620000,66465,,0.0,0,,RPSNMLSLJIIGFGN96CB,左岸玫瑰-2,C棟4號,,113_01
埔鹽鄉,房地(土地+建物)+車位,彰化縣埔鹽鄉永平段284地號,32.21,,鄉村區,乙種建築用地,1121126,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.93,3,2,2,有,無,8280000,73812,一樓平面,31.01,1200000,,RPPNMLSLJIIGFHN76CB,新世代,A棟1號,,113_01
花壇鄉,房地(土地+建物),彰化縣花壇鄉內溪巷及內溪一巷交叉口,76.03,住,,,1121115,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,152.07,5,2,3,有,無,16500000,108503,,0.0,0,申報當時北口段250地號尚未分割此戶實際移轉面積大約76.03平方公尺,RPPNMLSLJIIGFAN78DB,馥御七期,A棟13號,,113_01
芬園鄉,房地(土地+建物),彰化縣芬園鄉成功路,50.59,其他,,,1121111,土地8建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,89.25,2,2,2,有,無,7000000,78431,,0.0,0,,RPPNMLTLJIIGFAN78CB,百居薰園,C3棟2F號,,113_01
員林市,房地(土地+建物),彰化縣員林市山腳路三段,121.43,住,,,1121116,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.71,4,3,3,有,無,11000000,64816,,0.0,0,,RPPNMLTLJIIGFDN09CB,寬薪3,B棟17號,,113_01
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,26.02,,鄉村區,乙種建築用地,1121126,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.7,2,2,1,有,無,9690000,95249,坡道平面,41.24,1550000,,RPPNMLTLJIIGFHN86CB,心里程,H棟2號,,113_01
彰化市,房地(土地+建物),彰化縣彰化市泰和中街168號旁,76.03,住,,,1121119,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,193.27,3,2,4,有,無,25500000,131940,,0.0,0,,RPOOMLTLJIIGFAN88DB,仁泰建設金馬大心,B6棟0號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市建國路38巷58弄、建國路38巷24弄,36.68,住,,,1121129,土地3建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.27,3,2,2,有,無,8730000,91523,坡道機械,7.44,600000,,RPPNMLKMJIIGFDN28CB,惠眾享幸福,J棟3號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市豐年街,35.47,住,,,1121117,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.21,3,2,2,有,無,9900000,86534,坡道平面,39.56,1450000,,RPRNMLKMJIIGFDN48CB,璞樹心悅,A棟2號,,113_01
