鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
信義區,房地(土地+建物),基隆市信義區東明路７７巷７０弄１４之４號,18.0,住,,,1131108,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710420.0,54.56,2,1,1,有,無,1800000,32991.0,,0.0,0,頂樓加蓋；其他增建；,RPTOMLPLJIJGFDC18DA,46.28,0.0,8.28,無,,113_04
安樂區,房地(土地+建物),基隆市安樂區新西街６３之３號,19.69,住,,,1131111,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630607.0,52.91,3,1,1,有,無,1600000,30240.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLLKJIJGFDC57EA,52.91,0.0,0.0,無,,113_04
安樂區,建物,基隆市安樂區基金二路１巷３８之１號,0.0,,,,1131104,土地0建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,870907.0,141.07,2,2,1,有,無,4500000,31899.0,,0.0,0,建物坐落地號：武嶺段871地號；親友、員工、共有人或其他特殊關係間之交易；,RPVPMLLKJIJGFDC97DA,97.83,0.0,7.56,無,,113_04
中正區,房地(土地+建物),基隆市中正區新豐街２７８之３號,11.28,住,,,1131105,土地1建物2車位0,一層,二十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,851129.0,68.45,0,0,0,無,有,4200000,61359.0,,0.0,0,1.基隆市中正區新豐街278之2號買賣價新台幣210萬元。2.基隆市中正區新豐街278之3號買賣價新台幣210萬。,RPWPMLLKJIJGFDC08DA,38.01,0.0,0.0,有,8.0,113_04
仁愛區,房地(土地+建物),基隆市仁愛區曲水街７號４樓,11.2,住,,,1131109,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740731.0,42.64,1,1,1,有,無,2300000,53940.0,,0.0,0,,RPUOMLPKJIJGFDC18DA,34.4,0.0,5.4,無,,113_04
仁愛區,房地(土地+建物),基隆市仁愛區忠二路１８號４．５樓,15.63,商,,,1131112,土地2建物1車位0,四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750307.0,121.82,3,2,2,有,無,5700000,46790.0,,0.0,0,,RPOOMLPLJIJGFDC67DA,121.82,0.0,0.0,無,9.0,113_04
仁愛區,車位,基隆市仁愛區仁一路２５７號等共用部分,0.15,商,,,1131113,土地2建物1車位2,,,其他,,,,27.96,0,0,0,無,有,2000000,,坡道機械,27.96,0,僅車位交易；,RPXNMLQLJIJGFDC58DA,0.0,0.0,0.0,有,10.0,113_04
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷１２弄９號２樓,25.44,住,,,1131109,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840124.0,102.74,3,2,2,有,無,5800000,56453.0,,0.0,0,,RPTOMLNKJIJGFDC87DA,80.63,1.1,8.09,無,11.0,113_04
中正區,房地(土地+建物)+車位,基隆市中正區新豐街２７８號１９樓,10.56,住,,,1131101,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851129.0,95.6,1,1,1,有,有,2000000,20921.0,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLQLJIJGFDC38DA,37.04,0.0,5.56,有,,113_04
仁愛區,房地(土地+建物),基隆市仁愛區忠三路９９號三樓之十一,3.98,商,,,1131114,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,700425.0,34.19,0,0,0,無,有,1900000,55572.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLOKJIJGFDC97DA,24.71,0.0,3.75,有,,113_04
暖暖區,房地(土地+建物),基隆市暖暖區源遠路２３０號４樓,25.34,商,,,1131110,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740629.0,108.79,3,2,1,有,無,3500000,32172.0,,0.0,0,,RPRNMLQLJIJGFDC97DA,101.09,0.0,7.7,無,,113_04
暖暖區,土地,暖暖段東勢坑小段46-13地號,76.0,,森林區,丙種建築用地,1131111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,46053.0,,0.0,0,未登記建物；,RPPNMLSLJIJGFDC97DA,0.0,0.0,0.0,無,,113_04
中正區,房地(土地+建物),基隆市中正區和一路５８巷８２號５樓,15.6,住,,,1131119,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,820622.0,59.19,1,1,1,有,無,1700000,28721.0,,0.0,0,,RPTNMLSLJIJGFDC38DA,48.5,0.0,7.41,無,,113_04
仁愛區,建物,基隆市仁愛區龍安街３２９之１號,0.0,,,,1131108,土地0建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700704.0,39.26,2,2,1,有,無,1800000,45848.0,,0.0,0,建物坐落地號：德厚段550地號；親友、員工、共有人或其他特殊關係間之交易；,RPTPMLSLJIJGFDC58DA,39.26,0.0,0.0,無,,113_04
安樂區,車位,基隆市安樂區樂利三街４１．４３．４５．４７．４９．５１．５３．５５．５７．５９號地下一層．地下二層,4.17,都市：其他:道路用地,,,1131114,土地7建物1車位1,地下一層，地下二層,二十層,其他,地下一層：防空避難室兼停車空間。地下二層：停車空間。,鋼筋混凝土造,860117.0,30.28,0,0,0,無,有,1750000,,升降機械,30.28,1750000,僅車位交易；,RPPNMLTLJIJGFDC18EA,0.0,0.0,0.0,有,12.0,113_04
中正區,房地(土地+建物),基隆市中正區新豐街２６４號２１樓,5.35,住,,,1131117,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851129.0,27.03,1,1,1,有,有,2700000,99889.0,,0.0,0,,RPRNMLPLJIJGFDC87DA,18.52,0.0,2.78,有,13.0,113_04
安樂區,房地(土地+建物),基隆市安樂區基金一路１０８之１９號９樓,16.02,住,,,1131119,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830610.0,87.21,3,2,2,有,有,3880000,44490.0,,0.0,0,,RPUNMLTLJIJGFDC58DA,76.32,0.84,0.0,有,14.0,113_04
中正區,房地(土地+建物),基隆市中正區新豐街３３３巷４７號３樓,20.68,住,,,1131104,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841122.0,100.68,3,2,2,有,有,5800000,57608.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMJKIJGFDC27DA,76.47,0.0,8.75,有,,113_04
安樂區,房地(土地+建物),基隆市安樂區中和路２００巷１０８號３樓,39.85,住,,,1131105,土地4建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730407.0,92.99,2,1,1,有,無,1950000,20970.0,,0.0,0,,RPOOMLMJKIJGFDC27DA,71.48,0.0,13.54,無,,113_04
安樂區,房地(土地+建物)+車位,基隆市安樂區基金二路１巷１８２號５樓,23.26,住,,,1131122,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820107.0,163.62,3,2,2,有,有,6500000,39726.0,坡道平面,0.0,0,受債權債務關係影響或債務抵償；,RPQNMLTLJIJGFDC28EA,92.05,2.11,10.03,有,15.0,113_04
七堵區,土地,瑪陵坑段東勢下股小段37地號,188.33,,山坡地保育區,丙種建築用地,1131120,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,940600,4994.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTNMLMJKIJGFDC77EA,0.0,0.0,0.0,無,16.0,113_04
信義區,房地(土地+建物),基隆市信義區東信路３９號３樓,12.32,住,,,1131102,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820907.0,85.39,2,1,1,有,無,5000000,58555.0,,0.0,0,,RPTOMLOKJIJGFDC97DA,64.59,0.39,7.13,有,,113_04
中山區,房地(土地+建物),基隆市中山區中山一路２９１巷２３之１號,19.97,住,,,1131118,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,640415.0,62.72,3,1,1,有,無,1450000,23119.0,,0.0,0,,RPPNMLNLJIJGFDC47DA,62.72,0.0,0.0,無,,113_04
中正區,房地(土地+建物),基隆市中正區中船路３６巷７號５樓,19.6,商,,,1131113,土地6建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,810828.0,73.47,2,1,1,有,無,2700000,36750.0,,0.0,0,未登記建物；,RPQNMLMJKIJGFDC37DA,66.39,0.0,7.08,無,17.0,113_04
中正區,房地(土地+建物),基隆市中正區武昌街１０４巷６８號,67.0,住,,,1131102,土地1建物2車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,590611.0,76.44,4,2,2,有,無,2700000,35322.0,,0.0,0,其他增建；,RPPOMLMJKIJGFDC37DA,76.44,0.0,0.0,無,,113_04
暖暖區,房地(土地+建物)+車位,基隆市暖暖區過港路１０巷２０６號１０樓,16.08,住,,,1131118,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850615.0,83.02,2,2,2,有,有,4800000,57817.0,升降機械,0.0,0,夾層；,RPQOMLMJKIJGFDC47DA,52.91,0.0,6.2,有,18.0,113_04
七堵區,土地,瑪陵坑段東勢下股小段37地號,188.33,,山坡地保育區,丙種建築用地,1131120,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,940600,4994.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLMJKIJGFDC87EA,0.0,0.0,0.0,無,16.0,113_04
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷９弄２７號３樓,21.66,住,,,1131108,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840117.0,84.12,3,1,1,有,無,3720000,44223.0,,0.0,0,,RPVOMLPKJIJGFDC28DA,66.23,1.1,5.53,無,20.0,113_04
七堵區,房地(土地+建物),基隆市七堵區百二街４２號,34.0,住,,,1131106,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,680805.0,89.38,2,1,1,有,無,10800000,120832.0,,0.0,0,,RPRNMLQKJIJGFDC87DA,89.38,0.0,0.0,無,,113_04
