鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,29.34,住,,,1130102,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.54,3,2,2,有,無,15450000,108654.0,坡道平面,31.85,1250000,,RPSNMLKKJHJGFFK28CB,昌隆廣場-上賀,B2棟06F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,29.34,住,,,1130102,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.74,3,2,2,有,無,15300000,106741.0,坡道平面,33.05,1350000,,RPTNMLKKJHJGFFK38CB,昌隆廣場-上賀,B2棟11F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,16.77,住,,,1130102,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.36,2,2,1,有,無,9510000,108065.0,坡道平面,31.85,1350000,,RPUNMLKKJHJGFFK48CB,昌隆廣場-上賀,B3棟04F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,19.91,住,,,1130102,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.96,2,2,1,有,無,11290000,113792.0,坡道平面,31.85,1150000,露臺,RPVNMLKKJHJGFFK58CB,昌隆廣場-上賀,C3棟02F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,26.72,住,,,1130102,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.5,3,2,2,有,無,13580000,101379.0,坡道平面,31.85,1450000,,RPWNMLKKJHJGFFK68CB,昌隆廣場-上賀,D1棟03F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,34.71,住,,,1130102,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,218.63,3,2,3,有,無,20730000,110028.0,坡道平面,56.58,2900000,,RPXNMLKKJHJGFFK78CB,昌隆廣場-上禾旺,C1棟09F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,34.71,住,,,1130102,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.76,3,2,3,有,無,18380000,103588.0,坡道平面,28.29,1550000,,RPOOMLKKJHJGFFK97CB,昌隆廣場-上禾旺,D2棟04F號,,113_01
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅一路,84.3,住,,,1121230,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,215.85,4,2,3,有,無,18590000,86125.0,,0.0,0,,RPPNMLLKJHJGFDK87CB,有謙42期,A棟12號,,113_01
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅一路,84.3,住,,,1121230,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,215.85,4,2,3,有,無,18590000,86125.0,,0.0,0,,RPQNMLLKJHJGFDK97CB,有謙42期,A棟16號,,113_01
竹南鎮,房地(土地+建物),苗栗縣竹南鎮科專三路,86.44,住,,,1130106,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,208.57,3,2,3,有,無,21500000,103083.0,,0.0,0,,RPRNMLLKJHJGFDK08CB,珈泰逸墅,B棟11號,,113_01
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉雙峰路文峰巷2弄,119.04,,山坡地保育區,丙種建築用地,1121224,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,135.59,4,2,3,有,無,11450000,84446.0,,0.0,0,,RPPNMLLKJHJGFEK97CB,富築Ⅱ,B棟2號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,13.75,商,,,1121224,土地1建物1車位1,十九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.76,3,2,2,有,無,19120000,135953.0,坡道平面,23.26,1650000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分	0.01 	平方公尺，共計移轉面積	13.76 	平方公尺,RPUNMLLKJHJGFFK58CB,中央世紀,A棟7-19F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,13.75,商,,,1130110,土地1建物1車位1,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.76,3,2,2,有,無,18620000,132840.0,坡道平面,23.26,1550000,,RPVNMLLKJHJGFFK68CB,中央世紀,A棟7-18F號,,113_01
