鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
恆春鎮,房地(土地+建物)+車位,屏東縣恆春鎮德和里德和路130巷,52.77,,鄉村區,乙種建築用地,1130626,土地5建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,154.16,3,2,3,有,無,8200000,54839.0,一樓平面,13.75,500000,,RPQNMLNJPHJGFET07CB,君悅天廈,1棟2FA1號,,113_03
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉光明路292巷,28.45,住,,,1130701,土地2建物1車位1,六層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,102.79,3,2,2,有,無,7600000,69901.0,升降機械,5.51,800000,,RPPNMLOJPHJGFCT86CB,皇家欣天地3期 森鄰,D棟5號,,113_03
新園鄉,房地(土地+建物)+車位,屏東縣新園鄉仙吉路,25.83,住,,,1130610,土地2建物1車位1,二層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,98.22,2,1,2,有,無,5700000,57880.0,一樓平面,22.2,1300000,,RPPNMLOJPHJGFDT96CB,怡華新園,B1棟2樓號,,113_03
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮朝昇東路321號,40.51,住,,,1130705,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,111.51,3,2,2,有,無,8580000,76944.0,一樓平面,14.4,0,,RPPNMLPJPHJGFCT07DB,御潮苑,A1棟2樓號,,113_03
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮朝昇東路321號,40.51,住,,,1130705,土地2建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,111.51,3,2,2,有,無,9000000,80710.0,一樓平面,14.4,0,,RPQNMLPJPHJGFCT17DB,御潮苑,A1棟4樓號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市桂林街貴陽街交叉口,32.18,住,,,1130624,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.56,3,2,2,有,無,11500000,103166.0,一樓平面,16.66,1400000,,RPPNMLQJPHJGFAT86CB,喜?京站,A棟3F號,,113_03
佳冬鄉,房地(土地+建物)+車位,屏東縣佳冬鄉忠愛街,41.51,住,,,1130623,土地1建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.8,3,2,2,有,無,6420000,54720.0,一樓平面,13.75,1000000,,RPPNMLRJPHJGFFT47CB,佳冬寶,A棟1號,,113_03
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,29.19,,鄉村區,乙種建築用地,1130707,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.61,3,2,2,有,無,8550000,66601.0,坡道平面,13.75,1100000,解約後再次售出,RPPNMLSJPHJGFAT07CB,萬丹印象,I棟2號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市民生東路11巷,18.08,,一般農業區,甲種建築用地,1130623,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,105.99,2,2,1,有,無,8020000,86340.0,坡道平面,27.0,1200000,,RPQNMLSJPHJGFAT17CB,中洲向山學,A棟5號,,113_03
屏東市,房地(土地+建物),屏東縣屏東市民生東路11巷,115.36,,一般農業區,甲種建築用地,1130619,土地4建物1車位0,全,3,透天厝,住家用,鋼骨混凝土造,,155.56,5,2,3,有,無,16750000,107675.0,,0.0,0,,RPRNMLSJPHJGFAT27CB,中洲向山學,D棟3號,,113_03
