鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
北港鎮,房地(土地+建物)+車位,雲林縣北港鎮新學六路,25.53,住,,,1130312,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.69,2,2,1,有,無,6390000,60478.0,坡道平面,22.74,950000,,RPPNMLSJMHJGFEP76CB,禾楓君悅-北港綻,A棟A2號,,113_02
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮頂湳段228地號,25.13,,鄉村區,乙種建築用地,1130329,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,56.78,1,2,1,有,無,4200000,76248.0,一樓平面,13.5,900000,,RPPNMLTJMHJGFCP66CB,璟馥-2,G棟3號,,113_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮頂湳段228地號,25.13,,鄉村區,乙種建築用地,1130407,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,56.78,1,2,1,有,無,3320000,58471.0,,0.0,0,,RPQNMLTJMHJGFCP76CB,璟馥-2,G棟5號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮過溪段876地號,28.2,,鄉村區,乙種建築用地,1130403,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.08,2,2,1,有,無,4500000,59936.0,,0.0,0,,RPPNMLTJMHJGFDP76CB,中溪苑,E棟3號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮過溪段876地號,27.53,,鄉村區,乙種建築用地,1130403,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.3,2,2,1,有,無,4350000,59345.0,,0.0,0,,RPQNMLTJMHJGFDP86CB,中溪苑,C棟2號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東二路,114.9,住,,,1130401,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,209.9,4,2,4,有,無,20880000,99476.0,,0.0,0,,RPRNMLTJMHJGFDP96CB,大於,G棟2號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲二路,137.76,住,,,1130326,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,223.13,4,1,4,有,無,24880000,111505.0,,0.0,0,,RPSNMLTJMHJGFDP07CB,臻品,B棟1號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興東九街門牌尚未申請,39.72,住,,,1130330,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.47,3,2,2,有,無,11500000,89980.0,坡道平面,25.0,1200000,,RPTNMLTJMHJGFDP17CB,臻品會館2期,1棟D號,,113_02
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮復興路,43.02,住,,,1130330,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.37,3,2,2,有,無,7150000,57865.0,一樓平面,21.36,900000,,RPUNMLTJMHJGFDP27CB,百富5期,5FB6棟0號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興安段,81.64,,鄉村區,乙種建築用地,1130406,土地2建物1車位0,全,3,透天厝,住家用,見其他登記事項,,157.1,4,2,3,有,無,10960000,69764.0,,0.0,0,,RPVNMLTJMHJGFDP37CB,圓砌一期,A棟3號,,113_02
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉光大寮路,30.63,住,,,1130324,土地1建物1車位0,二層,5,其他,住家用,鋼筋混凝土造,,74.42,1,1,1,有,無,5400000,72561.0,,0.0,0,,RPPNMLTJMHJGFFP96CB,麥寮成家,2F棟C號,,113_02
斗六市,房地(土地+建物),雲林縣斗六市石榴路369巷102弄1號邊,82.63,,一般農業區,甲種建築用地,1130330,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,174.23,4,3,4,有,無,12200000,70022.0,,0.0,0,,RPPNMLKKMHJGFAP28CB,煌美斗六觀止,B1棟0號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,13.98,商,,,1130401,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.07,3,2,2,有,無,11500000,86746.0,坡道平面,29.18,1100000,,RPRNMLKKMHJGFAP48CB,勝麗MVP,B1棟15F號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,14.27,商,,,1130401,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.29,3,2,2,有,無,12030000,87158.0,坡道平面,29.18,1300000,,RPSNMLKKMHJGFAP58CB,勝麗MVP,D1棟15F號,,113_02
大埤鄉,房地(土地+建物)+車位,雲林縣大埤鄉博愛路,112.34,住,,,1130323,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,180.24,4,2,4,有,無,8500000,47159.0,一樓平面,8.91,0,車位交易總價已含於建物交易總價內,RPPNMLKKMHJGFBP38CB,臻至完美六期,A3棟0號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,10.97,商,,,1130330,土地11建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,110.89,2,2,1,有,無,8950000,97199.0,坡道平面,32.7,1350000,,RPPNMLKKMHJGFDP58CB,鎧將雲鼎,A棟13F-E號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,15.17,商,,,1130323,土地11建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.86,3,2,2,有,無,11780000,97818.0,坡道平面,32.7,1200000,,RPQNMLKKMHJGFDP68CB,鎧將雲鼎,B棟14F-H號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,15.17,商,,,1130405,土地11建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.86,3,2,2,有,無,11860000,98558.0,坡道平面,32.7,1200000,,RPRNMLKKMHJGFDP78CB,鎧將雲鼎,B棟14F-J號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興隆街,35.06,住,,,1130405,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,,75.16,2,1,2,有,無,5730000,76237.0,,0.0,0,,RPPNMLKKMHJGFDP68DB,理想家,B棟2號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興隆街,38.57,住,,,1130405,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,,82.67,2,1,2,有,無,6310000,76328.0,,0.0,0,,RPQNMLKKMHJGFDP78DB,理想家,B棟3號,,113_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮東南路,137.22,住,,,1130408,土地9建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,232.25,4,3,5,有,無,15000000,64586.0,,0.0,0,,RPPNMLLKMHJGFCP58CB,宇荃寶家,B棟22號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,24.43,住,,,1130316,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.16,2,1,1,有,無,9290000,75602.0,坡道平面,19.83,1100000,,RPQNMLLKMHJGFDP78CB,禾楓君悅-農博綻,A棟6號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,33.01,住,,,1130317,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.86,3,1,2,有,無,12240000,75601.0,坡道平面,19.83,1200000,,RPRNMLLKMHJGFDP88CB,禾楓君悅-農博綻,A棟7號,,113_02
