鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮中山路１１３號,94.47,商,,,1040706,土地1建物1車位0,全,二層,透天厝,住家用,磚造,,147.28,3,2,3,有,無,15500000,105242.0,,0.0,0,,RPTNMLRKQHKFFCN07CA,147.28,0.0,0.0,,,104_04
鹿港鎮,土地,上林段443-7地號,1113.0,,工業區,丁種建築用地,1040717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9638580,8660.0,,0.0,0,,RPVNMLRKQHKFFCN27CA,0.0,0.0,0.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿一心東街２７號,69.01,,山坡地保育區,丙種建築用地,1040715,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,691230.0,111.75,3,2,2,有,無,5300000,47427.0,,0.0,0,,RPSNMLLJRHKFFAN78CA,111.75,0.0,0.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿民族路１２９巷３７弄１號三樓之三,11.25,住,,,1040703,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830411.0,75.15,2,2,1,有,無,2360000,31404.0,,0.0,0,,RPUOMLQLQHKFFAN07CA,48.06,0.0,8.42,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿南郭路一段60號六樓,22.02,住,,,1040727,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701008.0,98.78,3,2,2,有,有,3850000,38976.0,,0.0,0,,RPOOMLRLQHKFFAN56CA,98.78,0.0,0.0,,,104_04
彰化市,土地,牛稠子段中庄子小段91-18地號,195.0,,鄉村區,乙種建築用地,1040702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9790000,50205.0,,0.0,0,,RPWNMLMKQHKFFAN66CA,0.0,0.0,0.0,,,104_04
彰化市,房地(土地+建物)+車位,彰化縣彰化巿中山路一段１１９巷２２弄１９號７樓,19.0,住,,,1040715,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820121.0,132.11,3,2,2,有,有,4880000,36939.0,坡道平面,0.0,0,,RPQPMLRKQHKFFAN76CA,80.2,0.0,9.45,,,104_04
彰化市,土地,渡船頭段渡船頭小段367地號,829.0,,特定農業區,農牧用地,1040707,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,6755.0,,0.0,0,,RPTNMLLKQHKFFAN88CA,0.0,0.0,0.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿崙美路２４０巷７３弄２２號,75.0,農,,,1040708,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,660331.0,86.4,3,2,2,有,無,4600000,53241.0,,0.0,0,,RPTOMLLLQHKFFAN09CA,86.4,0.0,0.0,,,104_04
秀水鄉,土地,東興段681地號,2813.0,,特定農業區,農牧用地,1040722,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12620000,4486.0,,0.0,0,,RPWNMLTKQHKFFAN37CA,0.0,0.0,0.0,,,104_04
秀水鄉,土地,東興段682地號,3015.0,,特定農業區,農牧用地,1040722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13840000,4590.0,,0.0,0,,RPOOMLTKQHKFFAN66CA,0.0,0.0,0.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿永樂街２１６號,57.0,住,,,1040627,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,620108.0,153.48,4,2,2,有,無,10500000,68413.0,,0.0,0,,RPPNMLTKQHKFFAN66CA,153.48,0.0,0.0,,,104_04
秀水鄉,房地(土地+建物),彰化縣秀水鄉水尾巷133弄10號,73.52,,鄉村區,乙種建築用地,1040709,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,850718.0,124.66,0,0,0,無,無,3200000,25670.0,,0.0,0,,RPPNMLKLQHKFFAN48CA,98.87,13.04,12.75,,,104_04
彰化市,土地,福田段842地號,4.79,,山坡地保育區,暫未編定,1040801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29000,6054.0,,0.0,0,,RPUNMLNKQHKFFAN56CA,0.0,0.0,0.0,,,104_04
彰化市,房地(土地+建物)+車位,彰化縣彰化巿彰鹿路168巷149弄6號,67.0,住,,,1040715,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031217.0,154.6,4,2,3,有,無,6600000,42691.0,一樓平面,0.0,0,,RPVNMLNKQHKFFAN66CA,137.26,0.0,17.34,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿向陽街９９巷５６弄６號,103.14,住,,,1040716,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1031017.0,276.44,5,3,6,有,有,13680000,49486.0,,0.0,0,,RPVNMLOKQHKFFAN76CA,240.86,0.0,35.58,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿向陽街９９巷５６弄５６號,103.14,住,,,1040721,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031017.0,269.49,5,3,4,有,有,13380000,49649.0,,0.0,0,,RPWNMLOKQHKFFAN86CA,236.49,0.0,33.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿向陽街９９巷５６弄６２號,103.14,住,,,1040722,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031017.0,269.49,5,3,4,有,有,13300000,49352.0,,0.0,0,,RPXNMLOKQHKFFAN96CA,236.49,0.0,33.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿向陽街９９巷５６弄３５號,108.14,住,,,1040713,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031209.0,230.68,5,2,4,有,有,12050000,52237.0,,0.0,0,,RPOOMLOKQHKFFAN78CA,225.21,0.0,5.47,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿向陽街９９巷５６弄２３號,111.14,住,,,1040728,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031209.0,231.84,5,2,4,有,有,11600000,50035.0,,0.0,0,,RPPOMLOKQHKFFAN88CA,205.98,0.0,25.86,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿國聖路243巷1號,87.0,,特定農業區,甲種建築用地,1040721,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,690616.0,110.94,4,3,2,有,無,2800000,25239.0,,0.0,0,,RPQNMLOKQHKFFAN88CA,110.94,0.0,0.0,,,104_04
彰化市,房地(土地+建物)+車位,彰化縣彰化巿彰鹿路168巷149弄8號,67.0,住,,,1040721,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031217.0,154.07,4,2,3,有,無,6700000,43487.0,一樓平面,0.0,0,,RPRNMLMKQHKFFAN78CA,136.73,0.0,17.34,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿泰和路三段２６巷４０弄２號,106.76,住,,,1040627,土地4建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,680205.0,87.88,3,2,1,有,無,4400000,50068.0,,0.0,0,,RPPOMLQKQHKFFAN09CA,87.88,0.0,0.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿崙平南路２７０巷１１號三樓,20.03,住,,,1040711,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880210.0,124.78,3,2,2,有,無,5300000,42475.0,,0.0,0,,RPSNMLRKQHKFFAN76CA,70.08,0.0,11.44,,,104_04
彰化市,土地,牛稠子段中庄子小段15-3地號,166.0,,特定農業區,農牧用地,1040713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,18976.0,,0.0,0,,RPVOMLRKQHKFFAN17CA,0.0,0.0,0.0,,,104_04
彰化市,房地(土地+建物),彰化縣彰化巿自強路２００之７號五樓,26.54,住,,,1040706,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820630.0,95.51,2,1,2,有,無,3390000,35494.0,,0.0,0,,RPPPMLRKQHKFFAN66CA,81.05,0.0,14.46,,,104_04
彰化市,土地,西勢子段西勢子小段120-18地號,315.31,其他,,,1040719,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,57087.0,,0.0,0,與113740、113750為同一案，成交價不可拆,RPWNMLRLQHKFFAN27CA,0.0,0.0,0.0,,,104_04
花壇鄉,土地,新中庄段1155地號,28.62,,鄉村區,乙種建築用地,1040803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,346416,12104.0,,0.0,0,,RPOOMLLJRHKFFAN48CA,0.0,0.0,0.0,,,104_04
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮富麗一街３７號一樓,49.19,,特定農業區,甲種建築用地,1040607,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,880114.0,159.88,3,2,2,有,無,3550000,22204.0,其他,0.0,0,,RPSNMLOJRHKFFCN66CA,91.94,0.0,9.91,,,104_04
伸港鄉,土地,伸榮段554地號,750.0,其他,,,1040727,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12500000,16667.0,,0.0,0,,RPTNMLLJRHKFFBN98CA,0.0,0.0,0.0,,,104_04
和美鎮,土地,和西段37-3地號,23.0,商,,,1040720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,73913.0,,0.0,0,,RPVNMLOKQHKFFBN86CA,0.0,0.0,0.0,,,104_04
