鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
七堵區,房地(土地+建物)+車位,基隆市七堵區長安段38地號 G棟/3樓,34.19,住,,,1031228,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,7500000,84213,坡道平面,33.99,1200000,,RPTNMLTKKHLFFCC48DB,105_02
七堵區,房地(土地+建物),基隆市七堵區長安段38地號 G棟/4樓,33.99,住,,,1031220,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,5980000,54963,,0.0,0,,RPUNMLTKKHLFFCC58DB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區長安段38地號 G棟/6樓,34.19,住,,,1031228,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,7800000,88223,坡道平面,33.99,1200000,,RPVNMLTKKHLFFCC68DB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區長安段38地號H棟/7樓,38.98,住,,,1031212,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.98,3,2,2,有,無,8890000,86414,坡道平面,33.99,1200000,,RPWNMLTKKHLFFCC78DB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區長安段38地號 C棟/4樓,37.38,住,,,1031221,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.4,3,2,2,有,無,8300000,77672,坡道平面,33.99,1200000,,RPXNMLTKKHLFFCC88DB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區長安段38地號 D棟/1樓,41.98,住,,,1040424,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.74,3,2,2,有,無,11500000,98345,坡道平面,33.99,1100000,,RPOOMLTKKHLFFCC08DB,105_02
七堵區,房地(土地+建物),基隆市七堵區長安段38地號 D棟/2樓,41.78,住,,,1040723,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.98,3,2,2,有,無,7780000,55979,,0.0,0,,RPPOMLTKKHLFFCC18DB,105_02
七堵區,房地(土地+建物),基隆市七堵區長安段38地號 D棟/3樓,41.78,住,,,1040726,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.98,3,2,2,有,無,7780000,55979,,0.0,0,,RPQOMLTKKHLFFCC28DB,105_02
七堵區,房地(土地+建物),基隆市七堵區長安段38地號 E棟/3樓,41.38,住,,,1040530,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.52,3,2,2,有,無,7650000,57727,,0.0,0,,RPROMLTKKHLFFCC38DB,105_02
七堵區,房地(土地+建物),基隆市七堵區長安段38地號 Ｅ棟/６樓,41.38,住,,,1040311,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.52,3,2,2,有,無,8000000,60368,,0.0,0,,RPSOMLTKKHLFFCC48DB,105_02
