鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３６３號２２樓,10.52,住,,,1050531,土地3建物1車位1,二十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,85.12,2,1,1,有,有,5430000,61139.0,坡道平面,13.47,1050000,,RPSQMLRKIILFFCC18CA,37.33,1.89,11.29,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３６１號５樓,10.82,住,,,1050531,土地3建物1車位1,五層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,90.53,2,1,1,有,有,4850000,52899.0,坡道平面,15.87,900000,,RPTQMLRKIILFFCC28CA,39.46,1.89,11.29,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路３６１號２２樓,7.26,住,,,1050531,土地3建物1車位0,二十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,74.66,2,1,1,有,有,4720000,63220.0,,0.0,0,,RPUQMLRKIILFFCC38CA,39.46,1.89,11.29,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３７１號９樓,18.4,住,,,1050531,土地3建物1車位1,九層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,168.54000000000002,3,2,2,有,有,10590000,62815.0,坡道平面,15.87,1000000,,RPVQMLRKIILFFCC48CA,86.29,2.17,19.17,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３７１號１２樓,18.4,住,,,1050531,土地3建物1車位1,十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,168.54000000000002,3,2,2,有,有,11500000,68233.0,坡道平面,15.87,0,,RPWQMLRKIILFFCC58CA,86.29,2.17,19.17,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３７１號２１樓,18.4,住,,,1050531,土地3建物1車位1,二十一層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,168.54000000000002,3,2,2,有,有,11980000,71920.0,坡道平面,15.87,1000000,,RPXQMLRKIILFFCC68CA,86.29,2.17,19.17,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３９９之６號２１樓,24.72,住,,,1050531,土地3建物1車位1,二十一層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,233.64,3,2,2,有,有,15950000,68650.0,坡道平面,15.87,1000000,,RPORMLRKIILFFCC87CA,125.48,4.57,23.48,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３９９之５號２０樓,14.06,住,,,1050531,土地3建物1車位1,二十層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,121.56,3,1,2,有,有,9870000,82979.0,坡道平面,13.47,900000,,RPPRMLRKIILFFCC97CA,63.65,4.0,8.56,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路３９９之５號２２樓,10.51,住,,,1050531,土地3建物1車位0,二十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,108.09,3,2,2,有,有,8510000,78723.0,,0.0,0,,RPQRMLRKIILFFCC08CA,63.65,4.0,8.56,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３９９之３號１８樓,16.97,住,,,1050531,土地3建物1車位1,十八層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,153.91,3,2,2,有,有,9900000,64474.0,坡道平面,15.87,1000000,,RPRRMLRKIILFFCC18CA,77.51,0.97,18.84,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路399號16樓,10.52,住,,,1050531,土地3建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,85.12,2,1,1,有,有,5700000,66972.0,坡道平面,13.47,0,,RPSRMLRKIILFFCC28CA,37.33,1.89,11.29,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３９９之１號４樓,10.82,住,,,1050531,土地3建物1車位1,四層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,88.13,2,1,1,有,有,4350000,46203.0,坡道平面,13.47,900000,,RPTRMLRKIILFFCC38CA,39.46,1.89,11.29,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３９３號５樓,14.2,住,,,1050531,土地3建物1車位1,五層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,122.94,3,1,2,有,有,6920000,56288.0,坡道平面,13.47,0,,RPURMLRKIILFFCC48CA,63.34,3.97,9.87,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路３９３號２２樓,10.46,住,,,1050531,土地3建物1車位0,二十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,107.61,3,1,2,有,有,7260000,67466.0,,0.0,0,,RPVRMLRKIILFFCC58CA,63.34,3.97,8.56,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３７５號４樓,24.52,住,,,1050531,土地3建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,231.57,3,2,2,有,有,10530000,44877.0,坡道平面,15.87,850000,,RPWRMLRKIILFFCC68CA,124.09,4.52,23.46,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路２０５號６樓,37.48,住,,,1050531,土地3建物1車位2,六層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,344.16,4,2,3,有,有,32940000,97113.0,坡道平面,31.74,2600000,,RPQNMLRKIILFFCC67CA,183.96,3.05,33.24,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路２１５號１６樓,7.13,住,,,1050531,土地3建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,73.31,2,1,1,有,有,5880000,80207.0,,0.0,0,,RPRNMLRKIILFFCC77CA,38.98,1.89,10.81,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路２１９號１７樓,15.74,住,,,1050531,土地3建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,141.20999999999998,3,2,2,有,有,8700000,62231.0,坡道平面,15.87,900000,,RPSNMLRKIILFFCC87CA,77.14,2.44,8.78,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路 237 號 7 樓,16.97,住,,,1050531,土地3建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,174.59,4,2,2,有,有,9080000,52008.0,,0.0,0,,RPTNMLRKIILFFCC97CA,93.2,3.46,26.43,,,105_04
