鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-12F,58.17,其他,,,1010927,土地2建物1車位3,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,762.68,0,0,0,無,無,305300000,467894,坡道平面,136.47,12300000,,RPUQMLLLJHLFFDA87CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-15F,58.17,其他,,,1010927,土地2建物1車位3,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,762.68,0,0,0,無,無,321940000,494467,坡道平面,136.47,12300000,,RPVQMLLLJHLFFDA97CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-17F,58.29,其他,,,1010928,土地2建物1車位4,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,807.77,0,0,0,無,無,342350000,519886,坡道平面,181.96,17000000,,RPWQMLLLJHLFFDA08CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-18F,58.29,其他,,,1011002,土地2建物1車位4,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,795.63,0,0,0,無,無,335600000,514693,坡道平面,169.82,13500000,,RPXQMLLLJHLFFDA18CB,105_01
中山區,房地(土地+建物),臺北市中山區中山北路  二  ５９巷  Ａ０１,6.36,商,,,1020528,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,見使用執照,,39.37,1,0,1,有,無,20380000,517653,,0.0,0,,RPOPMLMLJHLFFCA17CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區中山北路  二  ５９巷  Ａ０２,14.82,商,,,1020414,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土加強磚造,,121.52,2,2,1,有,無,27550000,265660,升降平面,26.85,2400000,,RPPPMLMLJHLFFCA27CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區中山北路  二段  ５９巷  Ａ０３,14.77,商,,,1020413,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,見使用執照,,121.23,2,2,2,有,無,26900000,261708,升降平面,26.85,2200000,,RPWOMLOLJHLFFCA08CB,105_01
中山區,房地(土地+建物),臺北市中山區中山北路  二段  ５９巷  Ａ０４,14.77,商,,,1020208,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,見使用執照,,94.35,2,2,1,有,無,24450000,259141,,0.0,0,,RPXOMLOLJHLFFCA18CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區中山北路  二段  ５９巷A07,14.77,商,,,1020318,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,見使用執照,,121.23,2,1,1,有,無,28000000,273363,升降平面,26.85,2200000,,RPRNMLPLJHLFFCA57CB,105_01
中山區,房地(土地+建物),臺北市中山區中山北路  二段  ５９巷A08,14.77,商,,,1011230,土地1建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,見使用執照,,94.35,2,2,1,有,無,25700000,272390,,0.0,0,,RPSNMLPLJHLFFCA67CB,105_01
