鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
玉里鎮,土地,民南段1195-1地號,2515.99,,山坡地保育區,農牧用地,1050225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,318.0,,0.0,0,,RPQNMLTKLHLFFCU27CA,0.0,0.0,0.0,,,105_02
玉里鎮,土地,民南段1195-2地號,2516.0,,山坡地保育區,農牧用地,1050225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,318.0,,0.0,0,,RPRNMLTKLHLFFCU37CA,0.0,0.0,0.0,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿水源街８７號,99.0,住,,,1050217,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,960827.0,215.57,4,2,3,有,無,11800000,54739.0,,0.0,0,,RPSNMLQKLHLFFAU96CA,197.39,0.0,18.18,,,105_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南埔八街２０５巷１４號,58.0,住,,,1050224,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,670522.0,70.78,3,2,2,有,無,4760000,67251.0,,0.0,0,,RPPNMLSKLHLFFAU86CA,70.78,0.0,0.0,,,105_02
光復鄉,土地,大興段1294-3地號,12669.73,,一般農業區,農牧用地,1050125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11235461,887.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLQKLHLFFBU96CA,0.0,0.0,0.0,,,105_02
秀林鄉,土地,上崇德段914-2地號,2171.21,住,,,1050302,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10508600,4840.0,,0.0,0,,RPPNMLSJMHLFFAU86CA,0.0,0.0,0.0,,,105_02
新城鄉,土地,新興段5地號,126.81,住,,,1050305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4488000,35392.0,,0.0,0,,RPTNMLLKMHLFFAU66CA,0.0,0.0,0.0,,,105_02
新城鄉,房地(土地+建物),花蓮縣新城鄉大漢村大德街370巷13號,101.59,,鄉村區,乙種建築用地,1050218,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,731211.0,99.23,4,2,2,有,無,3100000,31241.0,,0.0,0,,RPUNMLRKLHLFFAU27CA,99.23,0.0,0.0,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿民權二街１６號,83.0,住,,,1050117,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,961227.0,193.51,4,2,3,有,無,14500000,74932.0,,0.0,0,,RPPNMLRKLHLFFAU76CA,159.22,7.4,26.89,,,105_02
吉安鄉,土地,廣賢段380地號,2078.63,,一般農業區,農牧用地,1050223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2515120,1210.0,,0.0,0,,RPRNMLQKLHLFFAU86CA,0.0,0.0,0.0,,,105_02
